col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Al Taubenberger,Matt Wolfe,Dan Tinney,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,15,"5,039",51,44,1,"5,036","4,934","4,912","4,883","4,778",478,217,259,47,48,39,29,86,73,64,40,14,4,All
Daniel D Mccaffery,,8,42,15,0,"4,847","4,783","4,749","4,744","4,648",440,194,257,58,42,44,29,78,61,60,30,13,4,All
Megan Mccarthy King,,,4,185,0,82,70,75,74,68,31,202,17,186,178,173,171,15,21,10,5,7,0,All
Christylee Peck,,,,1,0,53,46,49,49,49,22,185,11,175,171,167,164,12,14,8,6,6,0,All
Write-In,,,,,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Isaiah Thomas,,,,,,11,"4,977","4,898","4,883","4,772",351,186,181,38,26,22,19,58,53,46,27,9,3,All
Derek S Green,,,,,,,5,"4,853","4,814","4,750",287,160,138,32,26,16,13,38,44,32,11,5,4,All
Katherine Gilmore Richardson,,,,,,,,14,"4,784","4,710",292,100,155,31,31,20,17,41,39,24,16,5,3,All
Helen Gym,,,,,,,,,7,"4,725",318,158,183,31,25,20,17,62,34,49,18,11,1,All
Allan Domb,,,,,,,,,,9,180,161,76,38,37,30,22,26,23,11,11,4,3,All
Kendra Brooks,,,,,,,,,,,2,57,292,13,9,9,7,67,32,43,14,13,0,All
David Oh,,,,,,,,,,,,3,19,202,195,178,183,25,25,15,11,11,0,All
Nicolas O'Rourke,,,,,,,,,,,,,0,4,5,3,1,29,12,10,6,3,0,All
Al Taubenberger,,,,,,,,,,,,,,1,182,186,180,10,11,6,2,2,0,All
Matt Wolfe,,,,,,,,,,,,,,,2,179,183,5,12,7,3,1,1,All
Dan Tinney,,,,,,,,,,,,,,,,0,171,6,10,3,3,2,1,All
Bill Heeney,,,,,,,,,,,,,,,,,1,4,8,1,0,1,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,17,20,11,4,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,4,15,11,5,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,,0,24,6,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"5,520","5,269",312,259,1,"5,340","5,202","5,188","5,166","5,036",569,467,323,253,245,229,215,118,107,89,52,23,4,All
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,1
,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Clarc King,Matt Wolfe,Sherrie Cohen,Al Taubenberger,Bill Heeney,Dan Tinney,Joe Cox,Maj Toure,Steve Cherniavsky,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,1
Isaiah Thomas,0,131,130,126,126,6,4,1,0,1,0,0,0,0,0,0,0,0,129,125,1,0,0,1
Derek S Green,,0,128,126,126,4,2,2,0,1,0,0,0,0,0,0,0,0,127,124,0,0,0,1
