col_1,col_2,col_3,division
,Sheriff,,All
,Rochelle Bilal,Write-In,All
Rochelle Bilal,"2,931",0,All
Write-In,,6,All
Total,"2,931",6,All
,Sheriff,,1
,Rochelle Bilal,Write-In,1
Rochelle Bilal,126,0,1
Write-In,,0,1
Total,126,0,1
,Sheriff,,2
,Rochelle Bilal,Write-In,2
Rochelle Bilal,175,0,2
Write-In,,1,2
Total,175,1,2
,Sheriff,,3
,Rochelle Bilal,Write-In,3
Rochelle Bilal,194,0,3
Write-In,,0,3
Total,194,0,3
,Sheriff,,4
,Rochelle Bilal,Write-In,4
Rochelle Bilal,161,0,4
Write-In,,0,4
Total,161,0,4
,Sheriff,,5
,Rochelle Bilal,Write-In,5
Rochelle Bilal,124,0,5
Write-In,,0,5
Total,124,0,5
,Sheriff,,6
,Rochelle Bilal,Write-In,6
Rochelle Bilal,148,0,6
Write-In,,0,6
Total,148,0,6
,Sheriff,,7
,Rochelle Bilal,Write-In,7
Rochelle Bilal,141,0,7
Write-In,,0,7
Total,141,0,7
,Sheriff,,8
,Rochelle Bilal,Write-In,8
Rochelle Bilal,181,0,8
Write-In,,0,8
Total,181,0,8
,Sheriff,,9
,Rochelle Bilal,Write-In,9
Rochelle Bilal,86,0,9
Write-In,,0,9
Total,86,0,9
,Sheriff,,10
,Rochelle Bilal,Write-In,10
Rochelle Bilal,58,0,10
Write-In,,0,10
Total,58,0,10
,Sheriff,,11
,Rochelle Bilal,Write-In,11
Rochelle Bilal,80,0,11
Write-In,,0,11
Total,80,0,11
,Sheriff,,12
,Rochelle Bilal,Write-In,12
Rochelle Bilal,129,0,12
Write-In,,0,12
Total,129,0,12
,Sheriff,,13
,Rochelle Bilal,Write-In,13
Rochelle Bilal,141,0,13
Write-In,,1,13
Total,141,1,13
,Sheriff,,14
,Rochelle Bilal,Write-In,14
Rochelle Bilal,114,0,14
Write-In,,0,14
Total,114,0,14
,Sheriff,,15
,Rochelle Bilal,Write-In,15
Rochelle Bilal,136,0,15
Write-In,,0,15
Total,136,0,15
,Sheriff,,16
,Rochelle Bilal,Write-In,16
Rochelle Bilal,104,0,16
Write-In,,0,16
Total,104,0,16
,Sheriff,,17
,Rochelle Bilal,Write-In,17
Rochelle Bilal,94,0,17
Write-In,,1,17
Total,94,1,17
,Sheriff,,18
,Rochelle Bilal,Write-In,18
Rochelle Bilal,136,0,18
Write-In,,1,18
Total,136,1,18
,Sheriff,,19
,Rochelle Bilal,Write-In,19
Rochelle Bilal,54,0,19
Write-In,,1,19
Total,54,1,19
,Sheriff,,20
,Rochelle Bilal,Write-In,20
Rochelle Bilal,135,0,20
Write-In,,0,20
Total,135,0,20
,Sheriff,,21
,Rochelle Bilal,Write-In,21
Rochelle Bilal,253,0,21
Write-In,,0,21
Total,253,0,21
,Sheriff,,22
,Rochelle Bilal,Write-In,22
Rochelle Bilal,31,0,22
Write-In,,1,22
Total,31,1,22
,Sheriff,,23
,Rochelle Bilal,Write-In,23
Rochelle Bilal,130,0,23
Write-In,,0,23
Total,130,0,23
