col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,District Council 4th District,,,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Tiffany Palmer,Crystal B Powell,Carmella Jacquinto,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,James C Crumlish,Write-In,All
Curtis Jones Jr,317,3,0,0,"6,891","6,745","6,668","6,682","6,594","6,621","6,559",3,All
Karla Cruel,,57,0,0,271,260,244,231,225,210,211,2,All
Matt Baltsar,,,18,0,35,26,29,34,35,32,31,0,All
Write-In,,,,1,1,0,1,1,1,1,1,0,All
Tiffany Palmer,,,,,27,"6,967","6,935","6,946","6,865","6,878","6,822",3,All
Crystal B Powell,,,,,,11,"6,867","6,818","6,746","6,804","6,722",2,All
Carmella Jacquinto,,,,,,,16,"6,850","6,789","6,836","6,789",3,All
Jennifer Schultz,,,,,,,,9,"6,825","6,819","6,773",3,All
Anthony Kyriakakis,,,,,,,,,7,"6,796","6,806",1,All
Joshua Roberts,,,,,,,,,,5,"6,803",3,All
James C Crumlish,,,,,,,,,,,10,1,All
Write-In,,,,,,,,,,,,0,All
Total,"7,595",372,63,2,"7,438","7,239","7,151","7,149","7,052","7,052","6,999",5,All
,District Council 4th District,,,,Judge Of The Court Of Common Pleas,,,,,,,,1
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Tiffany Palmer,Crystal B Powell,Jennifer Schultz,Carmella Jacquinto,Anthony Kyriakakis,Joshua Roberts,James C Crumlish,Write-In,1
Curtis Jones Jr,3,0,0,0,96,93,95,93,92,91,91,0,1
Karla Cruel,,2,0,0,1,2,1,1,1,1,1,0,1
Matt Baltsar,,,0,0,3,2,2,3,3,3,2,0,1
Write-In,,,,1,0,0,0,0,0,0,0,0,1
Tiffany Palmer,,,,,0,95,97,97,95,95,94,0,1
Crystal B Powell,,,,,,1,95,95,94,94,94,0,1
Jennifer Schultz,,,,,,,0,96,94,94,94,0,1
Carmella Jacquinto,,,,,,,,0,95,95,94,0,1
Anthony Kyriakakis,,,,,,,,,0,95,94,0,1
Joshua Roberts,,,,,,,,,,0,94,0,1
James C Crumlish,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,0,1
Total,105,4,3,1,101,99,99,98,96,95,94,0,1
,District Council 4th District,,,,Judge Of The Court Of Common Pleas,,,,,,,,2
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Tiffany Palmer,Crystal B Powell,Carmella Jacquinto,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Write-In,2
Curtis Jones Jr,3,0,0,0,84,83,79,78,77,77,77,0,2
Karla Cruel,,0,0,0,2,1,1,1,1,1,1,0,2
Matt Baltsar,,,0,0,0,0,0,0,0,0,0,0,2
Write-In,,,,0,0,0,0,0,0,0,0,0,2
Tiffany Palmer,,,,,0,81,79,78,78,78,77,0,2
Crystal B Powell,,,,,,0,80,78,77,77,77,0,2
Carmella Jacquinto,,,,,,,0,78,77,77,77,0,2
Jennifer Schultz,,,,,,,,0,76,76,76,0,2
Anthony Kyriakakis,,,,,,,,,0,78,77,0,2
James C Crumlish,,,,,,,,,,0,77,0,2
Joshua Roberts,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,0,2
Total,92,2,0,0,86,84,80,79,78,78,78,0,2
,Judge Of The Court Of Common Pleas,,,,,,,,District Council 4th District,,,,3
,Tiffany Palmer,Carmella Jacquinto,Anthony Kyriakakis,Crystal B Powell,Jennifer Schultz,Joshua Roberts,James C Crumlish,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,3
Tiffany Palmer,1,112,111,109,110,110,109,0,109,3,1,0,3
Carmella Jacquinto,,0,109,110,110,111,110,0,110,1,1,0,3
Anthony Kyriakakis,,,0,109,109,109,109,0,108,2,1,0,3
Crystal B Powell,,,,1,109,109,109,0,108,1,1,0,3
Jennifer Schultz,,,,,0,109,108,0,107,1,1,0,3
Joshua Roberts,,,,,,0,109,0,109,0,1,0,3
James C Crumlish,,,,,,,0,0,108,0,1,0,3
Write-In,,,,,,,,0,0,0,0,0,3
Curtis Jones Jr,,,,,,,,,3,0,0,0,3
Karla Cruel,,,,,,,,,,0,0,0,3
Matt Baltsar,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,0,3
Total,116,114,112,112,111,111,110,0,115,3,1,0,3
,Judge Of The Court Of Common Pleas,,,,,,,,District Council 4th District,,,,4
,Crystal B Powell,Tiffany Palmer,Carmella Jacquinto,Jennifer Schultz,Joshua Roberts,Anthony Kyriakakis,James C Crumlish,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,4
Crystal B Powell,1,160,159,159,158,158,157,0,158,2,0,0,4
Tiffany Palmer,,1,159,159,157,157,157,0,157,3,0,0,4
Carmella Jacquinto,,,0,159,158,157,157,0,159,1,0,0,4
Jennifer Schultz,,,,1,158,158,157,0,157,1,0,0,4
Joshua Roberts,,,,,0,158,157,0,155,1,0,0,4
Anthony Kyriakakis,,,,,,0,157,0,154,1,0,0,4
James C Crumlish,,,,,,,0,0,154,1,0,0,4
Write-In,,,,,,,,0,0,0,0,0,4
Curtis Jones Jr,,,,,,,,,1,0,0,0,4
Karla Cruel,,,,,,,,,,0,0,0,4
Matt Baltsar,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,0,4
Total,164,163,162,162,159,158,157,0,163,3,0,0,4
,District Council 4th District,,,,Judge Of The Court Of Common Pleas,,,,,,,,5
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Crystal B Powell,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Carmella Jacquinto,Joshua Roberts,James C Crumlish,Write-In,5
Curtis Jones Jr,3,0,0,0,120,118,118,118,117,117,115,0,5
Karla Cruel,,2,0,0,2,2,2,1,2,1,1,0,5
Matt Baltsar,,,0,0,0,0,0,0,0,0,0,0,5
Write-In,,,,0,0,0,0,0,0,0,0,0,5
Crystal B Powell,,,,,0,120,120,118,119,118,116,0,5
Jennifer Schultz,,,,,,0,119,118,119,118,116,0,5
Tiffany Palmer,,,,,,,0,117,119,117,116,0,5
Anthony Kyriakakis,,,,,,,,0,117,118,116,0,5
Carmella Jacquinto,,,,,,,,,0,117,116,0,5
Joshua Roberts,,,,,,,,,,0,116,0,5
James C Crumlish,,,,,,,,,,,0,0,5
Write-In,,,,,,,,,,,,0,5
Total,124,4,0,0,122,120,120,119,119,118,116,0,5
,Judge Of The Court Of Common Pleas,,,,,,,,District Council 4th District,,,,6
