col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,Derek S Green,Allan Domb,David Oh,Dan Tinney,Al Taubenberger,Bill Heeney,Matt Wolfe,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,30,"3,072",131,61,0,"2,865","2,502","2,162","2,117","1,862","1,825","1,625",272,200,191,98,84,327,145,82,62,52,7,All
Amanda Green-Hawkins,,6,23,26,1,"2,747","2,415","2,099","1,984","1,784","1,718","1,486",177,84,82,40,48,293,122,66,45,47,7,All
Megan Mccarthy King,,,4,622,0,99,71,79,83,61,71,150,583,548,542,576,570,33,16,28,17,13,3,All
Christylee Peck,,,,7,0,73,50,52,57,41,50,110,538,515,509,542,556,21,16,24,15,5,2,All
Write-In,,,,,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,All
Helen Gym,,,,,,5,"2,352","2,013","1,874","1,626","1,636","1,548",168,55,59,29,30,260,126,55,39,15,5,All
Isaiah Thomas,,,,,,,0,"1,899","1,469","1,308","1,599","1,293",95,43,51,16,12,154,66,34,21,19,2,All
Katherine Gilmore Richardson,,,,,,,,0,"1,137",964,"1,474","1,262",76,70,64,32,33,98,48,35,23,19,3,All
Kendra Brooks,,,,,,,,,0,"2,019",747,504,119,39,30,17,18,276,130,51,35,33,8,All
Nicolas O'Rourke,,,,,,,,,,0,583,363,96,29,24,19,17,213,92,31,27,25,7,All
Derek S Green,,,,,,,,,,,0,"1,246",96,59,63,18,31,88,56,35,25,11,2,All
Allan Domb,,,,,,,,,,,,17,216,114,103,90,82,81,36,28,22,5,4,All
David Oh,,,,,,,,,,,,,11,560,568,567,557,33,16,26,9,11,1,All
Dan Tinney,,,,,,,,,,,,,,5,637,561,552,14,8,12,12,6,2,All
Al Taubenberger,,,,,,,,,,,,,,,6,552,535,11,6,13,9,5,0,All
Bill Heeney,,,,,,,,,,,,,,,,3,588,13,4,12,5,4,4,All
Matt Wolfe,,,,,,,,,,,,,,,,,4,8,9,11,12,3,1,All
Joe Cox,,,,,,,,,,,,,,,,,,2,53,36,31,48,4,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,14,12,12,3,All
Maj Toure,,,,,,,,,,,,,,,,,,,,4,15,10,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,14,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,658","3,318",815,726,4,"3,169","2,705","2,376","2,369","2,076","1,996","1,897",904,782,767,723,701,393,177,115,83,68,15,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Christylee Peck,Megan Mccarthy King,Write-In,Helen Gym,Kendra Brooks,Isaiah Thomas,Nicolas O'Rourke,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Al Taubenberger,David Oh,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Maj Toure,Clarc King,Write-In,1
Daniel D Mccaffery,0,139,3,2,0,127,118,116,106,89,65,53,11,7,10,1,0,10,6,2,0,1,1,1
Amanda Green-Hawkins,,0,1,0,0,128,113,113,105,87,62,48,3,5,2,0,0,10,7,2,0,0,1,1
Christylee Peck,,,0,21,0,4,3,4,2,1,3,4,18,19,17,20,17,1,1,1,2,0,0,1
Megan Mccarthy King,,,,0,0,0,2,2,2,1,1,1,20,17,19,22,17,1,0,1,2,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,1,109,106,99,81,53,53,3,6,2,0,1,10,7,1,0,0,0,1
Kendra Brooks,,,,,,,0,91,120,65,39,25,3,7,2,1,1,10,8,0,0,1,0,1
Isaiah Thomas,,,,,,,,0,82,78,56,41,1,5,0,2,0,3,7,2,0,0,0,1
Nicolas O'Rourke,,,,,,,,,0,59,31,19,3,5,2,2,1,9,5,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,,0,44,36,3,3,2,1,1,2,2,1,0,0,0,1
Derek S Green,,,,,,,,,,,0,35,2,4,1,1,0,1,2,2,0,0,0,1
Allan Domb,,,,,,,,,,,,1,5,7,4,1,0,5,2,2,0,1,0,1
Al Taubenberger,,,,,,,,,,,,,0,18,30,19,17,1,0,1,2,0,0,1
David Oh,,,,,,,,,,,,,,0,18,18,16,2,2,1,1,1,0,1
Dan Tinney,,,,,,,,,,,,,,,0,18,17,1,0,1,2,0,0,1
Matt Wolfe,,,,,,,,,,,,,,,,1,19,1,0,0,1,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,159,148,25,25,0,145,133,124,121,96,69,65,32,31,30,25,20,12,9,3,2,1,1,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Kendra Brooks,Katherine Gilmore Richardson,Nicolas O'Rourke,Derek S Green,Allan Domb,David Oh,Al Taubenberger,Dan Tinney,Bill Heeney,Matt Wolfe,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Maj Toure,Clarc King,Write-In,2
