col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Court Of Common Pleas,,,,,,,,District Council 4th District,,,,All
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,All
Tiffany Palmer,82,"26,002","25,874","25,759","25,627","25,513","25,314",20,"24,572","1,729",453,9,All
Jennifer Schultz,,66,"25,568","25,552","25,324","25,417","24,943",15,"24,000","1,626",437,7,All
Anthony Kyriakakis,,,33,"25,262","25,641","25,295","24,579",10,"23,852","1,572",437,8,All
Carmella Jacquinto,,,,45,"25,300","25,320","24,990",17,"23,815","1,570",392,7,All
James C Crumlish,,,,,59,"25,316","24,586",20,"23,778","1,516",431,8,All
Joshua Roberts,,,,,,21,"24,738",19,"23,668","1,459",413,4,All
Crystal B Powell,,,,,,,46,12,"23,547","1,468",351,1,All
Write-In,,,,,,,,1,10,5,5,2,All
Curtis Jones Jr,,,,,,,,,"1,215",17,6,0,All
Karla Cruel,,,,,,,,,,475,0,0,All
Matt Baltsar,,,,,,,,,,,364,0,All
Write-In,,,,,,,,,,,,8,All
Total,"27,623","26,825","26,571","26,476","26,426","26,149","26,046",90,"27,042","2,461",984,25,All
