col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Mayor,,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Tiffany Palmer,Jennifer Schultz,Carmella Jacquinto,Crystal B Powell,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Write-In,All
Jim Kenney,55,0,0,"1,157","1,119","1,109","1,107","1,102","1,086","1,085",0,All
Billy Ciancaglini,,29,0,17,18,14,16,11,13,13,6,All
Write-In,,,1,3,2,3,3,2,1,2,0,All
Tiffany Palmer,,,,4,"1,137","1,122","1,116","1,115","1,104","1,102",0,All
Jennifer Schultz,,,,,0,"1,104","1,090","1,109","1,096","1,093",0,All
Carmella Jacquinto,,,,,,0,"1,100","1,093","1,096","1,091",5,All
Crystal B Powell,,,,,,,1,"1,072","1,073","1,079",5,All
Anthony Kyriakakis,,,,,,,,0,"1,091","1,087",0,All
James C Crumlish,,,,,,,,,0,"1,087",1,All
Joshua Roberts,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,0,All
Total,"1,269",51,5,"1,199","1,156","1,142","1,141","1,127","1,113","1,113",6,All
,Mayor,,,Judge Of The Court Of Common Pleas,,,,,,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Carmella Jacquinto,Crystal B Powell,Write-In,1
Jim Kenney,7,0,0,142,138,134,131,129,129,120,0,1
Billy Ciancaglini,,6,0,2,3,1,2,1,1,2,1,1
Write-In,,,0,0,0,0,0,0,0,0,0,1
Tiffany Palmer,,,,0,137,135,133,131,131,122,0,1
Jennifer Schultz,,,,,0,134,131,131,130,118,0,1
Anthony Kyriakakis,,,,,,0,131,129,129,115,0,1
James C Crumlish,,,,,,,0,130,128,115,1,1
Joshua Roberts,,,,,,,,1,129,116,0,1
Carmella Jacquinto,,,,,,,,,0,118,0,1
Crystal B Powell,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,0,1
Total,154,10,0,146,142,136,134,133,132,123,1,1
,Mayor,,,Judge Of The Court Of Common Pleas,,,,,,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,Tiffany Palmer,Jennifer Schultz,Carmella Jacquinto,Crystal B Powell,Anthony Kyriakakis,Joshua Roberts,James C Crumlish,Write-In,2
Jim Kenney,5,0,0,104,99,100,100,98,96,96,0,2
Billy Ciancaglini,,2,0,4,4,2,2,1,2,1,0,2
Write-In,,,0,0,0,0,0,0,0,0,0,2
Tiffany Palmer,,,,1,102,101,101,99,97,97,0,2
Jennifer Schultz,,,,,0,98,97,97,96,95,0,2
Carmella Jacquinto,,,,,,0,99,95,97,96,0,2
Crystal B Powell,,,,,,,0,95,95,95,0,2
Anthony Kyriakakis,,,,,,,,0,96,96,0,2
Joshua Roberts,,,,,,,,,0,96,0,2
James C Crumlish,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,0,2
Total,111,7,0,109,103,102,102,99,98,97,0,2
,Mayor,,,Judge Of The Court Of Common Pleas,,,,,,,,3
,Jim Kenney,Billy Ciancaglini,Write-In,Tiffany Palmer,James C Crumlish,Anthony Kyriakakis,Jennifer Schultz,Joshua Roberts,Carmella Jacquinto,Crystal B Powell,Write-In,3
Jim Kenney,4,0,0,98,93,93,92,91,91,89,0,3
Billy Ciancaglini,,3,0,1,1,1,1,1,1,1,0,3
Write-In,,,0,0,0,0,0,0,0,0,0,3
Tiffany Palmer,,,,0,94,92,93,91,92,90,0,3
James C Crumlish,,,,,0,91,93,90,90,87,0,3
Anthony Kyriakakis,,,,,,0,90,89,91,88,0,3
Jennifer Schultz,,,,,,,0,90,90,87,0,3
Joshua Roberts,,,,,,,,0,89,87,0,3
Carmella Jacquinto,,,,,,,,,0,89,0,3
Crystal B Powell,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,0,3
Total,108,4,0,100,95,94,94,93,92,90,0,3
,Mayor,,,Judge Of The Court Of Common Pleas,,,,,,,,4
,Jim Kenney,Billy Ciancaglini,Write-In,Tiffany Palmer,Crystal B Powell,Carmella Jacquinto,Jennifer Schultz,James C Crumlish,Joshua Roberts,Anthony Kyriakakis,Write-In,4
Jim Kenney,6,0,0,81,79,76,73,72,72,69,0,4
