col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 6th District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Pete Smith,Write-In,Allan Domb,Bill Heeney,Al Taubenberger,Helen Gym,David Oh,Dan Tinney,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Bobby Henon,290,5,0,"9,028","2,188","2,294","8,674","2,263","1,971","8,454","8,388","8,385","1,264",913,639,311,284,196,139,102,18,All
Pete Smith,,64,0,945,"6,908","6,760",537,"6,625","6,746",445,356,323,"6,600",219,185,158,182,236,137,84,16,All
Write-In,,,0,5,1,2,8,1,1,5,8,7,1,4,2,1,0,3,0,0,13,All
Allan Domb,,,,38,"1,102","1,222","8,343","1,429","1,046","7,955","7,984","7,891",596,422,244,156,112,77,80,36,9,All
Bill Heeney,,,,,111,"7,759",437,"7,484","7,751",419,196,231,"7,338",108,153,111,125,162,94,49,11,All
Al Taubenberger,,,,,,70,664,"7,628","7,660",565,463,394,"7,015",137,116,136,127,176,100,36,9,All
Helen Gym,,,,,,,12,852,399,"8,083","8,017","7,977",256,696,399,226,133,94,54,42,8,All
David Oh,,,,,,,,90,"7,190",350,504,500,"6,885",230,189,160,147,177,107,62,15,All
Dan Tinney,,,,,,,,,53,476,353,298,"7,074",137,119,88,113,146,98,47,4,All
Katherine Gilmore Richardson,,,,,,,,,,19,"7,958","7,940",289,520,310,149,113,65,41,42,2,All
Derek S Green,,,,,,,,,,,16,"8,122",179,477,288,116,85,71,31,36,10,All
Isaiah Thomas,,,,,,,,,,,,29,84,518,329,103,98,82,31,46,10,All
Matt Wolfe,,,,,,,,,,,,,39,83,94,82,107,169,83,48,8,All
Kendra Brooks,,,,,,,,,,,,,,7,715,205,169,81,99,73,2,All
Nicolas O'Rourke,,,,,,,,,,,,,,,3,111,132,49,78,50,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,6,103,70,70,33,2,All
Joe Cox,,,,,,,,,,,,,,,,,3,86,98,118,2,All
Maj Toure,,,,,,,,,,,,,,,,,,24,69,46,6,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,5,36,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,1,All
Total,"12,910","8,408",14,"10,361","9,601","9,567","9,563","9,343","9,172","9,172","8,997","8,997","8,170","1,345",971,568,529,503,328,225,53,All
