col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Bill Heeney,Matt Wolfe,Dan Tinney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,17,"3,544",34,21,0,"3,366","3,375","3,266","3,136","3,049",814,628,174,98,38,29,23,27,71,64,40,29,3,All
Daniel D Mccaffery,,12,31,9,0,"3,284","3,263","3,176","3,029","2,982",778,612,148,101,37,25,23,23,66,55,35,23,1,All
Megan Mccarthy King,,,2,99,0,61,44,56,42,43,43,32,101,12,82,84,84,83,9,16,9,8,0,All
Christylee Peck,,,,1,0,27,28,23,23,26,29,17,86,12,76,76,81,76,5,16,7,8,0,All
Write-In,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,,,3,"3,222","3,165","3,060","3,040",629,488,134,97,25,13,13,18,45,28,7,17,3,All
Isaiah Thomas,,,,,,,4,"3,229","3,103","2,998",540,399,110,35,26,20,12,13,41,43,28,8,4,All
Derek S Green,,,,,,,,5,"3,056","2,966",459,318,122,48,25,8,15,10,29,36,21,10,3,All
Katherine Gilmore Richardson,,,,,,,,,1,"2,893",363,249,45,28,26,16,14,17,26,26,18,9,1,All
Allan Domb,,,,,,,,,,5,272,159,100,29,14,18,14,18,11,26,9,9,1,All
Kendra Brooks,,,,,,,,,,,2,743,97,106,17,6,7,14,64,48,23,32,2,All
Nicolas O'Rourke,,,,,,,,,,,,0,58,75,5,6,6,4,45,21,12,20,0,All
David Oh,,,,,,,,,,,,,1,19,94,87,94,82,12,18,11,6,1,All
Sherrie Cohen,,,,,,,,,,,,,,4,4,0,5,2,19,10,13,14,0,All
Al Taubenberger,,,,,,,,,,,,,,,0,82,81,79,3,8,1,1,0,All
Bill Heeney,,,,,,,,,,,,,,,,0,90,81,3,9,3,1,0,All
Matt Wolfe,,,,,,,,,,,,,,,,,1,83,2,10,2,4,0,All
Dan Tinney,,,,,,,,,,,,,,,,,,0,2,9,3,1,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,0,11,31,9,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,,3,14,8,2,All
Clarc King,,,,,,,,,,,,,,,,,,,,,0,7,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"3,930","3,754",183,136,1,"3,625","3,605","3,477","3,307","3,227","1,021",776,301,143,128,120,120,115,98,97,59,45,7,All
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,1
,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Maj Toure,Al Taubenberger,Bill Heeney,Clarc King,Dan Tinney,Joe Cox,Sherrie Cohen,Matt Wolfe,Write-In,Steve Cherniavsky,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,1
Isaiah Thomas,1,144,141,142,138,7,3,3,2,0,2,2,1,1,1,0,0,0,141,138,1,1,0,1
Derek S Green,,1,141,140,136,4,5,2,0,1,1,1,1,1,0,0,1,0,141,135,0,1,0,1
