col_1,col_2,col_3,col_4,division
,Mayor,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,All
Jim Kenney,"4,907",0,0,All
Billy Ciancaglini,,"3,505",0,All
Write-In,,,32,All
Total,"4,907","3,505",32,All
,Mayor,,,1
,Billy Ciancaglini,Jim Kenney,Write-In,1
Billy Ciancaglini,65,0,0,1
Jim Kenney,,64,0,1
Write-In,,,0,1
Total,65,64,0,1
,Mayor,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,2
Jim Kenney,77,0,0,2
Billy Ciancaglini,,36,0,2
Write-In,,,0,2
Total,77,36,0,2
,Mayor,,,3
,Billy Ciancaglini,Jim Kenney,Write-In,3
Billy Ciancaglini,119,0,0,3
Jim Kenney,,106,0,3
Write-In,,,0,3
Total,119,106,0,3
,Mayor,,,4
,Billy Ciancaglini,Jim Kenney,Write-In,4
Billy Ciancaglini,55,0,0,4
Jim Kenney,,51,0,4
Write-In,,,1,4
Total,55,51,1,4
,Mayor,,,5
,Jim Kenney,Billy Ciancaglini,Write-In,5
Jim Kenney,116,0,0,5
Billy Ciancaglini,,31,0,5
Write-In,,,2,5
Total,116,31,2,5
,Mayor,,,6
,Billy Ciancaglini,Jim Kenney,Write-In,6
Billy Ciancaglini,138,0,0,6
Jim Kenney,,95,0,6
Write-In,,,0,6
Total,138,95,0,6
,Mayor,,,7
,Jim Kenney,Billy Ciancaglini,Write-In,7
Jim Kenney,184,0,0,7
Billy Ciancaglini,,155,0,7
Write-In,,,1,7
Total,184,155,1,7
,Mayor,,,8
,Jim Kenney,Billy Ciancaglini,Write-In,8
Jim Kenney,119,0,0,8
Billy Ciancaglini,,110,0,8
Write-In,,,0,8
Total,119,110,0,8
,Mayor,,,9
,Jim Kenney,Billy Ciancaglini,Write-In,9
Jim Kenney,112,0,0,9
Billy Ciancaglini,,19,0,9
Write-In,,,0,9
Total,112,19,0,9
,Mayor,,,10
,Jim Kenney,Billy Ciancaglini,Write-In,10
Jim Kenney,179,0,0,10
Billy Ciancaglini,,19,0,10
Write-In,,,2,10
Total,179,19,2,10
,Mayor,,,11
,Jim Kenney,Billy Ciancaglini,Write-In,11
Jim Kenney,65,0,0,11
Billy Ciancaglini,,14,0,11
Write-In,,,0,11
Total,65,14,0,11
,Mayor,,,12
,Billy Ciancaglini,Jim Kenney,Write-In,12
Billy Ciancaglini,57,0,0,12
Jim Kenney,,52,0,12
Write-In,,,2,12
Total,57,52,2,12
,Mayor,,,13
,Jim Kenney,Billy Ciancaglini,Write-In,13
Jim Kenney,129,0,0,13
Billy Ciancaglini,,41,0,13
Write-In,,,0,13
Total,129,41,0,13
,Mayor,,,14
,Billy Ciancaglini,Jim Kenney,Write-In,14
Billy Ciancaglini,100,0,0,14
Jim Kenney,,43,0,14
Write-In,,,0,14
Total,100,43,0,14
,Mayor,,,15
,Billy Ciancaglini,Jim Kenney,Write-In,15
Billy Ciancaglini,149,0,0,15
Jim Kenney,,132,0,15
Write-In,,,1,15
Total,149,132,1,15
,Mayor,,,16
,Jim Kenney,Billy Ciancaglini,Write-In,16
Jim Kenney,46,0,0,16
Billy Ciancaglini,,31,0,16
Write-In,,,0,16
Total,46,31,0,16
,Mayor,,,17
,Jim Kenney,Billy Ciancaglini,Write-In,17
Jim Kenney,67,0,0,17
Billy Ciancaglini,,31,0,17
Write-In,,,0,17
Total,67,31,0,17
,Mayor,,,18
,Jim Kenney,Billy Ciancaglini,Write-In,18
Jim Kenney,43,0,0,18
Billy Ciancaglini,,25,0,18
Write-In,,,0,18
Total,43,25,0,18
,Mayor,,,19
,Jim Kenney,Billy Ciancaglini,Write-In,19
Jim Kenney,73,0,0,19
Billy Ciancaglini,,20,0,19
Write-In,,,1,19
Total,73,20,1,19
,Mayor,,,20
,Billy Ciancaglini,Jim Kenney,Write-In,20
Billy Ciancaglini,153,0,0,20
Jim Kenney,,129,0,20
Write-In,,,2,20
Total,153,129,2,20
,Mayor,,,21
,Billy Ciancaglini,Jim Kenney,Write-In,21
Billy Ciancaglini,142,0,0,21
Jim Kenney,,90,0,21
Write-In,,,1,21
Total,142,90,1,21
,Mayor,,,22
,Jim Kenney,Billy Ciancaglini,Write-In,22
Jim Kenney,107,0,0,22
Billy Ciancaglini,,58,0,22
Write-In,,,1,22
Total,107,58,1,22
,Mayor,,,23
,Jim Kenney,Billy Ciancaglini,Write-In,23
Jim Kenney,86,0,0,23
Billy Ciancaglini,,16,0,23
Write-In,,,0,23
Total,86,16,0,23
,Mayor,,,24
,Jim Kenney,Billy Ciancaglini,Write-In,24
Jim Kenney,144,0,0,24
Billy Ciancaglini,,80,0,24
Write-In,,,4,24
Total,144,80,4,24
,Mayor,,,25
,Billy Ciancaglini,Jim Kenney,Write-In,25
Billy Ciancaglini,140,0,0,25
Jim Kenney,,112,0,25
Write-In,,,0,25
Total,140,112,0,25
,Mayor,,,26
,Jim Kenney,Billy Ciancaglini,Write-In,26
Jim Kenney,195,0,0,26
Billy Ciancaglini,,65,0,26
