col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Bill Heeney,Matt Wolfe,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Mark F Squilla,457,0,0,"20,652","17,797","17,699","16,634","16,207","10,102","8,100","2,724","1,851","1,685","1,459","1,244","1,707","1,233",539,469,341,64,All
Daniel Orsino,,29,0,562,306,360,384,630,428,329,"4,361","4,206","4,175","4,298","4,391",257,184,282,194,104,13,All
Write-In,,,1,39,20,21,16,12,37,31,2,1,0,0,2,16,10,5,6,4,15,All
Helen Gym,,,,30,"16,596","16,399","15,056","14,621","9,139","7,186","1,335",551,534,252,291,"1,342","1,078",330,306,167,42,All
Isaiah Thomas,,,,,17,"15,160","14,428","12,715","6,232","5,101",689,367,289,164,124,690,443,243,144,112,24,All
Katherine Gilmore Richardson,,,,,,18,"14,168","12,990","5,995","4,528",615,498,572,259,278,615,521,231,161,134,23,All
Derek S Green,,,,,,,11,"12,855","4,556","3,290",855,534,381,141,245,599,567,283,198,107,23,All
Allan Domb,,,,,,,,79,"3,241","2,100","1,862","1,048","1,002",741,695,519,402,242,232,100,28,All
Kendra Brooks,,,,,,,,,8,"9,147",621,179,332,102,113,"1,360","1,032",318,302,178,31,All
Nicolas O'Rourke,,,,,,,,,,2,459,127,111,103,105,"1,016",604,188,234,146,20,All
David Oh,,,,,,,,,,,263,"5,048","4,748","4,873","4,868",251,182,233,143,113,14,All
Al Taubenberger,,,,,,,,,,,,43,"4,896","4,762","4,695",106,87,162,104,41,9,All
Dan Tinney,,,,,,,,,,,,,19,"4,744","4,679",100,56,118,95,36,7,All
Bill Heeney,,,,,,,,,,,,,,91,"4,969",105,46,131,73,45,14,All
Matt Wolfe,,,,,,,,,,,,,,,22,113,64,164,107,58,4,All
Joe Cox,,,,,,,,,,,,,,,,13,348,253,261,314,19,All
Sherrie Cohen,,,,,,,,,,,,,,,,,3,158,155,73,10,All
Maj Toure,,,,,,,,,,,,,,,,,,34,148,91,7,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,97,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,1,2,All
Write-In,,,,,,,,,,,,,,,,,,,,,2,All
Total,"26,819","5,578",55,"22,422","18,859","18,770","17,501","17,487","11,762","9,493","7,733","6,377","6,169","6,104","5,911","2,193","1,552",941,734,505,114,All
