col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Amanda Green-Hawkins,Write-In,Al Taubenberger,David Oh,Matt Wolfe,Dan Tinney,Bill Heeney,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,39,191,65,"1,513",0,281,356,230,261,185,"1,365","1,443","1,288","1,281","1,259",461,379,115,84,54,44,23,3,All
Megan Mccarthy King,,14,"1,637",15,0,"1,545","1,499","1,579","1,550","1,561",223,95,85,50,74,34,19,31,17,42,20,15,5,All
Christylee Peck,,,8,20,0,"1,472","1,388","1,487","1,466","1,479",150,58,49,29,40,22,16,19,8,37,17,12,3,All
Amanda Green-Hawkins,,,,5,0,89,147,74,85,51,"1,129","1,341","1,204","1,228","1,156",414,343,87,64,33,25,14,1,All
Write-In,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Al Taubenberger,,,,,,12,"1,580","1,579","1,673","1,561",207,83,73,46,71,13,13,20,8,28,16,6,4,All
David Oh,,,,,,,13,"1,587","1,551","1,548",312,129,69,67,91,35,31,27,14,35,20,14,5,All
Matt Wolfe,,,,,,,,9,"1,581","1,678",172,49,56,14,39,15,14,24,12,25,15,9,3,All
Dan Tinney,,,,,,,,,6,"1,568",197,57,77,45,59,21,8,15,9,15,10,7,1,All
Bill Heeney,,,,,,,,,,15,149,37,38,15,20,9,9,14,3,19,7,7,2,All
Allan Domb,,,,,,,,,,,18,"1,179","1,106","1,068","1,119",132,80,40,23,18,20,8,1,All
Helen Gym,,,,,,,,,,,,2,"1,241","1,239","1,182",402,313,69,71,22,21,6,1,All
