col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,District Council 3rd District,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jamie Gauthier,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Bill Heeney,Dan Tinney,Maj Toure,Joe Cox,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,All
Jamie Gauthier,12,0,"3,510","3,399","3,337","3,321","3,297",422,294,126,22,16,14,10,31,31,32,16,10,5,All
Write-In,,0,7,7,6,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,All
Isaiah Thomas,,,7,"3,401","3,329","3,316","3,266",302,205,93,15,12,12,8,25,18,23,6,5,2,All
Derek S Green,,,,3,"3,258","3,269","3,240",227,145,78,15,8,5,3,17,17,18,8,4,3,All
Helen Gym,,,,,2,"3,206","3,222",210,148,80,12,5,5,2,14,17,10,4,4,2,All
Katherine Gilmore Richardson,,,,,,10,"3,188",177,112,42,11,6,4,5,9,7,10,5,1,1,All
Allan Domb,,,,,,,8,142,80,71,10,3,5,4,11,2,11,3,6,2,All
Kendra Brooks,,,,,,,,3,354,56,6,6,3,2,14,17,24,8,6,1,All
Nicolas O'Rourke,,,,,,,,,0,36,2,3,3,1,11,11,12,4,2,1,All
David Oh,,,,,,,,,,14,52,47,44,45,6,8,6,5,3,0,All
Al Taubenberger,,,,,,,,,,,0,46,44,45,4,0,2,0,2,0,All
Matt Wolfe,,,,,,,,,,,,3,46,45,5,0,0,0,2,0,All
Bill Heeney,,,,,,,,,,,,,0,43,2,2,0,1,0,0,All
Dan Tinney,,,,,,,,,,,,,,2,1,1,1,0,0,0,All
Maj Toure,,,,,,,,,,,,,,,2,4,4,1,2,0,All
Joe Cox,,,,,,,,,,,,,,,,1,6,10,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,4,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,0,1,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,1,All
