col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,David Oh,Bill Heeney,Dan Tinney,Al Taubenberger,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Derek S Green,,,,,,,,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1
Bill Heeney,,,,,,,,,0,13,13,14,13,0,1,0,1,0,0,0,0,1
David Oh,,,,,,,,,,0,13,11,12,0,0,1,1,0,1,0,0,1
Dan Tinney,,,,,,,,,,,1,12,12,0,0,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,0,13,0,1,0,1,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,1
Kendra Brooks,,,,,,,,,,,,,,0,3,1,0,1,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,0,1,1,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,0,1
Total,54,17,0,53,52,52,49,48,17,16,15,14,14,5,4,2,2,1,1,0,0,1
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,Derek S Green,Isaiah Thomas,Helen Gym,Katherine Gilmore Richardson,Allan Domb,David Oh,Dan Tinney,Al Taubenberger,Bill Heeney,Matt Wolfe,Kendra Brooks,Sherrie Cohen,Nicolas O'Rourke,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,2
Jim Kenney,2,0,0,54,52,51,50,46,5,1,2,1,0,7,3,2,1,1,1,1,0,2
Billy Ciancaglini,,1,0,5,7,5,3,6,11,13,11,12,12,3,2,2,2,1,0,0,0,2
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Derek S Green,,,,0,57,51,52,51,4,0,1,1,0,7,2,3,1,0,1,1,0,2
Isaiah Thomas,,,,,0,50,51,50,3,2,1,1,1,6,2,3,1,1,1,1,0,2
Helen Gym,,,,,,0,49,49,2,0,1,0,1,4,3,1,0,1,0,0,0,2
Katherine Gilmore Richardson,,,,,,,0,47,1,0,0,0,0,4,2,1,0,1,0,1,0,2
Allan Domb,,,,,,,,0,2,0,2,1,0,3,0,2,0,0,0,0,0,2
David Oh,,,,,,,,,3,10,11,10,9,1,0,0,0,0,1,0,0,2
Dan Tinney,,,,,,,,,,2,11,11,10,0,1,0,0,1,0,0,0,2
Al Taubenberger,,,,,,,,,,,0,11,10,1,0,1,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,0,10,0,1,0,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,2
Kendra Brooks,,,,,,,,,,,,,,0,2,4,2,1,1,1,0,2
Sherrie Cohen,,,,,,,,,,,,,,,0,0,0,2,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,,,,,0,1,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,0,2
Total,61,25,0,59,59,56,53,52,19,16,13,13,12,10,5,4,3,2,1,1,0,2
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,3
