col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Court Of Common Pleas,,,,,,,,City Commissioners,,,,All
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,All
Tiffany Palmer,918,"211,451","210,841","206,918","207,098","204,586","200,383",186,"203,915","201,403","13,022",380,All
Jennifer Schultz,,472,"207,440","203,752","205,332","204,014","198,052",155,"200,912","196,520","12,578",342,All
Anthony Kyriakakis,,,352,"206,637","203,031","203,064","194,907",152,"198,775","196,193","13,079",370,All
James C Crumlish,,,,399,"202,966","203,223","194,884",153,"197,374","193,867","13,192",195,All
Carmella Jacquinto,,,,,380,"202,880","197,832",133,"198,028","194,194","11,387",184,All
Joshua Roberts,,,,,,242,"195,658",139,"195,844","192,571","11,511",167,All
Crystal B Powell,,,,,,,379,119,"192,341","188,902","9,809",132,All
Write-In,,,,,,,,25,133,130,76,38,All
Lisa Deeley,,,,,,,,,"2,344","198,929","10,209",28,All
Omar Sabir,,,,,,,,,,"2,119","3,842",67,All
Al Schmidt,,,,,,,,,,,"33,983",90,All
Write-In,,,,,,,,,,,,27,All
Total,"225,880","218,930","217,072","213,476","213,042","210,244","206,003",779,"222,111","216,454","53,709",563,All
