col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,City Commissioners,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,Al Taubenberger,Bill Heeney,David Oh,Dan Tinney,Allan Domb,Matt Wolfe,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Lisa Deeley,18,451,"1,931",0,562,456,538,433,"2,014",284,"1,927","1,869","1,834","1,806",196,144,78,33,57,39,32,5,All
Al Schmidt,,18,53,1,"2,109","2,047","1,979","2,028",332,"1,897",175,167,116,90,54,56,56,63,39,48,22,3,All
Omar Sabir,,,11,0,201,113,200,136,"1,773",51,"1,789","1,724","1,738","1,744",165,106,47,24,32,18,15,2,All
Write-In,,,,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,All
Al Taubenberger,,,,,30,"2,004","2,021","2,031",341,"1,840",205,177,146,120,42,35,35,37,35,28,9,2,All
Bill Heeney,,,,,,25,"1,909","1,982",265,"1,878",118,109,52,52,24,37,36,37,23,19,13,3,All
David Oh,,,,,,,22,"1,890",366,"1,779",213,97,128,100,48,48,43,38,38,23,12,5,All
Dan Tinney,,,,,,,,21,271,"1,844",106,125,98,72,33,28,29,37,19,25,14,1,All
Allan Domb,,,,,,,,,15,159,"1,807","1,721","1,705","1,681",85,50,35,12,32,17,10,4,All
Matt Wolfe,,,,,,,,,,12,67,62,41,16,18,13,26,35,17,23,11,2,All
Helen Gym,,,,,,,,,,,5,"1,742","1,721","1,710",139,74,34,17,34,10,6,1,All
Katherine Gilmore Richardson,,,,,,,,,,,,1,"1,713","1,701",112,66,27,8,29,6,9,1,All
Derek S Green,,,,,,,,,,,,,5,"1,736",88,59,24,9,18,11,9,2,All
Isaiah Thomas,,,,,,,,,,,,,,2,94,55,24,11,16,5,8,0,All
Kendra Brooks,,,,,,,,,,,,,,,0,128,35,14,28,18,12,0,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,0,32,13,17,18,18,0,All
Joe Cox,,,,,,,,,,,,,,,,,0,20,14,26,24,1,All
