col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,David Oh,Al Taubenberger,Nicolas O'Rourke,Dan Tinney,Bill Heeney,Matt Wolfe,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,"1,183","199,626","6,993","3,112",12,"187,131","179,100","174,035","173,909","168,375","50,368","15,813","10,943","39,396","9,969","7,440","6,137","6,906","6,681","3,470","2,242","1,834",449,All
Amanda Green-Hawkins,,964,"2,021","1,821",15,"185,239","180,388","173,242","174,357","165,199","48,466","11,175","5,493","38,055","4,860","3,057","3,047","6,060","5,955","3,143","1,610","1,913",442,All
Megan Mccarthy King,,,281,"35,573",3,"5,493","3,888","4,296","4,442","7,402","2,775","34,626","34,866","1,931","34,526","34,205","33,757","1,221","1,385","1,882","1,059",685,105,All
Christylee Peck,,,,121,3,"3,630","2,637","2,906","2,995","5,225","1,915","31,778","32,425","1,326","32,185","31,774","31,569",915,"1,052","1,627",854,573,74,All
Write-In,,,,,3,26,23,23,27,21,23,9,5,16,3,2,2,7,5,7,2,3,15,All
Helen Gym,,,,,,203,"174,873","169,560","171,423","166,360","40,811","9,380","4,556","30,862","3,529","2,044","2,112","5,687","4,708","1,956","1,260",855,218,All
Isaiah Thomas,,,,,,,353,"171,329","170,084","160,050","31,250","6,545","2,985","23,947","2,636","1,420","1,112","2,691","2,891","1,854",690,865,249,All
Derek S Green,,,,,,,,197,"166,363","160,741","25,003","6,994","3,709","17,300","2,983","1,128","1,762","3,161","2,561","1,741",781,744,221,All
Katherine Gilmore Richardson,,,,,,,,,139,"158,663","27,718","4,377","3,448","19,972","3,924","1,893","1,940","2,792","2,332","1,374",685,842,179,All
Allan Domb,,,,,,,,,,472,"16,586","11,638","6,975","10,025","6,868","4,519","4,057","2,216","1,894","1,386","1,022",519,195,All
Kendra Brooks,,,,,,,,,,,104,"4,131","1,278","44,255","1,842",647,828,"5,639","5,006","2,070","1,445","1,111",184,All
David Oh,,,,,,,,,,,,815,"37,005","2,626","34,697","34,736","34,319","1,338","1,300","1,586",794,639,103,All
Al Taubenberger,,,,,,,,,,,,,346,800,"36,734","35,517","34,224",819,663,"1,085",606,241,65,All
Nicolas O'Rourke,,,,,,,,,,,,,,15,777,677,696,"3,399","3,496","1,161",968,787,141,All
Dan Tinney,,,,,,,,,,,,,,,280,"35,538","34,285",546,629,889,539,262,43,All
Bill Heeney,,,,,,,,,,,,,,,,390,"34,994",417,585,908,392,297,54,All
Matt Wolfe,,,,,,,,,,,,,,,,,162,533,670,"1,089",521,327,41,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,56,"1,683",963,835,418,57,All
Joe Cox,,,,,,,,,,,,,,,,,,,30,"1,172","1,106","1,662",63,All
Maj Toure,,,,,,,,,,,,,,,,,,,,210,732,567,44,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,19,418,10,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,6,13,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,15,All
Total,"226,716","218,854","47,454","41,541",109,"205,579","196,650","189,742","189,734","186,581","60,243","53,690","47,494","46,553","46,206","43,189","41,283","9,114","8,878","6,176","3,480","2,958",745,All
