col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,All
,Al Taubenberger,David Oh,Dan Tinney,Bill Heeney,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Amanda Green-Hawkins,Write-In,All
Al Taubenberger,59,"3,480","3,565","3,343","3,297",525,297,235,206,164,52,46,82,59,33,38,13,6,939,"3,355","3,153",362,2,All
David Oh,,33,"3,220","3,147","3,164",525,325,125,178,139,63,42,76,56,35,32,18,4,814,"3,095","2,886",370,2,All
Dan Tinney,,,21,"3,278","3,239",392,170,180,133,106,56,30,40,41,16,25,10,2,678,"3,208","3,047",202,2,All
Bill Heeney,,,,22,"3,221",258,100,104,45,47,28,30,30,39,24,17,16,3,495,"3,141","2,937",133,2,All
Matt Wolfe,,,,,11,250,97,113,75,36,23,30,45,40,23,21,11,2,440,"3,158","2,932",148,2,All
Allan Domb,,,,,,31,"2,691","2,490","2,499","2,435",143,60,88,20,21,31,7,4,"2,891",367,236,"2,602",0,All
Helen Gym,,,,,,,4,"2,553","2,522","2,482",229,126,86,20,37,19,12,0,"2,739",170,106,"2,651",0,All
Katherine Gilmore Richardson,,,,,,,,2,"2,481","2,460",159,94,39,16,28,24,13,1,"2,568",174,122,"2,516",0,All
Derek S Green,,,,,,,,,4,"2,498",98,62,41,12,27,13,8,2,"2,547",123,90,"2,475",0,All
Isaiah Thomas,,,,,,,,,,3,121,71,35,12,26,9,6,1,"2,505",97,74,"2,466",0,All
Kendra Brooks,,,,,,,,,,,0,198,62,19,42,21,18,0,293,51,36,268,0,All
Nicolas O'Rourke,,,,,,,,,,,,0,30,13,41,24,14,0,199,46,37,172,0,All
Sherrie Cohen,,,,,,,,,,,,,1,18,30,28,8,1,134,67,46,110,0,All
Maj Toure,,,,,,,,,,,,,,6,24,17,8,0,46,78,60,28,0,All
Joe Cox,,,,,,,,,,,,,,,1,19,31,0,77,43,28,59,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,0,7,1,52,41,30,32,0,All
Clarc King,,,,,,,,,,,,,,,,,0,0,35,20,17,28,0,All
Write-In,,,,,,,,,,,,,,,,,,0,2,5,5,1,1,All
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,55,403,189,"2,886",0,All
Megan Mccarthy King,,,,,,,,,,,,,,,,,,,,20,"3,211",56,0,All
Christylee Peck,,,,,,,,,,,,,,,,,,,,,11,44,0,All
Amanda Green-Hawkins,,,,,,,,,,,,,,,,,,,,,,29,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,479","4,049","4,020","3,729","3,686","3,410","3,087","2,890","2,813","2,747",375,257,219,136,128,98,56,14,"4,021","3,923","3,547","3,206",3,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Allan Domb,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Al Taubenberger,David Oh,Bill Heeney,Matt Wolfe,Dan Tinney,Kendra Brooks,Maj Toure,Sherrie Cohen,Nicolas O'Rourke,Clarc King,Joe Cox,Steve Cherniavsky,Write-In,1
Daniel D Mccaffery,1,50,4,0,0,49,50,47,48,45,5,5,4,2,2,4,1,3,2,0,0,0,0,1
Amanda Green-Hawkins,,0,1,0,0,52,50,50,49,49,2,3,0,0,0,3,1,3,1,0,0,0,0,1
Megan Mccarthy King,,,0,25,0,3,3,2,1,2,30,26,27,27,26,1,1,0,1,0,0,0,0,1
Christylee Peck,,,,1,0,3,1,2,0,0,26,24,24,24,23,0,0,0,0,0,0,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allan Domb,,,,,,0,53,53,50,50,3,4,2,2,0,2,0,3,0,0,0,0,0,1
Derek S Green,,,,,,,0,51,52,50,2,1,2,1,1,2,0,1,1,0,0,0,0,1
Helen Gym,,,,,,,,0,49,48,3,4,1,0,0,1,0,3,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,0,49,1,1,1,1,0,2,0,0,1,0,0,0,0,1
Isaiah Thomas,,,,,,,,,,0,1,1,1,0,0,1,2,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,2,30,29,28,27,0,1,0,0,0,0,0,0,1
David Oh,,,,,,,,,,,,1,28,27,26,1,1,2,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,0,28,28,1,1,0,1,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,,0,27,0,0,0,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,1
Kendra Brooks,,,,,,,,,,,,,,,,0,0,1,2,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,59,56,33,27,0,58,57,54,53,52,37,33,31,30,28,4,3,3,2,0,0,0,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
