col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Mayor,,,City Commissioners,,,,13
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,13
Jim Kenney,3,0,0,100,91,1,0,13
Billy Ciancaglini,,0,0,1,1,1,0,13
Write-In,,,0,0,0,0,0,13
Omar Sabir,,,,1,89,1,0,13
Lisa Deeley,,,,,0,0,0,13
Al Schmidt,,,,,,0,0,13
Write-In,,,,,,,0,13
Total,106,2,0,102,92,2,0,13
,Mayor,,,City Commissioners,,,,14
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,14
Jim Kenney,2,0,0,101,96,1,0,14
Billy Ciancaglini,,0,0,4,3,1,0,14
Write-In,,,0,0,0,0,0,14
Omar Sabir,,,,0,95,0,0,14
Lisa Deeley,,,,,1,0,0,14
Al Schmidt,,,,,,0,0,14
Write-In,,,,,,,0,14
Total,108,6,0,106,101,2,0,14
,Mayor,,,City Commissioners,,,,15
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,15
Jim Kenney,6,0,0,131,123,0,0,15
Billy Ciancaglini,,0,0,2,3,2,0,15
Write-In,,,0,0,0,0,0,15
Omar Sabir,,,,3,121,0,0,15
Lisa Deeley,,,,,1,0,0,15
Al Schmidt,,,,,,0,0,15
Write-In,,,,,,,0,15
Total,141,5,0,136,127,2,0,15
,Mayor,,,City Commissioners,,,,16
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,16
Jim Kenney,4,0,0,135,128,0,0,16
Billy Ciancaglini,,0,0,0,0,1,0,16
Write-In,,,0,0,0,0,0,16
Omar Sabir,,,,3,127,0,0,16
Lisa Deeley,,,,,0,0,0,16
Al Schmidt,,,,,,0,0,16
Write-In,,,,,,,0,16
Total,140,1,0,138,128,1,0,16
,Mayor,,,City Commissioners,,,,17
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,17
Jim Kenney,5,0,0,150,144,5,0,17
Billy Ciancaglini,,0,0,4,3,5,0,17
Write-In,,,0,0,0,0,0,17
Omar Sabir,,,,0,138,1,0,17
Lisa Deeley,,,,,0,3,0,17
Al Schmidt,,,,,,0,0,17
Write-In,,,,,,,0,17
Total,164,10,0,154,147,10,0,17
,Mayor,,,City Commissioners,,,,18
,Jim Kenney,Billy Ciancaglini,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,18
Jim Kenney,4,0,0,196,195,0,0,18
Billy Ciancaglini,,0,0,2,2,5,0,18
Write-In,,,0,1,1,0,0,18
Lisa Deeley,,,,0,194,0,0,18
Omar Sabir,,,,,1,0,0,18
Al Schmidt,,,,,,0,0,18
Write-In,,,,,,,0,18
Total,203,8,1,199,199,5,0,18
