col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large,,,,,,,,,,,,,,,,,,City Commissioners,,,,All
,Bill Heeney,David Oh,Dan Tinney,Al Taubenberger,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Joe Cox,Steve Cherniavsky,Sherrie Cohen,Clarc King,Write-In,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,All
Bill Heeney,50,"1,311","1,356","1,328","1,309",212,68,89,32,37,25,25,31,26,23,11,9,0,"1,471",306,65,0,All
David Oh,,5,"1,209","1,219","1,181",201,107,59,74,62,31,29,22,26,20,19,11,2,"1,291",282,90,0,All
Dan Tinney,,,6,"1,255","1,213",131,45,74,55,46,22,17,19,15,19,7,9,0,"1,324",223,60,0,All
Al Taubenberger,,,,12,"1,190",131,57,68,56,39,21,16,24,15,15,15,8,0,"1,310",225,58,0,All
Matt Wolfe,,,,,6,97,34,53,33,6,11,13,24,19,21,6,6,0,"1,272",163,35,0,All
Allan Domb,,,,,,17,"1,057","1,006","1,016",992,65,37,11,19,16,15,6,1,218,"1,182","1,023",0,All
Helen Gym,,,,,,,4,"1,054","1,025","1,038",123,88,15,21,11,28,5,0,104,"1,159","1,076",1,All
Katherine Gilmore Richardson,,,,,,,,2,"1,011","1,025",96,61,10,14,6,16,7,0,103,"1,143","1,035",0,All
Derek S Green,,,,,,,,,2,"1,030",76,50,14,10,11,15,3,0,85,"1,090","1,043",0,All
Isaiah Thomas,,,,,,,,,,3,91,63,13,11,7,12,5,0,65,"1,091","1,047",1,All
Kendra Brooks,,,,,,,,,,,0,132,20,30,22,30,12,1,46,165,149,1,All
Nicolas O'Rourke,,,,,,,,,,,,0,6,20,16,13,7,0,38,116,102,1,All
Maj Toure,,,,,,,,,,,,,3,20,18,13,10,0,47,41,32,0,All
Joe Cox,,,,,,,,,,,,,,0,17,16,19,1,39,59,35,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,0,13,4,0,45,36,19,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,1,5,1,28,49,31,0,All
Clarc King,,,,,,,,,,,,,,,,,0,0,15,23,15,0,All
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Al Schmidt,,,,,,,,,,,,,,,,,,,13,269,31,0,All
Lisa Deeley,,,,,,,,,,,,,,,,,,,,5,"1,164",0,All
Omar Sabir,,,,,,,,,,,,,,,,,,,,,4,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"1,766","1,503","1,495","1,485","1,389","1,358","1,253","1,209","1,162","1,151",221,166,89,86,70,66,35,8,"1,704","1,626","1,243",4,All
,Council At Large,,,,,,,,,,,,,,,,,,City Commissioners,,,,1
,Bill Heeney,Dan Tinney,David Oh,Al Taubenberger,Matt Wolfe,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Helen Gym,Isaiah Thomas,Maj Toure,Kendra Brooks,Joe Cox,Nicolas O'Rourke,Clarc King,Sherrie Cohen,Steve Cherniavsky,Write-In,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,1
Bill Heeney,2,89,83,82,89,16,10,6,5,2,6,2,2,3,0,1,1,0,89,26,4,0,1
Dan Tinney,,1,75,76,73,8,5,4,1,2,2,2,0,1,0,0,0,0,81,16,5,0,1
David Oh,,,1,77,74,12,3,5,7,2,5,2,3,0,0,0,1,0,77,17,4,0,1
Al Taubenberger,,,,0,74,9,2,4,5,1,5,2,1,0,1,0,0,0,80,12,5,0,1
Matt Wolfe,,,,,1,5,6,4,2,0,6,0,3,2,0,1,0,0,80,12,2,0,1
Allan Domb,,,,,,1,38,39,36,36,0,2,2,2,0,0,1,0,14,48,36,0,1
Katherine Gilmore Richardson,,,,,,,0,40,37,37,2,4,0,2,1,1,0,0,4,47,38,0,1
Derek S Green,,,,,,,,0,36,35,2,3,0,2,0,1,0,0,3,44,38,0,1
Helen Gym,,,,,,,,,0,32,2,5,1,2,0,1,0,0,5,43,34,0,1
Isaiah Thomas,,,,,,,,,,0,2,2,0,0,1,0,0,0,3,36,35,0,1
Maj Toure,,,,,,,,,,,0,3,2,0,2,1,0,0,5,6,4,0,1
Kendra Brooks,,,,,,,,,,,,0,2,3,2,1,0,0,2,8,4,0,1
Joe Cox,,,,,,,,,,,,,0,1,2,0,0,0,2,5,1,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,0,0,1,1,0,2,4,1,0,1
Clarc King,,,,,,,,,,,,,,,0,0,0,0,1,3,1,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,1,2,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Al Schmidt,,,,,,,,,,,,,,,,,,,0,11,3,0,1
Lisa Deeley,,,,,,,,,,,,,,,,,,,,1,42,0,1
Omar Sabir,,,,,,,,,,,,,,,,,,,,,1,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,0,1
Total,119,101,96,93,91,61,51,48,45,41,11,9,7,6,3,2,2,0,101,78,50,0,1
,City Commissioners,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Al Taubenberger,Dan Tinney,Bill Heeney,Helen Gym,Matt Wolfe,Isaiah Thomas,Allan Domb,David Oh,Katherine Gilmore Richardson,Derek S Green,Maj Toure,Kendra Brooks,Nicolas O'Rourke,Write-In,Clarc King,Joe Cox,Steve Cherniavsky,Sherrie Cohen,2
Lisa Deeley,0,48,4,0,10,9,6,42,4,39,38,4,39,35,3,3,3,0,2,3,2,1,2
Omar Sabir,,0,0,0,6,7,4,42,3,40,37,3,37,36,2,5,5,0,2,2,2,1,2
Al Schmidt,,,1,0,42,41,42,4,39,1,5,35,0,1,2,0,0,0,0,0,2,0,2
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Al Taubenberger,,,,,1,46,44,2,40,3,4,39,2,1,0,0,0,0,1,1,2,1,2
Dan Tinney,,,,,,0,45,3,41,2,3,40,0,1,3,0,0,0,1,1,1,1,2
Bill Heeney,,,,,,,1,4,43,1,5,40,0,1,1,0,0,0,2,0,1,0,2
Helen Gym,,,,,,,,0,2,37,39,1,37,36,1,4,4,0,1,0,1,0,2
Matt Wolfe,,,,,,,,,0,0,4,38,0,1,0,0,0,0,1,0,2,0,2
Isaiah Thomas,,,,,,,,,,1,34,1,36,37,0,3,3,0,1,1,0,0,2
Allan Domb,,,,,,,,,,,0,2,33,32,0,2,2,0,1,0,2,0,2
David Oh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2
