col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Allan Domb,Helen Gym,Derek S Green,Katherine Gilmore Richardson,David Oh,Bill Heeney,Al Taubenberger,Matt Wolfe,Dan Tinney,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Joe Cox,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,12,"2,117",18,18,1,"2,095","2,025","2,057","2,048","2,017",108,53,59,22,27,167,109,29,29,30,15,10,2,All
Daniel D Mccaffery,,11,33,19,0,"2,056","2,006","2,006","2,015","1,981",132,69,79,38,50,146,108,26,30,25,15,15,2,All
Megan Mccarthy King,,,5,299,0,43,65,48,36,38,286,295,278,271,261,17,11,12,12,8,9,7,3,All
Christylee Peck,,,,0,0,30,47,35,24,23,281,268,269,259,246,11,10,13,11,6,8,4,3,All
Write-In,,,,,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Isaiah Thomas,,,,,,12,"2,050","2,081","2,088","2,046",74,32,36,14,13,114,75,20,15,13,8,5,2,All
Allan Domb,,,,,,,4,"2,047","2,039","2,012",100,50,55,25,32,61,27,12,10,9,5,11,1,All
Helen Gym,,,,,,,,2,"2,052","2,020",84,27,44,13,15,113,76,14,13,21,8,6,2,All
Derek S Green,,,,,,,,,1,"2,026",72,21,34,13,11,79,48,16,12,11,6,5,2,All
Katherine Gilmore Richardson,,,,,,,,,,0,45,24,37,16,13,71,45,7,9,10,4,3,2,All
David Oh,,,,,,,,,,,9,296,312,279,275,28,15,20,13,10,10,8,1,All
Bill Heeney,,,,,,,,,,,,12,302,291,283,11,9,9,7,4,3,7,2,All
Al Taubenberger,,,,,,,,,,,,,2,283,283,12,8,9,2,6,4,6,1,All
Matt Wolfe,,,,,,,,,,,,,,2,273,6,10,8,6,4,3,5,0,All
Dan Tinney,,,,,,,,,,,,,,,0,3,6,3,5,7,2,10,3,All
Kendra Brooks,,,,,,,,,,,,,,,,1,121,14,22,27,9,9,0,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,,0,5,18,14,8,6,0,All
Maj Toure,,,,,,,,,,,,,,,,,,2,9,6,2,5,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,1,10,15,8,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,2,3,3,All
Clarc King,,,,,,,,,,,,,,,,,,,,,0,4,0,All
