col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,Joshua Roberts,James C Crumlish,Crystal B Powell,Write-In,All
Lisa Deeley,43,"1,224",133,0,"1,345","1,323","1,298","1,271","1,261","1,268","1,260",1,All
Omar Sabir,,11,13,1,"1,227","1,208","1,201","1,174","1,158","1,173","1,154",2,All
Al Schmidt,,,627,0,151,148,144,122,136,137,124,0,All
Write-In,,,,0,1,1,1,1,1,1,1,0,All
Tiffany Palmer,,,,,5,"1,379","1,352","1,324","1,305","1,314","1,300",1,All
Jennifer Schultz,,,,,,8,"1,337","1,310","1,301","1,300","1,291",1,All
Anthony Kyriakakis,,,,,,,3,"1,288","1,292","1,317","1,255",1,All
Carmella Jacquinto,,,,,,,,8,"1,278","1,282","1,270",0,All
Joshua Roberts,,,,,,,,,7,"1,294","1,253",0,All
James C Crumlish,,,,,,,,,,2,"1,249",0,All
Crystal B Powell,,,,,,,,,,,5,0,All
Write-In,,,,,,,,,,,,0,All
Total,"1,497","1,300",855,3,"1,470","1,442","1,404","1,358","1,357","1,355","1,340",2,All
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,1
,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,Tiffany Palmer,Anthony Kyriakakis,James C Crumlish,Jennifer Schultz,Joshua Roberts,Carmella Jacquinto,Crystal B Powell,Write-In,1
Al Schmidt,41,16,1,0,17,19,18,19,19,16,14,0,1
Lisa Deeley,,5,35,0,47,48,45,44,43,42,41,0,1
Omar Sabir,,,1,1,39,39,38,35,33,33,31,0,1
Write-In,,,,0,1,1,1,1,1,1,1,0,1
Tiffany Palmer,,,,,0,53,52,50,50,48,45,0,1
Anthony Kyriakakis,,,,,,0,54,51,49,47,43,0,1
James C Crumlish,,,,,,,1,50,49,47,44,0,1
Jennifer Schultz,,,,,,,,0,49,49,44,0,1
Joshua Roberts,,,,,,,,,1,47,42,0,1
Carmella Jacquinto,,,,,,,,,,1,43,0,1
Crystal B Powell,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,0,1
Total,70,58,43,1,60,59,58,56,55,52,48,0,1
,Judge Of The Court Of Common Pleas,,,,,,,,City Commissioners,,,,2
,Tiffany Palmer,Carmella Jacquinto,Anthony Kyriakakis,Jennifer Schultz,Crystal B Powell,Joshua Roberts,James C Crumlish,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,2
Tiffany Palmer,1,47,46,47,45,45,45,0,47,45,2,0,2
Carmella Jacquinto,,0,45,45,45,44,45,0,44,45,2,0,2
Anthony Kyriakakis,,,0,45,43,44,45,0,44,43,2,0,2
Jennifer Schultz,,,,0,44,44,44,0,43,42,2,0,2
Crystal B Powell,,,,,0,44,43,0,43,43,2,0,2
Joshua Roberts,,,,,,0,44,0,44,42,3,0,2
James C Crumlish,,,,,,,0,0,43,42,2,0,2
Write-In,,,,,,,,0,0,0,0,0,2
Lisa Deeley,,,,,,,,,1,46,2,0,2
Omar Sabir,,,,,,,,,,0,0,0,2
Al Schmidt,,,,,,,,,,,10,0,2
Write-In,,,,,,,,,,,,0,2
Total,53,48,47,47,46,46,45,0,52,48,14,0,2
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,3
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,3
Lisa Deeley,2,80,9,0,84,81,82,77,78,74,72,0,3
Omar Sabir,,0,1,0,79,79,76,73,73,72,69,0,3
Al Schmidt,,,66,0,8,7,12,8,9,7,7,0,3
Write-In,,,,0,0,0,0,0,0,0,0,0,3
Tiffany Palmer,,,,,0,84,85,82,82,78,76,0,3
Jennifer Schultz,,,,,,2,82,81,81,80,77,0,3
Anthony Kyriakakis,,,,,,,0,82,82,79,75,0,3
James C Crumlish,,,,,,,,0,80,80,77,0,3
Carmella Jacquinto,,,,,,,,,0,78,76,0,3
Joshua Roberts,,,,,,,,,,0,76,0,3
Crystal B Powell,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,0,3
Total,100,86,80,0,95,93,91,85,84,80,78,0,3
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,4
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Tiffany Palmer,Anthony Kyriakakis,Carmella Jacquinto,Jennifer Schultz,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,4
Lisa Deeley,3,69,16,0,85,81,80,77,79,78,76,0,4
Omar Sabir,,1,2,0,74,73,67,69,68,66,65,0,4
Al Schmidt,,,48,0,16,14,13,11,15,14,13,0,4
Write-In,,,,0,0,0,0,0,0,0,0,0,4
Tiffany Palmer,,,,,1,88,80,83,80,79,77,0,4
Anthony Kyriakakis,,,,,,1,77,81,79,78,75,0,4
Carmella Jacquinto,,,,,,,2,75,78,77,75,0,4
Jennifer Schultz,,,,,,,,0,74,76,73,0,4
James C Crumlish,,,,,,,,,0,77,75,0,4
Joshua Roberts,,,,,,,,,,1,76,0,4
Crystal B Powell,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,0,4
Total,94,77,68,0,94,90,84,83,82,82,78,0,4
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,5
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Crystal B Powell,Carmella Jacquinto,James C Crumlish,Joshua Roberts,Write-In,5
Lisa Deeley,1,6,73,0,81,79,78,76,74,75,73,0,5
Al Schmidt,,65,1,0,8,7,9,6,6,7,4,0,5
Omar Sabir,,,1,0,70,72,70,68,65,67,65,0,5
Write-In,,,,0,0,0,0,0,0,0,0,0,5
Jennifer Schultz,,,,,1,83,80,77,75,76,74,0,5
Tiffany Palmer,,,,,,0,78,77,75,76,74,0,5
Anthony Kyriakakis,,,,,,,1,74,74,78,73,0,5
Crystal B Powell,,,,,,,,0,76,72,73,0,5
Carmella Jacquinto,,,,,,,,,1,72,73,0,5
James C Crumlish,,,,,,,,,,0,72,0,5
Joshua Roberts,,,,,,,,,,,1,0,5
Write-In,,,,,,,,,,,,0,5
Total,90,81,77,0,89,87,86,81,79,79,78,0,5
,Judge Of The Court Of Common Pleas,,,,,,,,City Commissioners,,,,6
,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Crystal B Powell,James C Crumlish,Joshua Roberts,Carmella Jacquinto,Write-In,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,6
Jennifer Schultz,2,78,77,73,73,69,68,0,75,17,60,0,6
Tiffany Palmer,,0,75,72,73,68,68,0,73,16,59,0,6
Anthony Kyriakakis,,,0,72,72,69,66,0,72,16,59,0,6
Crystal B Powell,,,,1,70,66,65,0,68,16,55,0,6
James C Crumlish,,,,,0,69,67,0,70,14,57,0,6
Joshua Roberts,,,,,,0,66,0,66,14,53,0,6
Carmella Jacquinto,,,,,,,0,0,64,12,53,0,6
Write-In,,,,,,,,0,0,0,0,0,6
Lisa Deeley,,,,,,,,,4,15,60,0,6
Al Schmidt,,,,,,,,,,42,0,0,6
Omar Sabir,,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,,0,6
Total,84,79,77,75,74,70,68,0,83,64,60,0,6
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,7
,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,7
Al Schmidt,57,7,1,0,10,10,8,7,7,7,7,0,7
Lisa Deeley,,3,51,0,59,58,55,55,54,53,54,0,7
Omar Sabir,,,0,0,53,53,53,51,52,51,51,0,7
Write-In,,,,0,0,0,0,0,0,0,0,0,7
Jennifer Schultz,,,,,0,66,62,64,61,61,62,0,7
Tiffany Palmer,,,,,,0,64,63,63,62,61,0,7
Anthony Kyriakakis,,,,,,,0,61,64,63,58,0,7
Carmella Jacquinto,,,,,,,,1,60,61,60,0,7
James C Crumlish,,,,,,,,,1,63,57,0,7
Joshua Roberts,,,,,,,,,,0,57,0,7
Crystal B Powell,,,,,,,,,,,0,0,7
Write-In,,,,,,,,,,,,0,7
Total,71,66,55,0,70,69,66,66,65,64,63,0,7
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,8
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Crystal B Powell,Carmella Jacquinto,Write-In,8
Lisa Deeley,0,66,14,0,76,74,71,71,69,68,67,0,8
Omar Sabir,,0,1,0,67,65,66,64,61,62,62,0,8
Al Schmidt,,,36,0,14,12,10,11,10,10,8,0,8
Write-In,,,,0,0,0,0,0,0,0,0,0,8
Tiffany Palmer,,,,,0,77,75,73,71,71,70,0,8
Jennifer Schultz,,,,,,0,75,72,70,70,70,0,8
Anthony Kyriakakis,,,,,,,0,72,69,67,68,0,8
James C Crumlish,,,,,,,,0,70,70,70,0,8
Joshua Roberts,,,,,,,,,0,69,68,0,8
Crystal B Powell,,,,,,,,,,0,68,0,8
Carmella Jacquinto,,,,,,,,,,,0,0,8
Write-In,,,,,,,,,,,,0,8
Total,83,69,55,0,82,80,79,76,72,71,70,0,8
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,9
,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,Tiffany Palmer,Carmella Jacquinto,Crystal B Powell,James C Crumlish,Jennifer Schultz,Joshua Roberts,Anthony Kyriakakis,Write-In,9
Omar Sabir,0,46,1,0,47,49,45,47,47,46,47,0,9
Lisa Deeley,,1,1,0,46,45,44,46,46,45,45,0,9
Al Schmidt,,,9,0,2,1,3,3,3,2,1,0,9
Write-In,,,,0,0,0,0,0,0,0,0,0,9
Tiffany Palmer,,,,,1,46,46,46,47,46,46,0,9
Carmella Jacquinto,,,,,,0,45,47,47,46,47,0,9
Crystal B Powell,,,,,,,1,46,47,47,45,0,9
James C Crumlish,,,,,,,,0,48,47,47,0,9
Jennifer Schultz,,,,,,,,,0,47,47,0,9
Joshua Roberts,,,,,,,,,,0,46,0,9
Anthony Kyriakakis,,,,,,,,,,,0,0,9
Write-In,,,,,,,,,,,,0,9
Total,50,49,13,0,50,49,49,49,49,48,47,0,9
,Judge Of The Court Of Common Pleas,,,,,,,,City Commissioners,,,,10
,Tiffany Palmer,Jennifer Schultz,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Anthony Kyriakakis,James C Crumlish,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,10
Tiffany Palmer,0,78,74,72,69,70,69,1,69,63,11,0,10
Jennifer Schultz,,0,74,70,69,70,68,1,68,64,10,0,10
Carmella Jacquinto,,,0,69,69,69,68,0,67,61,9,0,10
Joshua Roberts,,,,0,64,66,67,0,66,59,11,0,10
Crystal B Powell,,,,,0,64,64,0,65,58,7,0,10
Anthony Kyriakakis,,,,,,0,68,1,63,58,8,0,10
James C Crumlish,,,,,,,0,0,63,57,8,0,10
Write-In,,,,,,,,0,1,1,0,0,10
Lisa Deeley,,,,,,,,,1,61,8,0,10
Omar Sabir,,,,,,,,,,1,1,0,10
Al Schmidt,,,,,,,,,,,41,0,10
Write-In,,,,,,,,,,,,0,10
Total,80,79,75,74,71,70,69,1,74,65,55,0,10
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,11
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Jennifer Schultz,Tiffany Palmer,Carmella Jacquinto,Anthony Kyriakakis,Crystal B Powell,Joshua Roberts,James C Crumlish,Write-In,11
Lisa Deeley,4,68,6,0,76,75,72,70,70,70,67,0,11
Omar Sabir,,2,0,0,67,67,65,64,62,63,61,0,11
Al Schmidt,,,30,0,7,7,7,6,7,6,6,0,11
Write-In,,,,0,0,0,0,0,0,0,0,0,11
Jennifer Schultz,,,,,0,77,75,72,72,71,68,0,11
Tiffany Palmer,,,,,,0,75,73,72,71,69,0,11
Carmella Jacquinto,,,,,,,0,71,71,71,68,0,11
Anthony Kyriakakis,,,,,,,,0,68,70,69,0,11
Crystal B Powell,,,,,,,,,0,68,66,0,11
Joshua Roberts,,,,,,,,,,0,68,0,11
James C Crumlish,,,,,,,,,,,0,0,11
Write-In,,,,,,,,,,,,0,11
Total,83,70,38,2,79,78,75,73,72,72,69,0,11
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,12
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Joshua Roberts,Crystal B Powell,Carmella Jacquinto,James C Crumlish,Write-In,12
Lisa Deeley,3,61,4,0,66,66,62,62,62,61,58,0,12
Omar Sabir,,0,1,0,59,59,60,56,56,57,54,0,12
Al Schmidt,,,42,0,7,5,7,6,5,3,7,0,12
Write-In,,,,0,0,0,0,0,0,0,0,0,12
Jennifer Schultz,,,,,0,66,62,64,62,61,60,0,12
Tiffany Palmer,,,,,,1,62,62,61,63,59,0,12
Anthony Kyriakakis,,,,,,,0,61,57,60,60,0,12
Joshua Roberts,,,,,,,,0,60,60,62,0,12
Crystal B Powell,,,,,,,,,0,60,55,0,12
Carmella Jacquinto,,,,,,,,,,0,58,0,12
James C Crumlish,,,,,,,,,,,0,0,12
Write-In,,,,,,,,,,,,0,12
Total,76,64,54,0,72,71,69,68,66,64,64,0,12
,City Commissioners,,,,Judge Of The Court Of Common Pleas,,,,,,,,13
,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,Anthony Kyriakakis,Jennifer Schultz,Tiffany Palmer,Crystal B Powell,Joshua Roberts,Carmella Jacquinto,James C Crumlish,Write-In,13
Omar Sabir,1,59,0,0,57,57,57,57,57,57,56,1,13
Lisa Deeley,,0,0,0,58,57,58,57,58,57,57,0,13
Al Schmidt,,,8,0,1,1,1,1,1,1,0,0,13
