col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Council At Large,,,,,,,,,,,,,,,,,,District Council 2nd District,,,All
,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Derek S Green,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Dan Tinney,Bill Heeney,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,All
Helen Gym,2,"2,928","2,916","2,779","2,759","1,404","1,038",214,70,43,77,23,132,114,38,52,21,2,"2,994",361,123,All
Isaiah Thomas,,4,"2,675","2,427","2,641",948,714,126,43,21,28,9,68,67,32,33,18,2,"2,726",245,79,All
Katherine Gilmore Richardson,,,5,"2,404","2,579",940,669,92,45,27,62,12,69,57,22,23,23,1,"2,669",257,83,All
Allan Domb,,,,5,"2,408",664,412,277,140,98,119,53,54,62,32,35,14,1,"2,428",391,94,All
Derek S Green,,,,,4,758,500,141,62,38,34,7,70,54,30,37,17,2,"2,573",253,73,All
Kendra Brooks,,,,,,1,"1,288",96,26,17,58,6,134,109,37,48,14,1,"1,205",200,107,All
Nicolas O'Rourke,,,,,,,0,61,9,13,12,6,71,71,18,27,12,1,935,132,67,All
David Oh,,,,,,,,5,311,302,251,254,24,28,31,26,12,3,149,411,12,All
Al Taubenberger,,,,,,,,,1,273,250,238,11,13,23,18,4,0,50,327,8,All
Matt Wolfe,,,,,,,,,,0,253,255,10,9,27,13,6,0,32,329,3,All
Dan Tinney,,,,,,,,,,,0,226,6,6,13,21,1,0,57,284,3,All
Bill Heeney,,,,,,,,,,,,0,4,6,16,4,5,0,20,264,0,All
Sherrie Cohen,,,,,,,,,,,,,1,30,16,18,6,1,102,52,6,All
Joe Cox,,,,,,,,,,,,,,0,20,33,32,1,88,55,11,All
Maj Toure,,,,,,,,,,,,,,,6,16,12,1,48,47,3,All
Steve Cherniavsky,,,,,,,,,,,,,,,,1,9,0,30,57,3,All
Clarc King,,,,,,,,,,,,,,,,,0,0,23,26,1,All
Write-In,,,,,,,,,,,,,,,,,,0,2,1,1,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,17,0,0,All
Michael Bradley,,,,,,,,,,,,,,,,,,,,5,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,817","3,282","3,241","3,137","3,114","1,778","1,336",620,407,378,371,295,195,186,114,109,56,6,"3,411",822,145,All
,Council At Large,,,,,,,,,,,,,,,,,,District Council 2nd District,,,1
,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Bill Heeney,Dan Tinney,Sherrie Cohen,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,1
Helen Gym,0,263,258,248,238,101,72,15,3,2,3,4,13,6,5,6,2,0,258,29,6,1
Isaiah Thomas,,0,235,232,215,68,52,8,2,0,2,2,7,3,4,2,1,0,243,18,1,1
Katherine Gilmore Richardson,,,1,232,213,67,48,5,3,1,2,4,5,3,2,2,2,0,231,20,5,1
Derek S Green,,,,0,209,45,28,6,1,0,1,1,7,3,3,2,2,0,228,14,3,1
Allan Domb,,,,,0,41,23,18,9,7,6,9,6,2,3,2,0,0,210,29,4,1
Kendra Brooks,,,,,,0,80,6,2,1,1,3,12,6,2,2,0,1,80,14,4,1
Nicolas O'Rourke,,,,,,,0,3,1,1,0,0,7,4,3,1,2,1,54,12,3,1
David Oh,,,,,,,,0,25,23,20,19,2,1,2,0,1,0,12,26,1,1
Al Taubenberger,,,,,,,,,0,25,21,19,0,1,1,0,1,0,5,25,0,1
Matt Wolfe,,,,,,,,,,0,22,20,1,2,2,0,1,0,2,23,1,1
Bill Heeney,,,,,,,,,,,0,20,1,0,2,0,0,0,4,20,0,1
Dan Tinney,,,,,,,,,,,,0,1,0,1,0,0,0,5,19,0,1
