col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,District Council 4th District,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Dan Tinney,Al Taubenberger,Bill Heeney,Matt Wolfe,Sherrie Cohen,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,All
Curtis Jones Jr,192,17,6,0,"23,118","22,982","22,684","22,472","22,118","4,017","1,459","2,799",734,709,443,478,499,392,307,144,122,27,All
Karla Cruel,,28,0,0,"1,453","1,091","1,040","1,153","1,015","1,050",607,720,420,379,338,366,304,321,179,205,133,11,All
Matt Baltsar,,,11,0,256,197,207,219,300,152,465,111,430,413,420,413,73,94,243,41,82,5,All
Write-In,,,,1,7,4,6,5,5,5,8,2,9,12,8,9,2,1,1,0,0,9,All
Helen Gym,,,,,27,"22,415","22,196","22,311","22,033","3,628","1,065","2,431",450,423,206,238,611,390,262,113,138,17,All
Isaiah Thomas,,,,,,48,"22,558","22,244","21,366","2,883",837,"1,969",218,278,146,141,279,278,255,124,73,13,All
Derek S Green,,,,,,,26,"22,008","21,467","2,574",862,"1,619",280,319,115,200,324,278,233,95,79,15,All
Katherine Gilmore Richardson,,,,,,,,30,"21,253","2,802",581,"1,785",400,307,188,221,326,234,199,145,77,7,All
Allan Domb,,,,,,,,,67,"1,828","1,222","1,015",689,567,363,384,228,188,186,90,93,21,All
Kendra Brooks,,,,,,,,,,16,485,"3,740",256,142,69,86,621,431,248,159,135,16,All
David Oh,,,,,,,,,,,41,265,"2,785","2,843","2,664","2,687",145,151,209,76,102,8,All
Nicolas O'Rourke,,,,,,,,,,,,3,92,79,66,62,342,248,129,108,82,12,All
Dan Tinney,,,,,,,,,,,,,27,"2,861","2,797","2,728",65,83,127,36,66,1,All
Al Taubenberger,,,,,,,,,,,,,,19,"2,733","2,679",60,69,143,23,65,4,All
Bill Heeney,,,,,,,,,,,,,,,47,"2,717",38,52,121,28,28,2,All
Matt Wolfe,,,,,,,,,,,,,,,,28,57,77,144,34,50,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,8,165,129,62,82,2,All
Joe Cox,,,,,,,,,,,,,,,,,,4,139,225,127,6,All
Maj Toure,,,,,,,,,,,,,,,,,,,18,85,99,2,All
Clarc King,,,,,,,,,,,,,,,,,,,,1,58,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,3,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,3,All
Total,"27,042","2,461",984,25,"25,580","24,916","24,512","24,470","24,163","5,728","4,672","4,002","3,785","3,636","3,325","3,305",953,874,804,421,366,57,All
