col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Council At Large,,,,,,,,,,,,,,,,,,District Council 2nd District,,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,All
Helen Gym,5,"2,586","2,694","2,469","2,493","1,169",712,214,125,144,45,18,202,102,40,34,21,0,"2,759",282,19,All
Allan Domb,,22,"2,291","2,206","2,090",607,270,323,215,236,133,71,77,45,42,37,19,0,"2,305",424,12,All
Katherine Gilmore Richardson,,,2,"2,340","2,333",841,477,105,77,114,31,15,93,68,41,17,20,0,"2,486",193,11,All
Derek S Green,,,,2,"2,261",623,336,133,101,63,34,9,99,58,40,28,12,0,"2,346",186,14,All
Isaiah Thomas,,,,,0,688,453,92,59,36,13,9,77,62,31,20,14,0,"2,361",148,12,All
Kendra Brooks,,,,,,2,915,57,28,86,12,2,157,82,39,31,15,0,"1,015",147,18,All
Nicolas O'Rourke,,,,,,,0,29,10,9,8,3,80,44,18,11,9,0,673,84,12,All
David Oh,,,,,,,,10,421,361,402,322,29,22,35,19,13,0,151,502,3,All
Al Taubenberger,,,,,,,,,0,337,352,300,16,13,23,11,4,0,96,427,5,All
Dan Tinney,,,,,,,,,,0,341,301,8,4,17,10,4,0,85,399,0,All
Matt Wolfe,,,,,,,,,,,5,329,10,9,21,12,7,0,29,414,2,All
Bill Heeney,,,,,,,,,,,,0,5,7,15,5,7,0,19,333,0,All
Sherrie Cohen,,,,,,,,,,,,,1,36,22,16,10,0,175,34,1,All
Joe Cox,,,,,,,,,,,,,,1,27,18,46,0,97,37,3,All
Maj Toure,,,,,,,,,,,,,,,6,19,15,0,57,49,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,0,10,0,28,39,1,All
Clarc King,,,,,,,,,,,,,,,,,0,0,22,24,0,All
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,All
Kenyatta Johnson,,,,,,,,,,,,,,,,,,,4,0,0,All
Michael Bradley,,,,,,,,,,,,,,,,,,,,2,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,456","3,060","2,968","2,774","2,748","1,462",935,733,575,544,479,364,259,173,128,80,62,0,"3,125",844,25,All
,Council At Large,,,,,,,,,,,,,,,,,,District Council 2nd District,,,1
,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Joe Cox,Sherrie Cohen,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,1
Helen Gym,0,183,174,165,162,97,56,8,4,5,2,0,9,13,3,0,2,0,188,14,1,1
Katherine Gilmore Richardson,,0,170,155,152,75,38,4,4,6,3,1,6,5,4,1,2,0,172,11,2,1
Derek S Green,,,0,159,149,63,26,9,7,2,2,1,6,8,1,2,2,0,165,15,2,1
Allan Domb,,,,0,129,60,24,14,5,9,3,3,6,3,4,2,3,0,153,20,2,1
Isaiah Thomas,,,,,0,50,33,4,4,0,0,1,8,4,1,1,2,0,156,8,2,1
Kendra Brooks,,,,,,0,71,3,1,5,0,0,10,14,4,3,2,0,87,8,0,1
Nicolas O'Rourke,,,,,,,0,1,1,1,1,1,5,8,2,1,0,0,55,4,0,1
David Oh,,,,,,,,0,25,19,23,16,1,2,5,1,1,0,7,28,0,1
Al Taubenberger,,,,,,,,,0,16,20,15,0,1,3,0,0,0,4,24,0,1
Dan Tinney,,,,,,,,,,0,18,16,0,0,3,0,0,0,6,19,0,1
Matt Wolfe,,,,,,,,,,,0,17,0,0,3,0,0,0,1,23,0,1
Bill Heeney,,,,,,,,,,,,0,0,0,0,0,0,0,0,18,0,1
Joe Cox,,,,,,,,,,,,,0,1,3,7,2,0,10,3,0,1
Sherrie Cohen,,,,,,,,,,,,,,0,2,1,2,0,11,3,0,1
Maj Toure,,,,,,,,,,,,,,,0,2,1,0,5,5,0,1
Clarc King,,,,,,,,,,,,,,,,0,2,0,2,3,0,1
