col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor,,,Judge Of The Superior Court,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,All
Jim Kenney,78,0,0,"2,329","2,226",39,25,0,All
Billy Ciancaglini,,16,0,52,53,176,162,0,All
Write-In,,,1,3,2,0,0,0,All
Amanda Green-Hawkins,,,,42,"2,209",11,15,0,All
Daniel D Mccaffery,,,,,13,29,8,0,All
Megan Mccarthy King,,,,,,5,165,0,All
Christylee Peck,,,,,,,2,0,All
Write-In,,,,,,,,0,All
Total,"2,504",254,4,"2,461","2,324",226,192,0,All
,Mayor,,,Judge Of The Superior Court,,,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,1
Jim Kenney,4,0,0,94,90,0,0,0,1
Billy Ciancaglini,,2,0,4,2,8,8,0,1
Write-In,,,0,0,0,0,0,0,1
Amanda Green-Hawkins,,,,0,89,1,0,0,1
Daniel D Mccaffery,,,,,2,0,0,0,1
Christylee Peck,,,,,,0,8,0,1
Megan Mccarthy King,,,,,,,0,0,1
Write-In,,,,,,,,0,1
Total,101,15,0,99,95,9,9,0,1
,Mayor,,,Judge Of The Superior Court,,,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,2
Jim Kenney,6,0,0,58,57,0,0,0,2
Billy Ciancaglini,,0,0,2,3,10,7,0,2
Write-In,,,0,0,0,0,0,0,2
Amanda Green-Hawkins,,,,1,60,0,0,0,2
Daniel D Mccaffery,,,,,0,1,0,0,2
Megan Mccarthy King,,,,,,1,7,0,2
Christylee Peck,,,,,,,0,0,2
Write-In,,,,,,,,0,2
Total,65,12,0,63,62,11,7,0,2
,Judge Of The Superior Court,,,,,Mayor,,,3
,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,3
Amanda Green-Hawkins,1,72,1,0,0,73,4,0,3
Daniel D Mccaffery,,0,0,1,0,71,4,0,3
Christylee Peck,,,1,8,0,0,8,0,3
Megan Mccarthy King,,,,0,0,1,9,0,3
Write-In,,,,,0,0,0,0,3
Jim Kenney,,,,,,1,0,0,3
Billy Ciancaglini,,,,,,,0,0,3
Write-In,,,,,,,,0,3
Total,79,75,10,10,0,77,13,0,3
,Judge Of The Superior Court,,,,,Mayor,,,4
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,4
Amanda Green-Hawkins,4,69,0,0,0,69,4,1,4
Daniel D Mccaffery,,1,0,0,0,68,2,1,4
Megan Mccarthy King,,,0,3,0,0,4,0,4
Christylee Peck,,,,0,0,0,3,0,4
Write-In,,,,,0,0,0,0,4
Jim Kenney,,,,,,2,0,0,4
Billy Ciancaglini,,,,,,,0,0,4
Write-In,,,,,,,,0,4
Total,78,72,4,3,0,73,8,1,4
,Judge Of The Superior Court,,,,,Mayor,,,5
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,5
Amanda Green-Hawkins,6,113,0,0,0,117,2,1,5
Daniel D Mccaffery,,1,3,0,0,112,2,0,5
Megan Mccarthy King,,,0,5,0,2,6,0,5
Christylee Peck,,,,1,0,0,5,0,5
