col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,District Council 4th District,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Dan Tinney,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Curtis Jones Jr,75,3,0,0,"6,669","6,521","6,391","6,301","6,304",970,671,307,116,69,72,53,78,61,53,34,16,8,All
Karla Cruel,,7,0,0,232,220,228,226,195,139,101,53,27,27,19,22,21,20,36,24,8,2,All
Matt Baltsar,,,2,0,25,22,26,17,17,14,10,30,18,22,20,13,4,12,3,5,7,0,All
Write-In,,,,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,All
Isaiah Thomas,,,,,13,"6,568","6,366","6,368","6,240",700,474,215,58,24,27,24,46,44,38,23,9,4,All
Derek S Green,,,,,,10,"6,283","6,307","6,213",598,386,188,54,22,20,11,46,38,36,18,3,5,All
Helen Gym,,,,,,,4,"6,188","6,212",574,372,201,54,27,32,12,66,38,39,14,12,3,All
Katherine Gilmore Richardson,,,,,,,,6,"6,074",494,333,108,46,21,36,15,33,25,21,18,5,1,All
Allan Domb,,,,,,,,,15,372,201,203,66,34,48,23,32,23,16,7,10,4,All
Kendra Brooks,,,,,,,,,,7,828,106,20,11,20,12,70,44,55,28,18,5,All
Nicolas O'Rourke,,,,,,,,,,,0,62,11,5,7,7,34,21,25,14,9,2,All
David Oh,,,,,,,,,,,,12,282,257,244,239,17,21,22,13,7,2,All
Al Taubenberger,,,,,,,,,,,,,1,249,249,232,6,6,2,3,7,1,All
Matt Wolfe,,,,,,,,,,,,,,3,235,236,7,10,6,3,4,0,All
Dan Tinney,,,,,,,,,,,,,,,2,225,1,3,3,2,3,0,All
Bill Heeney,,,,,,,,,,,,,,,,1,4,3,8,1,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,4,14,7,7,5,1,All
Maj Toure,,,,,,,,,,,,,,,,,,4,15,14,10,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,0,38,8,3,All
Clarc King,,,,,,,,,,,,,,,,,,,,1,10,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,595",372,63,2,"7,131","6,954","6,832","6,718","6,710","1,230",868,621,362,308,303,273,115,103,101,70,36,16,All
,District Council 4th District,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,David Oh,Write-In,Nicolas O'Rourke,Al Taubenberger,Joe Cox,Sherrie Cohen,Bill Heeney,Clarc King,Dan Tinney,Maj Toure,Matt Wolfe,Steve Cherniavsky,1
Curtis Jones Jr,2,0,0,0,95,92,94,91,89,5,3,0,2,0,1,1,0,0,0,0,0,0,1
Karla Cruel,,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1
Matt Baltsar,,,0,0,3,3,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1
Write-In,,,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,,,0,94,91,89,90,5,3,0,2,1,1,1,0,0,0,0,0,0,1
Derek S Green,,,,,,0,90,88,90,5,2,0,3,1,1,1,0,1,0,0,0,0,1
Helen Gym,,,,,,,0,89,90,3,3,0,1,0,1,1,0,0,0,0,0,0,1
Allan Domb,,,,,,,,0,88,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
Kendra Brooks,,,,,,,,,,0,2,0,4,1,2,2,0,1,0,0,0,0,1
David Oh,,,,,,,,,,,0,0,1,1,1,0,1,0,1,1,1,0,1
Write-In,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,0,0,1,1,0,1,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,,,0,0,1,1,0,1,0,1,0,1
Joe Cox,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,,,,,0,0,1,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,,,,,,,,,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,1
Total,105,4,3,1,99,96,96,93,91,8,6,5,4,2,2,2,1,1,1,1,1,0,1
,District Council 4th District,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Derek S Green,Kendra Brooks,Nicolas O'Rourke,David Oh,Maj Toure,Al Taubenberger,Bill Heeney,Clarc King,Dan Tinney,Joe Cox,Matt Wolfe,Sherrie Cohen,Steve Cherniavsky,Write-In,2
Curtis Jones Jr,1,0,0,0,81,82,80,80,79,2,1,1,1,0,0,0,0,0,0,0,0,0,2
Karla Cruel,,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2
Matt Baltsar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,0,77,78,77,76,2,2,1,0,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,,,,0,78,76,77,2,1,0,1,0,0,0,0,0,0,0,0,0,2
