col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Court Of Common Pleas,,,,,,,,Judge Of The Superior Court,,,,,All
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,All
Tiffany Palmer,18,"4,410","4,137","4,084","3,953","3,859","3,649",4,"4,251","4,151",239,182,1,All
Anthony Kyriakakis,,10,"4,070","4,085","3,867","3,844","3,544",4,"4,160","3,987",250,183,1,All
Jennifer Schultz,,,2,"3,863","3,896","3,845","3,592",2,"3,929","3,876",213,154,0,All
James C Crumlish,,,,6,"3,840","3,831","3,516",1,"3,879","3,696",256,196,1,All
Carmella Jacquinto,,,,,2,"3,816","3,598",1,"3,738","3,673",202,145,0,All
Joshua Roberts,,,,,,1,"3,527",1,"3,669","3,590",194,138,1,All
Crystal B Powell,,,,,,,3,2,"3,440","3,474",148,119,0,All
Write-In,,,,,,,,0,5,2,5,2,0,All
Daniel D Mccaffery,,,,,,,,,40,"4,096",125,68,0,All
Amanda Green-Hawkins,,,,,,,,,,25,43,40,0,All
Megan Mccarthy King,,,,,,,,,,,15,472,0,All
Christylee Peck,,,,,,,,,,,,4,0,All
Write-In,,,,,,,,,,,,,0,All
Total,"4,720","4,554","4,248","4,233","4,038","3,931","3,712",17,"4,591","4,437",676,590,1,All
,Judge Of The Court Of Common Pleas,,,,,,,,Judge Of The Superior Court,,,,,1
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Carmella Jacquinto,James C Crumlish,Crystal B Powell,Joshua Roberts,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,1
Tiffany Palmer,2,266,253,253,245,242,245,1,264,251,13,8,0,1
Anthony Kyriakakis,,0,250,243,246,232,240,0,249,240,12,9,0,1
Jennifer Schultz,,,0,242,237,233,239,1,245,233,12,8,0,1
Carmella Jacquinto,,,,1,241,238,241,1,242,228,14,10,0,1
James C Crumlish,,,,,0,227,240,0,230,220,11,9,0,1
Crystal B Powell,,,,,,0,231,1,238,220,10,8,0,1
Joshua Roberts,,,,,,,0,0,232,223,11,8,0,1
Write-In,,,,,,,,0,1,0,1,0,0,1
Amanda Green-Hawkins,,,,,,,,,3,249,6,3,0,1
Daniel D Mccaffery,,,,,,,,,,1,2,1,0,1
Megan Mccarthy King,,,,,,,,,,,0,15,0,1
Christylee Peck,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,0,1
Total,291,273,260,259,249,248,247,1,285,262,24,21,0,1
,Judge Of The Court Of Common Pleas,,,,,,,,Judge Of The Superior Court,,,,,2
