col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Mayor,,,District Council 2nd District,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,All
Jim Kenney,415,0,0,"3,320",415,135,All
Billy Ciancaglini,,26,0,30,370,3,All
Write-In,,,2,5,5,4,All
Kenyatta Johnson,,,,56,0,0,All
Michael Bradley,,,,,32,0,All
Write-In,,,,,,3,All
Total,"4,285",429,16,"3,411",822,145,All
,Mayor,,,District Council 2nd District,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,1
Jim Kenney,33,0,0,283,34,6,1
Billy Ciancaglini,,2,0,0,23,0,1
Write-In,,,0,0,0,0,1
Kenyatta Johnson,,,,3,0,0,1
Michael Bradley,,,,,2,0,1
Write-In,,,,,,0,1
Total,356,25,0,286,59,6,1
,Mayor,,,District Council 2nd District,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,2
Jim Kenney,11,0,0,203,16,6,2
Billy Ciancaglini,,1,0,1,29,0,2
Write-In,,,0,0,0,0,2
Kenyatta Johnson,,,,2,0,0,2
Michael Bradley,,,,,2,0,2
Write-In,,,,,,0,2
Total,236,31,0,206,47,6,2
,Mayor,,,District Council 2nd District,,,3
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,3
Jim Kenney,18,0,0,189,18,2,3
Billy Ciancaglini,,1,0,1,18,0,3
Write-In,,,0,0,0,0,3
Kenyatta Johnson,,,,1,0,0,3
Michael Bradley,,,,,2,0,3
Write-In,,,,,,0,3
Total,227,20,0,191,38,2,3
,Mayor,,,District Council 2nd District,,,4
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,4
Jim Kenney,12,0,0,95,9,8,4
Billy Ciancaglini,,2,0,1,11,0,4
Write-In,,,0,1,0,0,4
Kenyatta Johnson,,,,0,0,0,4
Michael Bradley,,,,,1,0,4
Write-In,,,,,,1,4
Total,124,14,1,97,21,9,4
,Mayor,,,District Council 2nd District,,,5
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,5
Jim Kenney,20,0,0,161,22,10,5
Billy Ciancaglini,,0,0,1,16,0,5
Write-In,,,0,0,0,1,5
Kenyatta Johnson,,,,2,0,0,5
Michael Bradley,,,,,1,0,5
Write-In,,,,,,0,5
Total,213,17,1,164,39,11,5
,Mayor,,,District Council 2nd District,,,6
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,6
Jim Kenney,31,0,0,208,26,11,6
Billy Ciancaglini,,1,0,2,19,2,6
Write-In,,,0,1,1,0,6
Kenyatta Johnson,,,,5,0,0,6
Michael Bradley,,,,,0,0,6
Write-In,,,,,,1,6
Total,276,24,2,216,46,14,6
,Mayor,,,District Council 2nd District,,,7
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,7
Jim Kenney,35,0,0,295,30,2,7
Billy Ciancaglini,,1,0,2,36,0,7
Write-In,,,0,0,0,0,7
Kenyatta Johnson,,,,8,0,0,7
Michael Bradley,,,,,4,0,7
Write-In,,,,,,0,7
Total,362,39,0,305,70,2,7
,Mayor,,,District Council 2nd District,,,8
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,8
Jim Kenney,32,0,0,222,23,5,8
Billy Ciancaglini,,2,0,1,29,0,8
Write-In,,,0,0,0,0,8
Kenyatta Johnson,,,,4,0,0,8
Michael Bradley,,,,,2,0,8
Write-In,,,,,,0,8
Total,282,32,0,227,54,5,8
,Mayor,,,District Council 2nd District,,,9
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,9
Jim Kenney,26,0,0,200,25,23,9
Billy Ciancaglini,,0,0,2,15,0,9
Write-In,,,1,0,0,0,9
Kenyatta Johnson,,,,3,0,0,9
Michael Bradley,,,,,3,0,9
Write-In,,,,,,1,9
Total,274,17,1,205,43,24,9
,Mayor,,,District Council 2nd District,,,10
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,10
Jim Kenney,18,0,0,144,31,8,10
Billy Ciancaglini,,1,0,1,11,1,10
Write-In,,,0,0,0,0,10
Kenyatta Johnson,,,,7,0,0,10
Michael Bradley,,,,,0,0,10
Write-In,,,,,,0,10
Total,201,14,0,152,42,9,10
,Mayor,,,District Council 2nd District,,,11
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,11
Jim Kenney,12,0,0,145,18,10,11
Billy Ciancaglini,,1,0,1,17,0,11
Write-In,,,0,1,0,0,11
Kenyatta Johnson,,,,3,0,0,11
Michael Bradley,,,,,0,0,11
Write-In,,,,,,0,11
Total,185,19,1,150,35,10,11
,Mayor,,,District Council 2nd District,,,12
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,12
Jim Kenney,17,0,0,165,19,12,12
Billy Ciancaglini,,0,0,2,18,0,12
Write-In,,,0,0,0,0,12
Kenyatta Johnson,,,,2,0,0,12
Michael Bradley,,,,,2,0,12
Write-In,,,,,,0,12
Total,213,20,0,169,39,12,12
,Mayor,,,District Council 2nd District,,,13
,Jim Kenney,Billy Ciancaglini,Write-In,Kenyatta Johnson,Michael Bradley,Write-In,13
