col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Matt Wolfe,Joe Cox,Bill Heeney,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,20,"6,002",78,41,0,"5,518","5,113","5,057","4,862","4,385","2,409","1,922",364,272,98,67,45,149,29,91,70,42,10,All
Daniel D Mccaffery,,11,106,65,0,"5,506","5,082","4,926","4,772","4,375","2,440","1,948",394,295,128,87,49,162,34,90,63,52,9,All
Megan Mccarthy King,,,0,174,0,158,133,119,114,138,94,61,209,19,164,158,154,20,144,27,11,9,1,All
Christylee Peck,,,,1,0,91,83,61,60,89,63,45,183,13,157,151,146,17,139,20,13,7,1,All
Write-In,,,,,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,All
Helen Gym,,,,,,2,"4,898","4,775","4,679","4,424","2,041","1,578",327,265,91,72,32,132,20,62,39,30,10,All
Derek S Green,,,,,,,9,"4,712","4,513","4,245","1,474","1,089",280,151,84,34,31,63,14,50,31,21,8,All
Isaiah Thomas,,,,,,,,10,"4,483","4,095","1,385","1,046",226,105,55,24,19,74,21,47,33,15,1,All
Katherine Gilmore Richardson,,,,,,,,,5,"4,043","1,289",939,143,104,45,65,25,40,17,41,26,12,4,All
Allan Domb,,,,,,,,,,7,808,525,260,67,97,85,30,30,21,31,12,15,4,All
Kendra Brooks,,,,,,,,,,,2,"2,226",182,265,51,64,18,144,15,65,55,38,3,All
Nicolas O'Rourke,,,,,,,,,,,,1,114,189,22,15,10,89,8,47,34,22,4,All
David Oh,,,,,,,,,,,,,2,33,215,168,174,29,153,35,19,7,0,All
Sherrie Cohen,,,,,,,,,,,,,,1,16,8,4,51,2,21,11,25,5,All
Al Taubenberger,,,,,,,,,,,,,,,0,158,150,2,138,16,4,3,0,All
Dan Tinney,,,,,,,,,,,,,,,,1,151,4,144,12,3,2,0,All
Matt Wolfe,,,,,,,,,,,,,,,,,0,4,147,12,3,3,1,All
Joe Cox,,,,,,,,,,,,,,,,,,0,7,27,56,31,0,All
Bill Heeney,,,,,,,,,,,,,,,,,,,0,10,7,4,1,All
Maj Toure,,,,,,,,,,,,,,,,,,,,2,10,17,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,0,13,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,2,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"6,653","6,541",385,294,4,"6,151","5,664","5,511","5,280","4,880","2,906","2,289",658,355,304,270,215,210,190,143,97,72,16,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Kendra Brooks,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Nicolas O'Rourke,Allan Domb,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Joe Cox,Matt Wolfe,Bill Heeney,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,1
Daniel D Mccaffery,0,364,13,5,0,356,251,253,253,225,219,191,27,36,14,12,10,4,5,4,6,3,0,1
Amanda Green-Hawkins,,0,1,1,0,339,242,246,234,222,212,174,19,34,5,6,12,1,3,5,5,3,0,1
Megan Mccarthy King,,,0,9,0,13,8,9,7,5,6,10,12,3,10,8,0,8,8,2,1,0,0,1
Christylee Peck,,,,0,0,4,1,3,5,1,1,8,11,0,13,8,1,8,7,2,2,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,0,243,253,248,227,208,189,25,32,6,11,9,2,2,3,3,1,0,1
Kendra Brooks,,,,,,,1,139,129,119,236,67,9,29,3,6,8,0,0,3,4,2,0,1
Katherine Gilmore Richardson,,,,,,,,0,185,176,113,157,12,15,6,11,3,1,2,3,2,1,0,1
Derek S Green,,,,,,,,,0,184,106,150,14,16,10,4,5,2,1,2,1,1,0,1
Isaiah Thomas,,,,,,,,,,0,99,128,6,11,4,1,5,0,0,4,0,1,0,1
Nicolas O'Rourke,,,,,,,,,,,0,44,7,25,2,0,4,0,0,1,2,1,0,1
Allan Domb,,,,,,,,,,,,0,20,5,13,14,4,4,3,3,3,0,0,1
David Oh,,,,,,,,,,,,,0,5,18,10,0,10,9,3,1,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,0,3,2,3,0,1,1,1,0,0,1
Al Taubenberger,,,,,,,,,,,,,,,0,10,0,10,7,3,2,0,0,1
Dan Tinney,,,,,,,,,,,,,,,,0,1,10,8,1,1,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,0,0,1,0,4,2,0,1
Matt Wolfe,,,,,,,,,,,,,,,,,,0,8,2,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,,,0,2,1,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,2,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,412,389,23,17,0,395,282,280,278,252,239,215,41,39,26,25,14,13,12,8,7,3,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Derek S Green,Kendra Brooks,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,2
Daniel D Mccaffery,1,306,14,11,0,323,263,215,217,217,211,184,30,19,12,7,3,1,3,2,2,1,1,2
Amanda Green-Hawkins,,0,5,1,0,287,232,202,186,207,208,171,25,15,8,7,1,0,3,3,3,1,2,2
Megan Mccarthy King,,,0,9,0,17,14,9,17,15,8,3,11,1,8,11,9,8,1,0,0,1,0,2
Christylee Peck,,,,1,0,11,10,6,11,4,5,6,12,0,8,9,8,7,0,0,0,0,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,1,260,203,221,217,213,174,24,17,7,8,3,2,4,1,1,1,2,2
Derek S Green,,,,,,,0,134,189,180,187,115,21,13,6,0,1,0,2,1,1,0,1,2
Kendra Brooks,,,,,,,,0,82,107,97,208,12,21,7,7,1,0,5,4,3,2,1,2
Allan Domb,,,,,,,,,0,159,154,63,28,10,11,8,1,1,0,0,0,0,1,2
Katherine Gilmore Richardson,,,,,,,,,,0,175,81,12,3,2,5,1,0,0,1,0,0,0,2
Isaiah Thomas,,,,,,,,,,,0,84,13,3,1,1,1,0,0,0,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,0,6,17,5,3,1,0,2,2,2,0,1,2
David Oh,,,,,,,,,,,,,2,1,10,11,9,8,1,2,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,0,3,0,0,0,2,1,2,1,1,2
Al Taubenberger,,,,,,,,,,,,,,,0,9,7,6,0,1,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,,0,11,9,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,,,,0,9,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,,,0,2,2,3,0,2
Maj Toure,,,,,,,,,,,,,,,,,,,,0,2,2,0,2
Clarc King,,,,,,,,,,,,,,,,,,,,,0,2,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,374,338,29,23,0,367,293,253,246,242,236,214,47,24,21,21,12,9,6,5,4,3,2,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Maj Toure,Sherrie Cohen,Clarc King,Joe Cox,Matt Wolfe,Bill Heeney,Steve Cherniavsky,Write-In,3
Amanda Green-Hawkins,1,229,2,3,0,214,204,194,189,172,92,71,15,8,4,8,9,3,4,1,0,1,0,3
Daniel D Mccaffery,,2,2,0,0,211,199,187,187,169,93,72,13,7,4,7,8,2,2,1,0,1,0,3
Megan Mccarthy King,,,0,4,0,3,3,2,1,2,2,4,4,4,4,2,1,1,1,3,2,0,0,3
Christylee Peck,,,,0,0,2,0,0,1,1,2,3,6,4,5,1,0,0,0,3,2,0,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,,,0,192,179,176,165,81,63,9,8,6,2,7,2,1,1,0,1,0,3
Derek S Green,,,,,,,0,189,180,157,62,44,10,5,0,7,4,0,0,1,0,0,0,3
Isaiah Thomas,,,,,,,,1,173,153,51,39,6,4,0,5,1,0,0,0,0,0,0,3
Katherine Gilmore Richardson,,,,,,,,,0,154,52,34,5,4,3,5,1,1,0,0,0,0,0,3
Allan Domb,,,,,,,,,,0,32,19,10,2,4,3,4,1,1,0,0,1,0,3
Kendra Brooks,,,,,,,,,,,0,83,6,2,6,3,4,1,1,1,0,1,0,3
Nicolas O'Rourke,,,,,,,,,,,,0,4,2,4,4,3,1,1,1,0,1,0,3
David Oh,,,,,,,,,,,,,0,5,7,2,2,2,1,3,2,0,0,3
Al Taubenberger,,,,,,,,,,,,,,0,5,2,1,0,0,3,2,1,0,3
Dan Tinney,,,,,,,,,,,,,,,0,1,0,0,0,3,2,0,0,3
Maj Toure,,,,,,,,,,,,,,,,0,2,2,2,0,0,1,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,,,,,,0,2,0,0,3
Bill Heeney,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,255,250,9,7,0,236,219,207,201,182,108,85,22,13,11,11,10,4,4,4,2,2,0,3
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,4
,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Joe Cox,Bill Heeney,Clarc King,Matt Wolfe,Maj Toure,Steve Cherniavsky,Write-In,4
Amanda Green-Hawkins,0,209,2,1,0,192,160,162,152,143,97,72,21,12,7,3,6,1,4,1,1,1,0,4
Daniel D Mccaffery,,1,1,0,0,193,161,159,154,144,98,74,18,11,8,3,6,0,3,1,1,1,0,4
Christylee Peck,,,0,5,0,2,3,2,1,0,3,3,5,1,4,3,0,4,0,4,0,0,0,4
Megan Mccarthy King,,,,0,0,2,1,1,0,2,3,2,5,0,3,3,0,4,0,4,0,0,0,4
