col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,District Council 5th District,,Council At Large,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Darrell L Clarke,164,0,"23,937","22,772","22,404","22,413","21,539","5,844","4,312","1,447",765,658,532,413,833,818,512,309,227,92,All
Write-In,,3,188,136,131,147,143,159,97,69,34,34,36,22,52,45,23,16,8,12,All
Helen Gym,,,31,"21,879","21,806","21,548","21,122","5,575","3,998",951,398,394,212,98,725,788,303,211,118,29,All
Isaiah Thomas,,,,53,"21,159","21,260","19,916","3,746","2,739",611,217,135,92,83,399,344,238,100,102,76,All
Katherine Gilmore Richardson,,,,,31,"20,904","19,886","3,741","2,549",419,243,320,119,71,349,385,188,111,104,58,All
Derek S Green,,,,,,30,"20,167","3,341","2,179",696,292,187,157,59,404,457,238,129,94,58,All
Allan Domb,,,,,,,90,"2,351","1,335","1,097",560,534,376,224,272,293,189,172,64,62,All
Kendra Brooks,,,,,,,,21,"5,401",417,124,240,81,45,687,760,250,241,127,35,All
Nicolas O'Rourke,,,,,,,,,1,236,50,56,48,41,423,411,122,131,82,25,All
David Oh,,,,,,,,,,58,"1,849","1,638","1,743","1,612",148,121,192,88,58,10,All
Al Taubenberger,,,,,,,,,,,18,"1,636","1,649","1,566",52,71,108,53,14,4,All
Dan Tinney,,,,,,,,,,,,15,"1,595","1,531",63,54,90,41,18,1,All
Matt Wolfe,,,,,,,,,,,,,16,"1,596",67,57,126,52,26,3,All
Bill Heeney,,,,,,,,,,,,,,29,45,28,87,31,17,0,All
Joe Cox,,,,,,,,,,,,,,,4,233,160,162,190,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,7,113,111,41,4,All
Maj Toure,,,,,,,,,,,,,,,,,38,92,62,10,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,5,46,0,All
Clarc King,,,,,,,,,,,,,,,,,,,2,1,All
Write-In,,,,,,,,,,,,,,,,,,,,2,All
Total,"27,657",300,"25,959","24,002","23,571","23,557","22,979","7,637","5,613","3,318","2,387","2,250","2,117","1,887","1,166","1,151",756,479,313,122,All
