col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,25,"6,723",41,35,0,"6,679","6,605","6,421","6,332","6,295",773,478,278,83,48,24,19,75,59,53,27,14,16,All
Daniel D Mccaffery,,9,37,13,0,"6,479","6,396","6,248","6,163","6,135",696,442,247,83,50,26,25,69,58,50,27,15,16,All
Megan Mccarthy King,,,3,117,0,86,73,75,62,73,38,20,131,105,104,101,98,13,10,5,3,0,0,All
Christylee Peck,,,,3,0,42,44,36,30,37,22,14,119,104,99,98,99,8,7,1,2,1,2,All
Write-In,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,All
Isaiah Thomas,,,,,,17,"6,624","6,423","6,389","6,305",583,348,205,60,36,11,16,48,46,38,14,6,11,All
Derek S Green,,,,,,,16,"6,376","6,354","6,301",485,262,214,64,33,15,14,42,39,29,13,2,11,All
Helen Gym,,,,,,,,3,"6,194","6,236",455,252,188,48,20,7,11,34,34,29,10,5,5,All
Katherine Gilmore Richardson,,,,,,,,,2,"6,114",373,227,98,41,29,10,12,37,22,16,8,9,4,All
Allan Domb,,,,,,,,,,4,285,139,182,37,20,17,10,26,23,11,4,3,5,All
Kendra Brooks,,,,,,,,,,,4,549,112,23,21,7,4,54,43,36,18,11,6,All
Nicolas O'Rourke,,,,,,,,,,,,0,47,12,9,4,3,25,17,12,9,7,6,All
David Oh,,,,,,,,,,,,,8,143,118,114,114,17,14,13,12,2,2,All
Al Taubenberger,,,,,,,,,,,,,,0,123,110,109,4,6,1,4,0,2,All
Dan Tinney,,,,,,,,,,,,,,,1,106,108,5,5,3,0,0,3,All
Matt Wolfe,,,,,,,,,,,,,,,,3,110,4,2,1,0,0,0,All
Bill Heeney,,,,,,,,,,,,,,,,,0,4,2,2,1,0,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,17,14,9,11,3,All
Maj Toure,,,,,,,,,,,,,,,,,,,2,8,7,6,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,,0,13,7,1,All
Clarc King,,,,,,,,,,,,,,,,,,,,,0,3,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,252","6,962",219,174,2,"7,033","6,920","6,699","6,589","6,560",911,578,459,210,171,142,138,98,90,65,33,21,21,All
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,1
,Isaiah Thomas,Helen Gym,Derek S Green,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,David Oh,Al Taubenberger,Nicolas O'Rourke,Matt Wolfe,Bill Heeney,Dan Tinney,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Sherrie Cohen,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,1
Isaiah Thomas,0,173,171,169,172,12,4,2,4,1,0,1,1,0,1,0,0,0,167,165,7,1,0,1
Helen Gym,,1,170,166,167,10,4,1,5,0,0,0,0,1,1,0,0,0,168,165,7,1,0,1
Derek S Green,,,2,165,166,8,3,0,3,0,0,0,1,0,0,0,0,0,161,161,6,1,0,1
Allan Domb,,,,0,163,7,4,1,2,1,0,1,1,0,0,0,0,0,159,158,7,1,0,1
Katherine Gilmore Richardson,,,,,0,8,1,0,2,0,0,0,1,0,1,0,0,0,159,158,6,1,0,1
Kendra Brooks,,,,,,0,4,1,10,1,0,1,2,2,2,1,1,0,17,15,1,0,0,1
David Oh,,,,,,,2,6,1,6,6,6,0,1,0,0,0,0,5,3,7,6,0,1
Al Taubenberger,,,,,,,,0,1,7,7,6,1,0,0,1,0,0,2,2,6,6,0,1
Nicolas O'Rourke,,,,,,,,,0,0,0,0,1,1,0,1,0,0,8,7,0,0,0,1
Matt Wolfe,,,,,,,,,,1,7,7,0,0,0,0,0,0,1,1,6,6,0,1
Bill Heeney,,,,,,,,,,,0,6,0,0,0,0,0,0,0,0,6,6,0,1
Dan Tinney,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,6,6,0,1
Maj Toure,,,,,,,,,,,,,0,1,1,1,1,0,2,2,0,0,0,1
Joe Cox,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,0,0,1,0,2,2,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,1
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Amanda Green-Hawkins,,,,,,,,,,,,,,,,,,,0,175,2,0,0,1
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Megan Mccarthy King,,,,,,,,,,,,,,,,,,,,,1,7,0,1
Christylee Peck,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,183,180,177,173,172,20,15,10,10,9,7,7,3,2,2,1,1,0,181,180,14,7,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Maj Toure,Joe Cox,Bill Heeney,Matt Wolfe,Clarc King,Sherrie Cohen,Steve Cherniavsky,Write-In,2
Amanda Green-Hawkins,1,266,6,1,0,266,258,237,242,235,37,23,13,6,5,4,6,2,1,1,1,1,0,2
Daniel D Mccaffery,,0,5,1,0,264,251,234,236,226,36,20,12,5,5,7,6,2,1,2,1,1,0,2
Megan Mccarthy King,,,0,5,0,11,6,9,5,9,9,5,7,3,4,2,0,3,3,1,0,0,0,2
Christylee Peck,,,,0,0,2,3,3,1,3,3,2,5,3,3,0,0,3,3,0,0,0,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,,,,0,259,243,241,236,37,22,12,4,5,7,7,1,0,2,2,1,0,2
Derek S Green,,,,,,,1,236,242,234,27,14,14,5,4,5,6,2,1,1,1,0,0,2
Helen Gym,,,,,,,,0,223,229,21,9,9,2,1,6,3,0,0,1,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,,0,221,19,11,4,5,5,1,1,2,0,1,0,0,0,2
Allan Domb,,,,,,,,,,0,14,7,9,1,0,4,0,1,1,0,0,0,0,2
Kendra Brooks,,,,,,,,,,,0,27,8,0,1,4,3,1,0,1,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,0,2,0,0,0,1,1,0,1,0,1,0,2
David Oh,,,,,,,,,,,,,0,3,3,2,2,5,4,0,0,1,0,2
Al Taubenberger,,,,,,,,,,,,,,0,7,0,0,3,3,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,0,0,0,4,3,0,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,2
Bill Heeney,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,287,279,17,7,0,286,273,250,249,247,47,28,23,9,9,8,7,6,4,2,2,1,0,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Maj Toure,Clarc King,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Write-In,3
Amanda Green-Hawkins,1,234,0,0,0,226,225,221,209,208,38,27,7,4,2,2,2,3,1,2,1,0,0,3
Daniel D Mccaffery,,0,1,1,0,220,216,214,201,200,35,28,9,7,4,3,3,3,2,2,1,0,0,3
Christylee Peck,,,0,8,0,2,1,2,2,3,1,1,6,6,6,6,6,0,0,0,0,0,0,3
Megan Mccarthy King,,,,1,0,2,1,2,1,2,1,1,5,6,6,5,5,0,0,0,0,0,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Isaiah Thomas,,,,,,0,226,217,206,207,25,21,7,6,3,1,2,1,1,1,1,0,0,3
Derek S Green,,,,,,,0,216,206,205,22,14,8,5,2,0,1,1,1,1,1,0,0,3
Katherine Gilmore Richardson,,,,,,,,0,200,202,24,16,3,3,2,0,1,1,1,1,1,0,0,3
Helen Gym,,,,,,,,,0,202,17,11,5,1,0,1,0,1,1,2,0,0,0,3
Allan Domb,,,,,,,,,,0,9,6,4,2,1,0,0,1,0,0,0,0,0,3
Kendra Brooks,,,,,,,,,,,0,34,3,0,0,1,0,1,1,1,0,0,0,3
Nicolas O'Rourke,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,3
David Oh,,,,,,,,,,,,,0,9,7,7,7,1,1,1,0,0,0,3
Al Taubenberger,,,,,,,,,,,,,,0,9,8,8,0,1,0,0,0,0,3
Bill Heeney,,,,,,,,,,,,,,,0,8,8,0,0,0,0,0,0,3
Dan Tinney,,,,,,,,,,,,,,,,0,8,0,0,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,0,1,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,251,245,10,10,0,238,231,231,216,213,46,35,17,13,10,9,9,3,2,2,1,0,0,3
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,4
,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,Derek S Green,Isaiah Thomas,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Matt Wolfe,Al Taubenberger,Dan Tinney,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,4
Amanda Green-Hawkins,1,222,2,0,0,216,215,207,206,208,30,22,4,2,1,1,1,1,2,1,0,0,0,4
Daniel D Mccaffery,,0,1,1,0,209,210,202,203,204,29,21,3,1,1,1,1,2,2,1,0,0,0,4
Christylee Peck,,,0,8,0,5,3,4,4,3,0,0,7,6,7,6,5,0,0,0,0,0,0,4
Megan Mccarthy King,,,,0,0,4,1,4,4,1,1,1,8,8,7,6,5,1,0,0,0,0,0,4
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Derek S Green,,,,,,1,216,211,210,212,19,10,6,2,3,2,0,0,1,0,0,0,0,4
Isaiah Thomas,,,,,,,0,206,208,214,17,10,1,0,1,1,0,0,0,0,0,0,0,4
Allan Domb,,,,,,,,1,206,204,11,6,5,1,1,0,0,1,1,1,0,0,0,4
Helen Gym,,,,,,,,,0,204,16,10,3,2,1,0,0,2,0,0,0,0,0,4
Katherine Gilmore Richardson,,,,,,,,,,0,14,6,0,1,1,1,0,1,0,0,0,0,0,4
Kendra Brooks,,,,,,,,,,,1,23,1,1,0,0,0,2,2,0,0,0,0,4
Nicolas O'Rourke,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,4
David Oh,,,,,,,,,,,,,0,7,7,6,5,0,1,1,0,0,0,4
Matt Wolfe,,,,,,,,,,,,,,0,6,6,5,1,0,0,0,0,0,4
Al Taubenberger,,,,,,,,,,,,,,,0,7,5,0,0,0,0,0,0,4
Dan Tinney,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,0,4
Bill Heeney,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,4
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Joe Cox,,,,,,,,,,,,,,,,,,,,0,0,0,0,4
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,239,228,11,11,0,228,225,218,217,217,34,23,12,10,8,7,6,3,2,1,0,0,0,4
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,5
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Derek S Green,Isaiah Thomas,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Matt Wolfe,Al Taubenberger,Bill Heeney,Dan Tinney,Clarc King,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Write-In,5
Amanda Green-Hawkins,2,220,1,1,0,219,215,211,204,199,35,21,21,3,2,0,1,1,1,1,1,0,0,5
Daniel D Mccaffery,,0,0,0,0,202,204,199,194,189,30,19,17,2,2,1,1,1,0,0,1,0,0,5
Megan Mccarthy King,,,0,3,0,1,1,1,0,1,1,1,4,3,3,3,3,0,0,0,0,0,0,5
