col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Allan Domb,Derek S Green,Helen Gym,Katherine Gilmore Richardson,David Oh,Al Taubenberger,Bill Heeney,Matt Wolfe,Dan Tinney,Kendra Brooks,Sherrie Cohen,Nicolas O'Rourke,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,All
Jim Kenney,20,0,0,"1,133","1,087","1,107","1,092","1,061",95,39,31,27,15,127,77,79,22,14,12,4,0,All
Billy Ciancaglini,,7,0,36,67,35,32,29,273,274,268,255,232,14,30,13,7,11,4,10,2,All
Write-In,,,1,1,1,1,2,2,0,1,1,1,0,1,1,1,1,0,0,0,1,All
Isaiah Thomas,,,,1,"1,046","1,094","1,052","1,053",46,19,10,8,4,87,40,54,11,9,5,1,0,All
Allan Domb,,,,,6,"1,058","1,058","1,015",90,41,29,27,20,49,49,19,8,6,3,4,1,All
Derek S Green,,,,,,1,"1,046","1,040",55,28,9,11,4,74,33,41,9,7,5,2,0,All
Helen Gym,,,,,,,2,"1,028",57,33,16,17,11,79,49,38,10,6,5,2,1,All
Katherine Gilmore Richardson,,,,,,,,1,18,18,16,10,7,63,22,37,5,2,3,1,0,All
David Oh,,,,,,,,,23,273,241,238,217,21,37,15,6,5,5,1,1,All
Al Taubenberger,,,,,,,,,,0,249,239,226,11,23,8,3,4,3,3,0,All
Bill Heeney,,,,,,,,,,,2,236,225,5,20,4,3,5,1,5,2,All
Matt Wolfe,,,,,,,,,,,,4,221,6,14,5,4,7,1,3,2,All
Dan Tinney,,,,,,,,,,,,,0,5,5,2,4,4,0,3,0,All
Kendra Brooks,,,,,,,,,,,,,,4,33,80,10,4,4,5,3,All
Sherrie Cohen,,,,,,,,,,,,,,,1,19,12,4,5,9,3,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,0,10,3,4,3,2,All
Joe Cox,,,,,,,,,,,,,,,,,0,4,13,4,4,All
Maj Toure,,,,,,,,,,,,,,,,,,3,2,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,,0,1,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,1,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,346",386,4,"1,191","1,184","1,169","1,160","1,113",404,329,307,291,252,166,122,100,36,28,20,16,6,All
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Helen Gym,David Oh,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Sherrie Cohen,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,1
Jim Kenney,1,0,0,64,66,61,61,60,8,3,4,2,1,4,2,2,1,1,0,0,0,1
Billy Ciancaglini,,0,0,2,1,1,0,0,10,11,10,9,10,1,0,0,0,0,0,0,0,1
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Derek S Green,,,,0,67,61,60,61,6,2,1,0,0,1,1,2,1,0,0,0,0,1
Isaiah Thomas,,,,,0,61,61,62,4,0,0,0,0,2,1,2,1,0,0,0,0,1
Allan Domb,,,,,,1,58,60,7,1,3,1,0,4,1,0,1,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,0,59,2,0,2,0,1,2,1,1,0,0,0,0,0,1
Helen Gym,,,,,,,,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1
