col_1,col_2,col_3,col_4,col_5,division
,District Council 4th District,,,,All
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,All
Curtis Jones Jr,"3,517",0,0,0,All
Karla Cruel,,106,0,0,All
Matt Baltsar,,,22,0,All
Write-In,,,,1,All
Total,"3,517",106,22,1,All
,District Council 4th District,,,,1
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,1
Curtis Jones Jr,148,0,0,0,1
Karla Cruel,,3,0,0,1
Matt Baltsar,,,0,0,1
Write-In,,,,0,1
Total,148,3,0,0,1
,District Council 4th District,,,,2
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,2
Curtis Jones Jr,179,0,0,0,2
Karla Cruel,,4,0,0,2
Matt Baltsar,,,0,0,2
Write-In,,,,0,2
Total,179,4,0,0,2
,District Council 4th District,,,,3
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,3
Curtis Jones Jr,191,0,0,0,3
Karla Cruel,,4,0,0,3
Matt Baltsar,,,0,0,3
Write-In,,,,0,3
Total,191,4,0,0,3
,District Council 4th District,,,,4
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,4
Curtis Jones Jr,98,0,0,0,4
Karla Cruel,,6,0,0,4
Matt Baltsar,,,1,0,4
Write-In,,,,0,4
Total,98,6,1,0,4
,District Council 4th District,,,,5
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,5
Curtis Jones Jr,155,0,0,0,5
Karla Cruel,,12,0,0,5
Matt Baltsar,,,5,0,5
Write-In,,,,0,5
Total,155,12,5,0,5
,District Council 4th District,,,,6
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,6
Curtis Jones Jr,172,0,0,0,6
Karla Cruel,,5,0,0,6
Matt Baltsar,,,1,0,6
Write-In,,,,0,6
Total,172,5,1,0,6
,District Council 4th District,,,,7
,Curtis Jones Jr,Matt Baltsar,Karla Cruel,Write-In,7
Curtis Jones Jr,197,0,0,0,7
Matt Baltsar,,3,0,0,7
Karla Cruel,,,1,0,7
Write-In,,,,0,7
Total,197,3,1,0,7
,District Council 4th District,,,,8
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,8
Curtis Jones Jr,208,0,0,0,8
Karla Cruel,,3,0,0,8
Matt Baltsar,,,0,0,8
Write-In,,,,0,8
Total,208,3,0,0,8
,District Council 4th District,,,,9
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,9
Curtis Jones Jr,187,0,0,0,9
Karla Cruel,,5,0,0,9
Matt Baltsar,,,2,0,9
Write-In,,,,0,9
Total,187,5,2,0,9
,District Council 4th District,,,,10
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,10
Curtis Jones Jr,162,0,0,0,10
Karla Cruel,,6,0,0,10
Matt Baltsar,,,0,0,10
Write-In,,,,0,10
Total,162,6,0,0,10
,District Council 4th District,,,,11
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,11
Curtis Jones Jr,187,0,0,0,11
Karla Cruel,,8,0,0,11
Matt Baltsar,,,2,0,11
Write-In,,,,0,11
Total,187,8,2,0,11
,District Council 4th District,,,,12
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,12
Curtis Jones Jr,129,0,0,0,12
Karla Cruel,,3,0,0,12
Matt Baltsar,,,1,0,12
Write-In,,,,0,12
Total,129,3,1,0,12
,District Council 4th District,,,,13
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,13
Curtis Jones Jr,179,0,0,0,13
Karla Cruel,,4,0,0,13
Matt Baltsar,,,1,0,13
Write-In,,,,0,13
Total,179,4,1,0,13
,District Council 4th District,,,,14
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,14
Curtis Jones Jr,144,0,0,0,14
Karla Cruel,,2,0,0,14
Matt Baltsar,,,1,0,14
Write-In,,,,0,14
Total,144,2,1,0,14
,District Council 4th District,,,,15
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,15
Curtis Jones Jr,168,0,0,0,15
Karla Cruel,,8,0,0,15
Matt Baltsar,,,1,0,15
Write-In,,,,0,15
Total,168,8,1,0,15
,District Council 4th District,,,,16
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,16
Curtis Jones Jr,155,0,0,0,16
Karla Cruel,,11,0,0,16
Matt Baltsar,,,2,0,16
Write-In,,,,0,16
Total,155,11,2,0,16
,District Council 4th District,,,,17
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,17
Curtis Jones Jr,188,0,0,0,17
Karla Cruel,,11,0,0,17
Matt Baltsar,,,1,0,17
Write-In,,,,0,17
Total,188,11,1,0,17
,District Council 4th District,,,,18
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,18
Curtis Jones Jr,176,0,0,0,18
Karla Cruel,,7,0,0,18
Matt Baltsar,,,0,0,18
Write-In,,,,0,18
Total,176,7,0,0,18
,District Council 4th District,,,,19
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,19
Curtis Jones Jr,110,0,0,0,19
Karla Cruel,,1,0,0,19
Matt Baltsar,,,0,0,19
Write-In,,,,0,19
Total,110,1,0,0,19
,District Council 4th District,,,,20
,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,20
Curtis Jones Jr,166,0,0,0,20
Karla Cruel,,1,0,0,20
Matt Baltsar,,,1,0,20
Write-In,,,,0,20
Total,166,1,1,0,20
,District Council 4th District,,,,21
,Curtis Jones Jr,Karla Cruel,Write-In,Matt Baltsar,21
Curtis Jones Jr,218,0,0,0,21
Karla Cruel,,1,0,0,21
Write-In,,,1,0,21
Matt Baltsar,,,,0,21
Total,218,1,1,0,21
