col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,All
,David H Conroy,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Maj Toure,Bill Heeney,Dan Tinney,Sherrie Cohen,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
David H Conroy,20,0,"3,244","3,162","3,121","3,108","3,123",238,171,95,24,22,45,9,14,29,17,17,9,2,All
Write-In,,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,2,All
Isaiah Thomas,,,29,"3,210","3,136","3,121","3,145",192,127,83,18,15,32,8,8,25,15,12,2,1,All
Derek S Green,,,,7,"3,091","3,102","3,116",144,97,79,18,14,27,6,10,17,13,8,3,1,All
Helen Gym,,,,,3,"3,097","3,058",137,90,62,17,10,13,6,8,18,11,6,4,1,All
Allan Domb,,,,,,11,"3,049",98,63,64,14,14,18,8,11,9,6,5,2,1,All
Katherine Gilmore Richardson,,,,,,,5,140,84,36,11,10,22,3,2,16,5,8,2,0,All
Kendra Brooks,,,,,,,,2,212,42,11,7,20,4,5,26,17,11,7,0,All
Nicolas O'Rourke,,,,,,,,,0,18,5,1,14,3,0,6,6,5,6,0,All
David Oh,,,,,,,,,,6,50,49,8,40,41,6,7,2,0,1,All
Al Taubenberger,,,,,,,,,,,0,38,4,40,38,5,1,2,0,0,All
Matt Wolfe,,,,,,,,,,,,0,2,40,41,6,4,2,0,0,All
Maj Toure,,,,,,,,,,,,,6,4,2,6,2,3,2,1,All
Bill Heeney,,,,,,,,,,,,,,0,37,2,0,3,0,1,All
Dan Tinney,,,,,,,,,,,,,,,0,3,2,1,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,5,5,2,0,All
Joe Cox,,,,,,,,,,,,,,,,,0,10,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,0,1,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,464",3,"3,416","3,299","3,252","3,241","3,229",328,228,178,71,66,63,53,53,44,33,25,11,4,All
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,1
,David H Conroy,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Bill Heeney,Dan Tinney,Joe Cox,Maj Toure,Clarc King,Sherrie Cohen,Steve Cherniavsky,Write-In,1
David H Conroy,0,0,142,138,135,135,131,10,9,4,2,1,0,0,2,2,1,1,0,0,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,3,140,136,134,131,8,7,3,2,1,0,0,2,2,0,0,0,0,1
Derek S Green,,,,1,132,131,132,6,5,3,2,1,0,0,2,2,0,0,0,0,1
Helen Gym,,,,,0,132,129,7,6,1,1,0,0,0,2,1,1,0,0,0,1
Allan Domb,,,,,,0,128,5,4,3,0,1,0,0,0,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1
Kendra Brooks,,,,,,,,1,11,0,0,0,0,0,2,0,1,1,0,0,1
Nicolas O'Rourke,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,1
David Oh,,,,,,,,,,0,3,4,3,3,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,0,3,3,3,1,2,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,0,3,3,0,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,0,3,0,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,0,1,1,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,0,0,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,0,1
Total,148,0,148,142,138,137,134,15,11,7,5,4,3,3,3,2,1,1,0,0,1
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,2
,David H Conroy,Write-In,Isaiah Thomas,Derek S Green,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Kendra Brooks,Maj Toure,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Bill Heeney,Clarc King,Write-In,2
David H Conroy,0,0,164,166,160,159,160,10,10,7,5,1,1,0,1,1,1,0,0,0,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,0,165,158,160,159,10,6,6,3,1,1,1,1,0,0,0,0,0,2
Derek S Green,,,,0,160,160,161,9,8,6,4,2,1,1,0,0,0,0,0,0,2
Allan Domb,,,,,0,158,156,3,7,2,4,1,1,1,0,0,0,0,0,0,2
Helen Gym,,,,,,0,157,5,3,2,4,2,0,1,0,0,0,0,0,0,2
Katherine Gilmore Richardson,,,,,,,1,6,5,3,2,1,0,1,0,0,0,0,0,0,2
Kendra Brooks,,,,,,,,0,2,10,0,0,1,1,2,1,1,0,0,0,2
Maj Toure,,,,,,,,,1,3,1,0,1,0,0,0,0,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,2
David Oh,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,0,1,1,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,0,1,0,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,0,1,1,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,0,1,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,,,,,,,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,0,2
Total,173,0,172,171,166,165,164,15,11,11,6,2,2,2,2,1,1,0,0,0,2
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,3
,David H Conroy,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Helen Gym,Kendra Brooks,David Oh,Maj Toure,Nicolas O'Rourke,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Joe Cox,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,3
David H Conroy,1,0,169,164,162,156,154,19,11,8,9,3,2,1,1,1,1,1,0,0,3
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Isaiah Thomas,,,1,168,162,154,150,15,7,8,9,1,1,1,0,0,0,0,0,0,3
Derek S Green,,,,0,162,151,150,14,8,5,7,1,1,1,0,1,0,0,0,0,3
Katherine Gilmore Richardson,,,,,0,152,150,12,5,5,5,2,0,0,0,0,1,0,0,0,3
Allan Domb,,,,,,0,152,9,4,4,2,3,1,1,1,0,1,0,0,0,3
Helen Gym,,,,,,,1,7,4,3,1,3,0,0,0,1,2,0,0,0,3
Kendra Brooks,,,,,,,,0,6,5,9,2,2,1,1,1,2,0,0,0,3
David Oh,,,,,,,,,0,1,4,6,4,4,4,1,0,0,0,0,3
Maj Toure,,,,,,,,,,5,3,1,1,0,0,0,1,0,0,0,3
Nicolas O'Rourke,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,3
Al Taubenberger,,,,,,,,,,,,0,4,4,4,0,0,0,0,0,3
Bill Heeney,,,,,,,,,,,,,0,5,5,0,0,0,0,0,3
Dan Tinney,,,,,,,,,,,,,,0,5,0,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,,0,0,1,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,0,3
Total,182,0,176,170,165,161,160,22,17,17,11,8,6,6,5,2,2,1,0,0,3
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,4
,David H Conroy,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Dan Tinney,Sherrie Cohen,Al Taubenberger,Bill Heeney,Joe Cox,Matt Wolfe,Clarc King,Maj Toure,Steve Cherniavsky,Write-In,4
