col_1,col_2,col_3,col_4,col_5,division
,District Council 3rd District,,Judge Of The Municipal Court,,All
,Jamie Gauthier,Write-In,David H Conroy,Write-In,All
Jamie Gauthier,239,0,"3,589",1,All
Write-In,,1,4,0,All
David H Conroy,,,153,0,All
Write-In,,,,0,All
Total,"3,829",5,"3,746",1,All
,Judge Of The Municipal Court,,District Council 3rd District,,1
,David H Conroy,Write-In,Jamie Gauthier,Write-In,1
David H Conroy,7,0,117,0,1
Write-In,,0,0,0,1
Jamie Gauthier,,,6,0,1
Write-In,,,,0,1
Total,124,0,123,0,1
,Judge Of The Municipal Court,,District Council 3rd District,,2
,David H Conroy,Write-In,Jamie Gauthier,Write-In,2
David H Conroy,11,0,117,1,2
Write-In,,0,0,0,2
Jamie Gauthier,,,8,0,2
Write-In,,,,0,2
Total,129,0,125,1,2
,Judge Of The Municipal Court,,District Council 3rd District,,3
,David H Conroy,Write-In,Jamie Gauthier,Write-In,3
David H Conroy,16,0,102,0,3
Write-In,,0,1,0,3
Jamie Gauthier,,,8,0,3
Write-In,,,,0,3
Total,118,1,111,0,3
,District Council 3rd District,,Judge Of The Municipal Court,,4
,Jamie Gauthier,Write-In,David H Conroy,Write-In,4
Jamie Gauthier,13,0,140,0,4
Write-In,,0,1,0,4
David H Conroy,,,5,0,4
Write-In,,,,0,4
Total,153,1,146,0,4
,District Council 3rd District,,Judge Of The Municipal Court,,5
,Jamie Gauthier,Write-In,David H Conroy,Write-In,5
Jamie Gauthier,11,0,181,0,5
Write-In,,0,0,0,5
David H Conroy,,,2,0,5
Write-In,,,,0,5
Total,192,0,183,0,5
,District Council 3rd District,,Judge Of The Municipal Court,,6
,Jamie Gauthier,Write-In,David H Conroy,Write-In,6
Jamie Gauthier,41,0,217,0,6
Write-In,,0,1,0,6
David H Conroy,,,21,0,6
Write-In,,,,0,6
Total,258,1,239,0,6
,District Council 3rd District,,Judge Of The Municipal Court,,7
,Jamie Gauthier,Write-In,David H Conroy,Write-In,7
Jamie Gauthier,15,0,116,0,7
Write-In,,1,1,0,7
David H Conroy,,,6,0,7
Write-In,,,,0,7
Total,131,2,123,0,7
,District Council 3rd District,,Judge Of The Municipal Court,,8
,Jamie Gauthier,Write-In,David H Conroy,Write-In,8
Jamie Gauthier,6,0,83,0,8
Write-In,,0,0,0,8
David H Conroy,,,2,0,8
Write-In,,,,0,8
Total,89,0,85,0,8
,District Council 3rd District,,Judge Of The Municipal Court,,9
,Jamie Gauthier,Write-In,David H Conroy,Write-In,9
Jamie Gauthier,6,0,97,0,9
Write-In,,0,0,0,9
David H Conroy,,,3,0,9
Write-In,,,,0,9
Total,103,0,100,0,9
,District Council 3rd District,,Judge Of The Municipal Court,,10
,Jamie Gauthier,Write-In,David H Conroy,Write-In,10
Jamie Gauthier,7,0,105,0,10
Write-In,,0,0,0,10
David H Conroy,,,4,0,10
Write-In,,,,0,10
Total,112,0,109,0,10
,Judge Of The Municipal Court,,District Council 3rd District,,11
,David H Conroy,Write-In,Jamie Gauthier,Write-In,11
David H Conroy,5,0,126,0,11
Write-In,,0,0,0,11
Jamie Gauthier,,,5,0,11
Write-In,,,,0,11
Total,131,0,131,0,11
,District Council 3rd District,,Judge Of The Municipal Court,,12
,Jamie Gauthier,Write-In,David H Conroy,Write-In,12
Jamie Gauthier,5,0,139,0,12
Write-In,,0,0,0,12
David H Conroy,,,4,0,12
Write-In,,,,0,12
Total,144,0,143,0,12
,District Council 3rd District,,Judge Of The Municipal Court,,13
,Jamie Gauthier,Write-In,David H Conroy,Write-In,13
Jamie Gauthier,3,0,128,0,13
Write-In,,0,0,0,13
David H Conroy,,,1,0,13
Write-In,,,,0,13
Total,131,0,129,0,13
,District Council 3rd District,,Judge Of The Municipal Court,,14
,Jamie Gauthier,Write-In,David H Conroy,Write-In,14
Jamie Gauthier,21,0,234,0,14
Write-In,,0,0,0,14
David H Conroy,,,9,0,14
Write-In,,,,0,14
Total,255,0,243,0,14
,District Council 3rd District,,Judge Of The Municipal Court,,15
,Jamie Gauthier,Write-In,David H Conroy,Write-In,15
Jamie Gauthier,12,0,150,0,15
Write-In,,0,0,0,15
David H Conroy,,,8,0,15
Write-In,,,,0,15
Total,162,0,158,0,15
,Judge Of The Municipal Court,,District Council 3rd District,,16
,David H Conroy,Write-In,Jamie Gauthier,Write-In,16
David H Conroy,3,0,128,0,16
Write-In,,0,0,0,16
Jamie Gauthier,,,3,0,16
Write-In,,,,0,16
Total,131,0,131,0,16
,District Council 3rd District,,Judge Of The Municipal Court,,17
,Jamie Gauthier,Write-In,David H Conroy,Write-In,17
Jamie Gauthier,12,0,115,0,17
Write-In,,0,0,0,17
David H Conroy,,,5,0,17
Write-In,,,,0,17
Total,127,0,120,0,17
,District Council 3rd District,,Judge Of The Municipal Court,,18
,Jamie Gauthier,Write-In,David H Conroy,Write-In,18
Jamie Gauthier,7,0,168,0,18
Write-In,,0,0,0,18
David H Conroy,,,6,0,18
Write-In,,,,0,18
Total,175,0,174,0,18
,District Council 3rd District,,Judge Of The Municipal Court,,19
,Jamie Gauthier,Write-In,David H Conroy,Write-In,19
Jamie Gauthier,4,0,103,0,19
Write-In,,0,0,0,19
David H Conroy,,,3,0,19
Write-In,,,,0,19
Total,107,0,106,0,19
,District Council 3rd District,,Judge Of The Municipal Court,,20
,Jamie Gauthier,Write-In,David H Conroy,Write-In,20
Jamie Gauthier,4,0,101,0,20
Write-In,,0,0,0,20
David H Conroy,,,2,0,20
Write-In,,,,0,20
Total,105,0,103,0,20
,District Council 3rd District,,Judge Of The Municipal Court,,21
,Jamie Gauthier,Write-In,David H Conroy,Write-In,21
Jamie Gauthier,6,0,94,0,21
Write-In,,0,0,0,21
David H Conroy,,,1,0,21
Write-In,,,,0,21
Total,100,0,95,0,21
,District Council 3rd District,,Judge Of The Municipal Court,,22
,Jamie Gauthier,Write-In,David H Conroy,Write-In,22
Jamie Gauthier,6,0,125,0,22
Write-In,,0,0,0,22
David H Conroy,,,3,0,22
Write-In,,,,0,22
Total,131,0,128,0,22
,District Council 3rd District,,Judge Of The Municipal Court,,23
,Jamie Gauthier,Write-In,David H Conroy,Write-In,23
Jamie Gauthier,6,0,86,0,23
Write-In,,0,0,0,23
David H Conroy,,,4,0,23
Write-In,,,,0,23
Total,92,0,90,0,23
,Judge Of The Municipal Court,,District Council 3rd District,,24
,David H Conroy,Write-In,Jamie Gauthier,Write-In,24
David H Conroy,4,0,128,0,24
Write-In,,0,0,0,24
Jamie Gauthier,,,2,0,24
Write-In,,,,0,24
Total,132,0,130,0,24
,Judge Of The Municipal Court,,District Council 3rd District,,25
,David H Conroy,Write-In,Jamie Gauthier,Write-In,25
David H Conroy,3,0,145,0,25
Write-In,,0,0,0,25
Jamie Gauthier,,,2,0,25
Write-In,,,,0,25
Total,148,0,147,0,25
,Judge Of The Municipal Court,,District Council 3rd District,,26
,David H Conroy,Write-In,Jamie Gauthier,Write-In,26
David H Conroy,10,0,112,0,26
Write-In,,0,0,0,26
Jamie Gauthier,,,3,0,26
Write-In,,,,0,26
Total,122,0,115,0,26
,District Council 3rd District,,Judge Of The Municipal Court,,27
,Jamie Gauthier,Write-In,David H Conroy,Write-In,27
Jamie Gauthier,6,0,97,0,27
Write-In,,0,0,0,27
David H Conroy,,,2,0,27
Write-In,,,,0,27
Total,103,0,99,0,27
,District Council 3rd District,,Judge Of The Municipal Court,,28
,Jamie Gauthier,Write-In,David H Conroy,Write-In,28
Jamie Gauthier,11,0,135,0,28
Write-In,,0,0,0,28
David H Conroy,,,3,0,28
Write-In,,,,0,28
Total,146,0,138,0,28
