col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,All
,Al Taubenberger,Bill Heeney,David Oh,Dan Tinney,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Amanda Green-Hawkins,Write-In,All
Al Taubenberger,11,"1,102","1,071","1,062",999,172,88,87,62,52,16,20,16,17,24,15,7,2,316,"1,036",929,115,0,All
Bill Heeney,,9,"1,036","1,066","1,012",130,50,56,17,33,15,21,16,11,16,14,7,1,247,"1,035",927,69,0,All
David Oh,,,11,979,961,193,113,44,54,61,23,19,9,15,18,13,10,0,281,974,867,112,0,All
Dan Tinney,,,,6,974,139,56,61,42,43,18,13,14,12,19,13,6,1,229,990,898,68,0,All
Matt Wolfe,,,,,4,74,28,50,26,17,12,14,13,12,25,12,9,1,138,965,892,45,0,All
Allan Domb,,,,,,3,783,741,732,724,55,32,12,13,9,10,6,0,889,135,88,766,0,All
Helen Gym,,,,,,,3,758,742,728,90,56,20,31,12,8,8,0,828,70,43,774,0,All
Katherine Gilmore Richardson,,,,,,,,2,730,714,60,35,13,18,6,6,5,0,780,60,42,746,0,All
Derek S Green,,,,,,,,,0,731,55,34,14,14,3,3,4,0,775,35,23,730,0,All
Isaiah Thomas,,,,,,,,,,1,46,33,9,3,4,6,5,0,756,34,23,726,0,All
Kendra Brooks,,,,,,,,,,,0,87,19,24,5,15,8,0,121,16,9,101,0,All
Nicolas O'Rourke,,,,,,,,,,,,0,18,14,4,11,6,0,95,16,14,71,0,All
Joe Cox,,,,,,,,,,,,,0,8,9,10,15,0,36,28,23,22,0,All
Sherrie Cohen,,,,,,,,,,,,,,2,6,8,4,0,30,18,16,25,0,All
Maj Toure,,,,,,,,,,,,,,,2,6,8,0,17,36,27,11,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,0,5,0,21,18,18,8,0,All
Clarc King,,,,,,,,,,,,,,,,,0,0,14,16,16,12,0,All
Write-In,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,All
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,22,165,43,878,0,All
Megan Mccarthy King,,,,,,,,,,,,,,,,,,,,4,992,12,0,All
Christylee Peck,,,,,,,,,,,,,,,,,,,,,2,15,0,All
Amanda Green-Hawkins,,,,,,,,,,,,,,,,,,,,,,5,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,368","1,287","1,266","1,234","1,139","1,036",943,889,842,829,153,121,63,63,55,42,31,2,"1,302","1,242","1,077",963,0,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Al Taubenberger,David Oh,Dan Tinney,Matt Wolfe,Bill Heeney,Kendra Brooks,Nicolas O'Rourke,Clarc King,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Write-In,1
Daniel D Mccaffery,1,77,5,1,0,71,70,68,61,66,14,13,13,6,12,8,5,0,0,0,0,1,0,1
Amanda Green-Hawkins,,1,1,1,0,75,71,70,68,69,9,11,7,6,9,7,4,0,0,0,0,1,0,1
