col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,David Oh,Bill Heeney,Dan Tinney,Al Taubenberger,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,19,"1,366",103,46,0,"1,319","1,275","1,276","1,266","1,255",219,179,195,177,100,157,116,43,27,30,22,17,3,All
Amanda Green-Hawkins,,9,15,17,0,"1,255","1,283","1,280","1,260","1,258",111,53,74,64,37,151,96,29,21,27,14,18,3,All
Megan Mccarthy King,,,8,672,0,91,47,37,49,38,670,712,674,676,664,23,26,22,31,17,20,6,2,All
Christylee Peck,,,,1,0,75,34,24,41,30,630,650,633,636,620,20,13,20,25,15,15,8,1,All
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Allan Domb,,,,,,2,"1,277","1,245","1,255","1,248",146,105,104,99,53,62,35,13,12,14,8,6,3,All
Helen Gym,,,,,,,0,"1,260","1,258","1,249",86,40,43,54,22,104,59,14,14,17,7,7,1,All
Isaiah Thomas,,,,,,,,2,"1,262","1,293",66,25,38,30,11,94,60,15,18,13,6,10,2,All
Katherine Gilmore Richardson,,,,,,,,,2,"1,263",40,47,50,42,27,80,48,13,12,20,10,7,0,All
Derek S Green,,,,,,,,,,2,51,22,38,33,16,80,42,8,13,14,2,7,2,All
David Oh,,,,,,,,,,,5,722,701,727,677,29,23,23,25,10,14,9,3,All
Bill Heeney,,,,,,,,,,,,4,741,737,703,14,21,9,16,7,8,2,3,All
Dan Tinney,,,,,,,,,,,,,9,723,678,13,15,15,14,5,9,3,1,All
