col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Daniel Orsino,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Bill Heeney,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Mark F Squilla,5,0,0,616,616,607,598,597,98,94,69,75,48,70,56,17,12,6,9,7,0,All
Daniel Orsino,,4,0,19,12,10,11,6,323,311,320,312,314,5,6,9,7,6,6,2,0,All
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Allan Domb,,,,4,571,554,550,549,52,56,32,28,21,30,21,9,9,1,5,4,1,All
Helen Gym,,,,,2,581,569,565,16,28,16,13,9,50,40,8,11,3,2,1,0,All
Isaiah Thomas,,,,,,0,570,575,8,22,12,16,3,48,35,4,4,5,2,2,0,All
Katherine Gilmore Richardson,,,,,,,2,561,21,19,18,18,13,40,28,3,3,2,1,1,0,All
Derek S Green,,,,,,,,2,4,23,16,16,8,38,28,4,4,4,3,2,0,All
Bill Heeney,,,,,,,,,11,362,363,365,350,9,4,7,3,4,5,3,0,All
David Oh,,,,,,,,,,2,345,347,334,11,12,10,8,4,3,7,0,All
Al Taubenberger,,,,,,,,,,,5,357,338,8,6,5,7,2,5,3,0,All
Dan Tinney,,,,,,,,,,,,1,340,6,4,5,4,3,3,3,0,All
Matt Wolfe,,,,,,,,,,,,,0,4,3,5,2,5,4,2,0,All
Kendra Brooks,,,,,,,,,,,,,,0,63,13,12,4,6,4,1,All
Nicolas O'Rourke,,,,,,,,,,,,,,,0,10,6,1,4,2,0,All
Joe Cox,,,,,,,,,,,,,,,,0,8,6,8,7,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,4,4,3,1,All
Maj Toure,,,,,,,,,,,,,,,,,,1,6,1,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,1,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,791,370,0,657,640,624,620,613,458,430,418,409,380,94,75,30,24,20,18,12,1,All
,Council At Large,,,,,,,,,,,,,,,,,,District Council 1st District,,,7
,Bill Heeney,Al Taubenberger,David Oh,Matt Wolfe,Dan Tinney,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Write-In,Clarc King,Mark F Squilla,Daniel Orsino,Write-In,7
Bill Heeney,1,50,49,49,49,7,3,5,0,2,2,0,0,2,0,0,0,0,15,44,0,7
Al Taubenberger,,2,47,47,49,3,3,4,3,2,2,0,1,0,0,0,0,0,11,43,0,7
David Oh,,,0,47,46,4,3,2,4,3,2,0,0,2,0,0,0,0,12,42,0,7
Matt Wolfe,,,,0,47,2,1,3,3,0,2,0,0,2,0,0,0,0,7,42,0,7
Dan Tinney,,,,,0,3,1,2,1,0,1,0,1,1,0,0,0,0,7,41,0,7
Allan Domb,,,,,,0,39,36,36,35,6,5,2,1,1,0,1,0,44,2,0,7
Helen Gym,,,,,,,0,37,39,38,7,6,3,0,1,0,0,0,44,2,0,7
Katherine Gilmore Richardson,,,,,,,,0,34,35,4,3,0,0,1,0,0,0,37,5,0,7
Derek S Green,,,,,,,,,0,35,4,3,2,0,2,0,0,0,40,2,0,7
Isaiah Thomas,,,,,,,,,,0,4,2,2,0,2,0,0,0,38,2,0,7
Kendra Brooks,,,,,,,,,,,0,7,3,3,1,1,1,0,7,2,0,7
Nicolas O'Rourke,,,,,,,,,,,,0,0,0,0,0,0,0,5,0,0,7
Sherrie Cohen,,,,,,,,,,,,,0,2,2,1,1,0,2,2,0,7
Joe Cox,,,,,,,,,,,,,,0,1,1,1,0,1,2,0,7
Maj Toure,,,,,,,,,,,,,,,0,1,0,0,1,2,0,7
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,0,1,0,7
Write-In,,,,,,,,,,,,,,,,,0,0,0,0,0,7
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,0,7
Mark F Squilla,,,,,,,,,,,,,,,,,,,0,0,0,7
Daniel Orsino,,,,,,,,,,,,,,,,,,,,1,0,7
Write-In,,,,,,,,,,,,,,,,,,,,,0,7
Total,64,60,56,52,51,49,47,44,43,40,13,7,5,4,3,1,1,0,61,52,0,7
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,8
