col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,All
,David H Conroy,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Matt Wolfe,Joe Cox,Bill Heeney,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,All
David H Conroy,29,0,"5,446","5,110","5,021","4,876","4,446","2,271","1,805",402,250,136,106,74,142,51,106,74,53,5,All
Write-In,,0,3,1,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,3,All
Helen Gym,,,12,"4,898","4,775","4,679","4,424","2,041","1,578",327,265,91,72,32,132,20,62,39,30,10,All
Derek S Green,,,,20,"4,712","4,513","4,245","1,474","1,089",280,151,84,34,31,63,14,50,31,21,8,All
Isaiah Thomas,,,,,27,"4,483","4,095","1,385","1,046",226,105,55,24,19,74,21,47,33,15,1,All
Katherine Gilmore Richardson,,,,,,9,"4,043","1,289",939,143,104,45,65,25,40,17,41,26,12,4,All
Allan Domb,,,,,,,20,808,525,260,67,97,85,30,30,21,31,12,15,4,All
Kendra Brooks,,,,,,,,5,"2,226",182,265,51,64,18,144,15,65,55,38,3,All
Nicolas O'Rourke,,,,,,,,,1,114,189,22,15,10,89,8,47,34,22,4,All
David Oh,,,,,,,,,,5,33,215,168,174,29,153,35,19,7,0,All
Sherrie Cohen,,,,,,,,,,,3,16,8,4,51,2,21,11,25,5,All
Al Taubenberger,,,,,,,,,,,,1,158,150,2,138,16,4,3,0,All
Dan Tinney,,,,,,,,,,,,,1,151,4,144,12,3,2,0,All
Matt Wolfe,,,,,,,,,,,,,,0,4,147,12,3,3,1,All
Joe Cox,,,,,,,,,,,,,,,1,7,27,56,31,0,All
Bill Heeney,,,,,,,,,,,,,,,,1,10,7,4,1,All
Maj Toure,,,,,,,,,,,,,,,,,4,10,17,0,All
Clarc King,,,,,,,,,,,,,,,,,,0,13,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,2,0,All
Write-In,,,,,,,,,,,,,,,,,,,,1,All
Total,"6,538",4,"6,151","5,664","5,511","5,280","4,880","2,906","2,289",658,355,304,270,215,210,190,143,97,72,16,All
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,1
,Helen Gym,Kendra Brooks,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Nicolas O'Rourke,Allan Domb,David Oh,Sherrie Cohen,Al Taubenberger,Dan Tinney,Joe Cox,Matt Wolfe,Bill Heeney,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,David H Conroy,Write-In,1
Helen Gym,0,243,253,248,227,208,189,25,32,6,11,9,2,2,3,3,1,0,312,0,1
Kendra Brooks,,1,139,129,119,236,67,9,29,3,6,8,0,0,3,4,2,0,205,0,1
Katherine Gilmore Richardson,,,0,185,176,113,157,12,15,6,11,3,1,2,3,2,1,0,236,0,1
Derek S Green,,,,1,184,106,150,14,16,10,4,5,2,1,2,1,1,0,231,0,1
Isaiah Thomas,,,,,0,99,128,6,11,4,1,5,0,0,4,0,1,0,209,0,1
Nicolas O'Rourke,,,,,,0,44,7,25,2,0,4,0,0,1,2,1,0,176,0,1
Allan Domb,,,,,,,0,20,5,13,14,4,4,3,3,3,0,0,179,0,1
David Oh,,,,,,,,0,5,18,10,0,10,9,3,1,0,0,23,0,1
Sherrie Cohen,,,,,,,,,0,3,2,3,0,1,1,1,0,0,27,0,1
Al Taubenberger,,,,,,,,,,1,10,0,10,7,3,2,0,0,9,0,1
Dan Tinney,,,,,,,,,,,0,1,10,8,1,1,0,0,12,0,1
Joe Cox,,,,,,,,,,,,0,0,1,0,4,2,0,10,0,1
Matt Wolfe,,,,,,,,,,,,,0,8,2,0,0,0,4,0,1
Bill Heeney,,,,,,,,,,,,,,0,2,1,0,0,7,0,1
Maj Toure,,,,,,,,,,,,,,,0,0,0,0,6,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,0,2,0,6,0,1
Clarc King,,,,,,,,,,,,,,,,,0,0,2,0,1
Write-In,,,,,,,,,,,,,,,,,,0,0,0,1
David H Conroy,,,,,,,,,,,,,,,,,,,4,0,1
Write-In,,,,,,,,,,,,,,,,,,,,0,1
Total,395,282,280,278,252,239,215,41,39,26,25,14,13,12,8,7,3,0,359,0,1
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,2
