col_1,col_2,col_3,col_4,col_5,division
,City Commissioners,,,,All
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,All
Lisa Deeley,405,"2,604",448,2,All
Omar Sabir,,129,70,1,All
Al Schmidt,,,"1,835",1,All
Write-In,,,,1,All
Total,"3,459","2,804","2,354",5,All
,City Commissioners,,,,1
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,1
Lisa Deeley,17,79,11,1,1
Omar Sabir,,9,1,0,1
Al Schmidt,,,28,0,1
Write-In,,,,0,1
Total,108,89,40,1,1
,City Commissioners,,,,2
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,2
Lisa Deeley,13,19,59,0,2
Al Schmidt,,45,1,0,2
Omar Sabir,,,4,0,2
Write-In,,,,0,2
Total,91,65,64,0,2
,City Commissioners,,,,3
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,3
Lisa Deeley,6,47,5,0,3
Omar Sabir,,2,2,0,3
Al Schmidt,,,20,0,3
Write-In,,,,0,3
Total,58,51,27,0,3
,City Commissioners,,,,4
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,4
Lisa Deeley,6,50,4,0,4
Omar Sabir,,2,3,0,4
Al Schmidt,,,40,0,4
Write-In,,,,0,4
Total,60,55,47,0,4
,City Commissioners,,,,5
,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,5
Al Schmidt,50,6,1,0,5
Lisa Deeley,,6,42,0,5
Omar Sabir,,,3,0,5
Write-In,,,,0,5
Total,57,54,46,0,5
,City Commissioners,,,,6
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,6
Lisa Deeley,14,18,119,0,6
Al Schmidt,,106,1,0,6
Omar Sabir,,,5,0,6
Write-In,,,,0,6
Total,151,125,125,0,6
,City Commissioners,,,,7
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,7
Lisa Deeley,17,75,16,0,7
Omar Sabir,,0,1,0,7
Al Schmidt,,,53,0,7
Write-In,,,,0,7
Total,108,76,70,0,7
,City Commissioners,,,,8
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,8
Lisa Deeley,24,44,79,0,8
Al Schmidt,,94,3,1,8
Omar Sabir,,,8,0,8
Write-In,,,,0,8
Total,147,142,90,1,8
,City Commissioners,,,,9
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,9
Lisa Deeley,5,71,13,0,9
Omar Sabir,,1,2,0,9
Al Schmidt,,,42,0,9
Write-In,,,,0,9
Total,89,74,57,0,9
,City Commissioners,,,,10
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,10
Lisa Deeley,15,20,52,0,10
Al Schmidt,,53,4,0,10
Omar Sabir,,,4,0,10
Write-In,,,,0,10
Total,87,77,60,0,10
,City Commissioners,,,,11
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,11
Lisa Deeley,5,8,47,0,11
Al Schmidt,,44,0,0,11
Omar Sabir,,,4,0,11
Write-In,,,,0,11
Total,60,52,51,0,11
,City Commissioners,,,,12
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,12
Lisa Deeley,12,55,10,1,12
Omar Sabir,,4,2,0,12
Al Schmidt,,,45,0,12
Write-In,,,,0,12
Total,78,61,57,1,12
,City Commissioners,,,,13
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,13
Lisa Deeley,9,75,6,0,13
Omar Sabir,,4,1,0,13
Al Schmidt,,,28,0,13
Write-In,,,,0,13
Total,90,80,35,0,13
,City Commissioners,,,,14
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,14
Lisa Deeley,9,48,8,0,14
Omar Sabir,,5,1,0,14
Al Schmidt,,,30,0,14
Write-In,,,,0,14
Total,65,54,39,0,14
,City Commissioners,,,,15
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,15
Lisa Deeley,7,4,40,0,15
Al Schmidt,,42,1,0,15
Omar Sabir,,,2,0,15
Write-In,,,,0,15
Total,51,47,43,0,15
,City Commissioners,,,,16
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,16
Lisa Deeley,8,12,52,0,16
Al Schmidt,,42,2,0,16
Omar Sabir,,,1,0,16
Write-In,,,,0,16
Total,72,56,55,0,16
,City Commissioners,,,,17
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,17
Lisa Deeley,12,56,15,0,17
Omar Sabir,,5,3,0,17
Al Schmidt,,,33,0,17
Write-In,,,,0,17
Total,83,64,51,0,17
,City Commissioners,,,,18
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,18
Lisa Deeley,20,11,39,0,18
Al Schmidt,,40,0,0,18
Omar Sabir,,,2,0,18
Write-In,,,,0,18
Total,70,51,41,0,18
,City Commissioners,,,,19
,Al Schmidt,Lisa Deeley,Omar Sabir,Write-In,19
Al Schmidt,91,22,4,0,19
Lisa Deeley,,14,75,0,19
Omar Sabir,,,5,0,19
Write-In,,,,0,19
Total,117,111,84,0,19
,City Commissioners,,,,20
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,20
Lisa Deeley,7,43,15,0,20
Omar Sabir,,1,1,0,20
Al Schmidt,,,23,0,20
Write-In,,,,0,20
Total,65,45,39,0,20
,City Commissioners,,,,21
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,21
Lisa Deeley,10,41,9,0,21
Omar Sabir,,2,2,0,21
Al Schmidt,,,33,0,21
Write-In,,,,0,21
Total,60,45,44,0,21
,City Commissioners,,,,22
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,22
Lisa Deeley,2,70,4,0,22
Omar Sabir,,5,0,0,22
Al Schmidt,,,70,0,22
Write-In,,,,0,22
Total,76,75,74,0,22
,City Commissioners,,,,23
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,23
Lisa Deeley,9,17,57,0,23
Al Schmidt,,52,1,0,23
Omar Sabir,,,0,1,23
Write-In,,,,0,23
Total,83,70,59,1,23
,City Commissioners,,,,24
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,24
Lisa Deeley,7,63,9,0,24
Omar Sabir,,2,1,0,24
Al Schmidt,,,32,0,24
Write-In,,,,0,24
Total,79,66,42,0,24
,City Commissioners,,,,25
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,25
Lisa Deeley,13,88,13,0,25
Omar Sabir,,4,1,0,25
Al Schmidt,,,23,0,25
Write-In,,,,1,25
Total,114,93,37,1,25
,City Commissioners,,,,26
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,26
Lisa Deeley,9,13,58,0,26
Al Schmidt,,52,1,0,26
Omar Sabir,,,4,0,26
Write-In,,,,0,26
Total,80,66,63,0,26
,City Commissioners,,,,27
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,27
Lisa Deeley,10,55,7,0,27
Omar Sabir,,0,2,0,27
Al Schmidt,,,35,0,27
Write-In,,,,0,27
Total,72,57,44,0,27
,City Commissioners,,,,28
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,28
Lisa Deeley,7,68,8,0,28
Omar Sabir,,2,0,0,28
Al Schmidt,,,34,0,28
Write-In,,,,0,28
Total,83,70,42,0,28
,City Commissioners,,,,29
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,29
Lisa Deeley,6,85,4,0,29
Omar Sabir,,2,8,0,29
Al Schmidt,,,55,0,29
Write-In,,,,0,29
Total,95,95,67,0,29
,City Commissioners,,,,30
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,30
Lisa Deeley,12,98,9,0,30
Omar Sabir,,3,1,0,30
Al Schmidt,,,75,0,30
Write-In,,,,0,30
Total,119,102,85,0,30
,City Commissioners,,,,31
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,31
Lisa Deeley,10,72,12,0,31
Omar Sabir,,1,2,0,31
Al Schmidt,,,57,0,31
Write-In,,,,0,31
Total,94,75,71,0,31
,City Commissioners,,,,32
,Lisa Deeley,Al Schmidt,Omar Sabir,Write-In,32
Lisa Deeley,7,13,33,0,32
Al Schmidt,,36,2,0,32
Omar Sabir,,,1,0,32
Write-In,,,,0,32
Total,53,51,36,0,32
,City Commissioners,,,,33
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,33
Lisa Deeley,15,59,10,0,33
Omar Sabir,,2,1,0,33
Al Schmidt,,,39,0,33
Write-In,,,,0,33
Total,84,62,50,0,33
,City Commissioners,,,,34
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,34
Lisa Deeley,4,63,7,0,34
Omar Sabir,,3,2,0,34
Al Schmidt,,,20,0,34
Write-In,,,,0,34
Total,74,68,29,0,34
,City Commissioners,,,,35
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,35
Lisa Deeley,5,59,6,0,35
Omar Sabir,,4,1,0,35
Al Schmidt,,,34,0,35
Write-In,,,,0,35
Total,70,64,41,0,35
,City Commissioners,,,,36
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,36
Lisa Deeley,10,63,9,0,36
Omar Sabir,,1,1,0,36
Al Schmidt,,,23,0,36
Write-In,,,,0,36
Total,82,65,33,0,36
,City Commissioners,,,,37
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,37
Lisa Deeley,16,56,9,0,37
Omar Sabir,,2,0,0,37
Al Schmidt,,,34,0,37
Write-In,,,,0,37
Total,81,58,43,0,37
,City Commissioners,,,,38
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,38
Lisa Deeley,9,83,8,0,38
Omar Sabir,,7,1,0,38
Al Schmidt,,,43,0,38
Write-In,,,,0,38
Total,100,91,52,0,38
,City Commissioners,,,,39
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,39
Lisa Deeley,3,67,4,0,39
Omar Sabir,,3,4,0,39
Al Schmidt,,,54,0,39
Write-In,,,,0,39
Total,74,74,62,0,39
,City Commissioners,,,,40
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,40
Lisa Deeley,6,38,3,0,40
Omar Sabir,,6,2,0,40
Al Schmidt,,,25,0,40
Write-In,,,,0,40
Total,47,46,30,0,40
,City Commissioners,,,,41
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,41
Lisa Deeley,9,125,7,0,41
Omar Sabir,,4,3,0,41
Al Schmidt,,,60,0,41
Write-In,,,,0,41
Total,141,132,70,0,41
