col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Megan Mccarthy King,Amanda Green-Hawkins,Christylee Peck,Write-In,Al Taubenberger,Bill Heeney,David Oh,Dan Tinney,Allan Domb,Matt Wolfe,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,33,307,"2,017",102,1,638,530,593,500,"1,986",309,"1,868","1,784","1,774","1,735",202,155,87,32,65,41,28,10,All
Megan Mccarthy King,,9,39,"1,786",0,"1,874","1,870","1,782","1,848",229,"1,754",128,133,78,62,43,41,43,60,31,37,15,2,All
Amanda Green-Hawkins,,,8,27,0,271,174,275,177,"1,804",104,"1,803","1,760","1,720","1,722",177,108,49,16,45,20,19,9,All
Christylee Peck,,,,3,0,"1,686","1,684","1,603","1,689",149,"1,627",60,74,57,41,22,19,29,47,13,26,11,2,All
Write-In,,,,,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,All
Al Taubenberger,,,,,,23,"2,004","2,021","2,031",341,"1,840",205,177,146,120,42,35,35,37,35,28,9,2,All
Bill Heeney,,,,,,,18,"1,909","1,982",265,"1,878",118,109,52,52,24,37,36,37,23,19,13,3,All
David Oh,,,,,,,,13,"1,890",366,"1,779",213,97,128,100,48,48,43,38,38,23,12,5,All
Dan Tinney,,,,,,,,,13,271,"1,844",106,125,98,72,33,28,29,37,19,25,14,1,All
Allan Domb,,,,,,,,,,5,159,"1,807","1,721","1,705","1,681",85,50,35,12,32,17,10,4,All
Matt Wolfe,,,,,,,,,,,9,67,62,41,16,18,13,26,35,17,23,11,2,All
Helen Gym,,,,,,,,,,,,3,"1,742","1,721","1,710",139,74,34,17,34,10,6,1,All
Katherine Gilmore Richardson,,,,,,,,,,,,,3,"1,713","1,701",112,66,27,8,29,6,9,1,All
Derek S Green,,,,,,,,,,,,,,2,"1,736",88,59,24,9,18,11,9,2,All
Isaiah Thomas,,,,,,,,,,,,,,,4,94,55,24,11,16,5,8,0,All
Kendra Brooks,,,,,,,,,,,,,,,,0,128,35,14,28,18,12,0,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,,0,32,13,17,18,18,0,All
Joe Cox,,,,,,,,,,,,,,,,,,0,20,14,26,24,1,All
