col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,David Oh,Al Taubenberger,Nicolas O'Rourke,Dan Tinney,Bill Heeney,Matt Wolfe,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Tiffany Palmer,334,"211,862","211,264","207,339","207,506","204,998","200,774",186,"190,204","183,049","178,341","177,360","170,020","50,267","15,212","9,454","38,578","8,963","6,315","6,237","7,069","6,699","3,769","2,274","2,051",450,All
Jennifer Schultz,,220,"207,804","204,108","205,697","204,381","198,390",155,"186,010","179,072","175,227","173,848","167,227","46,549","14,823","9,523","36,483","8,587","6,577","6,353","6,593","6,384","3,453","2,093","1,929",408,All
Anthony Kyriakakis,,,119,"207,005","203,365","203,424","195,210",152,"185,626","177,907","174,232","173,737","167,601","46,711","14,347","9,547","36,193","8,984","6,231","6,173","6,421","6,280","3,443","2,250","1,850",404,All
James C Crumlish,,,,106,"203,257","203,547","195,143",153,"182,045","175,727","172,928","172,551","167,435","43,157","14,290","9,928","33,121","9,235","6,523","6,307","6,037","5,712","3,334","2,149","1,787",385,All
Carmella Jacquinto,,,,,158,"203,226","198,145",132,"181,680","176,748","173,434","172,684","165,730","43,078","13,822","8,834","33,345","7,889","5,825","5,711","6,141","5,724","3,445","1,977","1,938",387,All
Joshua Roberts,,,,,,106,"195,931",139,"179,585","175,587","171,628","171,582","165,222","41,285","13,622","8,877","32,072","7,956","5,927","5,850","5,761","5,539","3,247","1,934","1,834",369,All
Crystal B Powell,,,,,,,161,118,"174,738","172,893","168,785","168,460","162,057","38,342","13,167","7,928","30,130","7,054","5,591","5,343","5,313","5,222","3,251","1,707","1,920",386,All
Write-In,,,,,,,,10,103,93,90,83,82,80,55,47,65,49,43,49,33,31,30,14,10,35,All
Helen Gym,,,,,,,,,253,"175,071","171,646","169,748","166,554","40,780","9,195","4,357","30,832","3,347","1,862","1,948","5,682","4,706","1,933","1,247",847,216,All
Isaiah Thomas,,,,,,,,,,507,"170,253","171,516","160,181","31,159","6,347","2,782","23,870","2,452","1,235",941,"2,673","2,865","1,828",668,854,248,All
Katherine Gilmore Richardson,,,,,,,,,,,193,"166,473","158,746","27,585","4,197","3,267","19,856","3,745","1,723","1,778","2,766","2,298","1,341",665,831,177,All
Derek S Green,,,,,,,,,,,,283,"160,835","24,871","6,806","3,518","17,184","2,806",948,"1,596","3,144","2,533","1,720",770,735,219,All
Allan Domb,,,,,,,,,,,,,849,"16,383","11,474","6,788","9,860","6,699","4,352","3,907","2,185","1,867","1,361","1,009",510,195,All
Kendra Brooks,,,,,,,,,,,,,,148,"4,083","1,235","44,170","1,803",613,792,"5,628","4,990","2,058","1,439","1,107",184,All
David Oh,,,,,,,,,,,,,,,"1,194","36,896","2,585","34,594","34,632","34,219","1,327","1,291","1,576",793,633,101,All
Al Taubenberger,,,,,,,,,,,,,,,,867,768,"36,602","35,396","34,114",810,647,"1,073",599,233,65,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,,21,743,651,670,"3,385","3,484","1,154",964,783,141,All
Dan Tinney,,,,,,,,,,,,,,,,,,802,"35,418","34,176",537,617,883,531,253,43,All
Bill Heeney,,,,,,,,,,,,,,,,,,,976,"34,890",414,578,903,388,290,52,All
Matt Wolfe,,,,,,,,,,,,,,,,,,,,483,525,658,"1,082",517,318,39,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,77,"1,671",956,830,415,57,All
Joe Cox,,,,,,,,,,,,,,,,,,,,,,43,"1,162","1,099","1,652",63,All
Maj Toure,,,,,,,,,,,,,,,,,,,,,,,331,727,564,44,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,,,21,418,10,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,,,,11,13,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,20,All
Total,"224,998","218,078","216,237","212,655","212,204","209,429","205,170",778,"204,792","195,863","188,985","188,983","185,846","60,029","53,491","47,303","46,388","46,024","43,016","41,122","9,086","8,844","6,144","3,464","2,947",744,All
