col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,3,"4,096",125,68,0,"3,860","3,275","3,196","2,934","2,759","2,121","1,744",479,175,141,95,59,218,114,52,59,51,7,All
Amanda Green-Hawkins,,10,43,40,0,"3,744","3,178","3,171","2,931","2,635","2,067","1,718",381,104,89,41,22,202,111,43,47,48,6,All
Megan Mccarthy King,,,0,472,0,155,133,84,104,196,102,65,473,412,394,405,352,27,26,30,21,12,0,All
Christylee Peck,,,,2,0,112,90,55,71,154,75,43,434,388,367,376,332,25,26,21,17,11,0,All
Write-In,,,,,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,,,8,"3,126","3,056","2,866","2,752","1,967","1,553",372,107,111,45,22,206,83,30,44,30,2,All
Derek S Green,,,,,,,2,"2,860","2,539","2,363","1,290","1,034",270,97,55,42,11,97,42,24,22,18,2,All
Isaiah Thomas,,,,,,,,2,"2,513","2,269","1,239","1,036",227,63,34,14,13,82,50,26,17,24,3,All
Katherine Gilmore Richardson,,,,,,,,,3,"2,298","1,117",844,149,49,113,30,23,84,38,21,15,22,2,All
Allan Domb,,,,,,,,,,9,763,465,405,173,172,92,52,72,42,23,35,19,1,All
Kendra Brooks,,,,,,,,,,,1,"1,964",206,42,91,23,5,198,83,32,42,18,3,All
Nicolas O'Rourke,,,,,,,,,,,,0,137,18,17,24,3,132,60,14,26,20,4,All
David Oh,,,,,,,,,,,,,13,469,387,407,356,36,35,34,26,20,0,All
Al Taubenberger,,,,,,,,,,,,,,1,389,376,361,15,17,11,8,7,0,All
Dan Tinney,,,,,,,,,,,,,,,0,372,353,8,9,10,3,5,0,All
Matt Wolfe,,,,,,,,,,,,,,,,0,360,11,17,17,9,9,0,All
Bill Heeney,,,,,,,,,,,,,,,,,0,2,10,9,3,6,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,30,15,23,2,1,All
Joe Cox,,,,,,,,,,,,,,,,,,,1,14,21,34,1,All
Maj Toure,,,,,,,,,,,,,,,,,,,,3,8,9,2,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,591","4,437",676,590,1,"4,347","3,607","3,505","3,271","3,176","2,512","2,028","1,021",598,566,497,411,270,160,88,81,68,9,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Maj Toure,Write-In,1
Amanda Green-Hawkins,0,249,6,3,0,223,219,209,184,169,127,110,35,7,6,0,2,7,6,4,2,2,0,1
Daniel D Mccaffery,,0,2,1,0,216,203,196,172,162,119,103,31,6,6,0,2,7,5,3,2,1,0,1
Megan Mccarthy King,,,0,15,0,7,5,7,2,8,7,6,17,15,12,13,9,1,3,3,1,0,0,1
Christylee Peck,,,,0,0,3,5,3,3,5,3,2,18,15,12,13,10,2,1,2,1,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,0,195,193,167,173,107,89,20,4,3,0,0,7,5,4,2,1,0,1
Isaiah Thomas,,,,,,,1,191,170,155,84,75,21,3,1,0,0,4,3,2,1,1,0,1
Derek S Green,,,,,,,,0,166,156,80,66,18,4,3,1,0,1,5,3,1,2,0,1
Katherine Gilmore Richardson,,,,,,,,,0,145,59,49,11,2,4,0,2,3,2,1,1,0,0,1
Allan Domb,,,,,,,,,,0,45,33,22,8,6,2,1,2,3,3,1,1,0,1
Kendra Brooks,,,,,,,,,,,0,119,21,4,4,1,0,7,2,4,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,0,19,2,1,1,0,5,2,2,0,0,0,1
David Oh,,,,,,,,,,,,,0,18,14,13,11,4,4,1,1,1,0,1
Al Taubenberger,,,,,,,,,,,,,,0,12,12,10,2,0,1,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,0,11,10,1,0,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,,,,0,9,1,0,1,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,1,1,3,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,0,1,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,285,262,24,21,0,255,240,231,203,195,147,124,57,22,19,13,12,10,9,6,3,2,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Clarc King,Maj Toure,Steve Cherniavsky,Write-In,2
Amanda Green-Hawkins,0,228,3,3,0,209,193,197,171,148,125,96,20,5,7,2,2,8,7,4,3,1,1,2
Daniel D Mccaffery,,1,7,4,0,209,193,188,163,154,122,95,25,10,7,2,2,8,6,4,4,1,1,2
Megan Mccarthy King,,,0,16,0,11,8,3,3,10,7,6,21,18,14,14,13,2,2,0,1,0,0,2
Christylee Peck,,,,0,0,6,4,4,5,6,5,3,16,14,15,14,13,1,1,0,0,0,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,1,184,173,162,154,114,80,21,6,8,1,0,8,5,3,3,1,0,2
Derek S Green,,,,,,,0,180,147,134,95,70,16,7,1,1,0,4,6,2,1,0,0,2
Isaiah Thomas,,,,,,,,0,147,127,89,71,13,5,0,2,1,3,5,4,0,0,1,2
Katherine Gilmore Richardson,,,,,,,,,0,129,75,47,5,1,6,2,0,2,5,2,1,0,0,2
Allan Domb,,,,,,,,,,0,49,26,21,9,12,1,2,6,3,2,2,0,0,2
Kendra Brooks,,,,,,,,,,,0,113,9,4,7,2,1,6,5,0,1,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,0,8,3,0,2,1,5,3,1,0,0,1,2
David Oh,,,,,,,,,,,,,0,23,16,15,15,3,0,1,3,1,0,2
Al Taubenberger,,,,,,,,,,,,,,0,15,14,14,1,0,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,0,14,16,1,1,1,1,0,0,2
Matt Wolfe,,,,,,,,,,,,,,,,0,14,0,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,2
Joe Cox,,,,,,,,,,,,,,,,,,,0,2,1,0,1,2
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,0,1,2
Maj Toure,,,,,,,,,,,,,,,,,,,,,0,1,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,257,255,28,23,0,242,221,214,186,180,152,115,47,27,26,19,17,11,10,5,4,1,1,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Kendra Brooks,Nicolas O'Rourke,Katherine Gilmore Richardson,Allan Domb,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Sherrie Cohen,Bill Heeney,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,3
Amanda Green-Hawkins,1,331,6,2,0,301,282,255,193,173,171,146,35,6,5,4,13,1,10,5,4,4,4,3
Daniel D Mccaffery,,0,2,3,0,294,267,248,191,172,163,145,39,7,7,7,13,2,12,6,4,4,4,3
Megan Mccarthy King,,,0,19,0,10,7,8,3,1,6,10,19,16,16,16,1,13,0,1,1,0,0,3
Christylee Peck,,,,0,0,6,4,1,3,2,4,8,15,15,17,16,1,14,1,2,1,0,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,,,0,261,236,171,148,159,144,33,6,6,5,11,3,6,2,2,2,1,3
Isaiah Thomas,,,,,,,0,233,145,131,154,128,23,5,2,1,3,1,3,4,1,0,1,3
Derek S Green,,,,,,,,0,118,103,137,126,21,6,5,3,4,0,2,1,1,0,2,3
Kendra Brooks,,,,,,,,,0,184,69,39,20,2,2,2,11,0,8,4,3,2,2,3
Nicolas O'Rourke,,,,,,,,,,0,57,28,18,1,2,1,9,0,7,3,2,3,2,3
Katherine Gilmore Richardson,,,,,,,,,,,1,116,10,4,3,1,2,2,2,2,0,1,2,3
Allan Domb,,,,,,,,,,,,0,31,9,7,8,3,3,4,1,2,1,1,3
David Oh,,,,,,,,,,,,,0,17,16,16,3,11,3,3,3,1,0,3
Al Taubenberger,,,,,,,,,,,,,,0,14,13,0,13,0,1,1,0,0,3
Dan Tinney,,,,,,,,,,,,,,,0,15,1,13,0,2,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,,0,2,12,2,1,1,1,0,3
