col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Sheriff,,Judge Of The Superior Court,,,,,All
,Rochelle Bilal,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,All
Rochelle Bilal,100,0,"3,437","3,318",50,42,1,All
Write-In,,0,1,2,0,0,0,All
Amanda Green-Hawkins,,,60,"3,314",20,21,0,All
Daniel D Mccaffery,,,,49,17,7,0,All
Megan Mccarthy King,,,,,10,98,0,All
Christylee Peck,,,,,,3,0,All
Write-In,,,,,,,0,All
Total,"3,662",2,"3,602","3,467",150,133,1,All
,Sheriff,,Judge Of The Superior Court,,,,,1
,Rochelle Bilal,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,1
Rochelle Bilal,4,0,175,168,3,1,0,1
Write-In,,0,0,0,0,0,0,1
Amanda Green-Hawkins,,,5,166,1,0,0,1
Daniel D Mccaffery,,,,1,1,1,0,1
Megan Mccarthy King,,,,,1,3,0,1
Christylee Peck,,,,,,0,0,1
Write-In,,,,,,,0,1
Total,185,0,183,173,6,4,0,1
,Sheriff,,Judge Of The Superior Court,,,,,2
,Rochelle Bilal,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,2
Rochelle Bilal,6,0,118,115,5,4,0,2
Write-In,,0,0,0,0,0,0,2
Amanda Green-Hawkins,,,2,115,2,1,0,2
Daniel D Mccaffery,,,,0,0,0,0,2
Christylee Peck,,,,,0,5,0,2
Megan Mccarthy King,,,,,,0,0,2
Write-In,,,,,,,0,2
Total,132,0,125,120,7,6,0,2
,Sheriff,,Judge Of The Superior Court,,,,,3
,Rochelle Bilal,Write-In,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,3
Rochelle Bilal,4,0,133,129,2,1,0,3
Write-In,,0,0,0,0,0,0,3
Amanda Green-Hawkins,,,2,130,0,1,0,3
Daniel D Mccaffery,,,,1,1,0,0,3
Megan Mccarthy King,,,,,1,1,0,3
Christylee Peck,,,,,,0,0,3
Write-In,,,,,,,0,3
Total,142,0,140,135,4,2,0,3
