col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,District Council 9th District,,Council At Large,,,,,,,,,,,,,,,,,,All
,Cherelle L Parker,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Helen Gym,David Oh,Kendra Brooks,Al Taubenberger,Dan Tinney,Nicolas O'Rourke,Bill Heeney,Matt Wolfe,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Cherelle L Parker,151,0,"24,273","23,652","22,863","22,719","22,623","1,399","2,569",664,664,"1,619",325,315,386,313,252,145,83,39,All
Write-In,,0,13,10,3,6,10,13,8,7,6,5,7,8,5,2,6,0,2,7,All
Isaiah Thomas,,,142,"23,124","22,407","22,038","21,985",817,"1,854",276,356,"1,112",98,72,216,205,152,78,32,21,All
Derek S Green,,,,48,"22,209","21,965","21,683",759,"1,494",299,321,826,63,107,172,158,127,57,17,18,All
Katherine Gilmore Richardson,,,,,22,"21,479","21,274",400,"1,204",240,310,710,89,106,163,101,69,40,27,10,All
Allan Domb,,,,,,51,"21,378",764,874,331,385,416,144,123,151,100,68,31,40,9,All
Helen Gym,,,,,,,20,747,"1,363",306,131,784,101,87,214,110,126,42,43,10,All
David Oh,,,,,,,,74,353,"1,729","1,489",175,"1,487","1,470",145,85,75,50,27,7,All
Kendra Brooks,,,,,,,,,14,86,90,"1,792",30,35,221,162,161,75,58,10,All
Al Taubenberger,,,,,,,,,,93,"1,518",53,"1,512","1,472",74,47,37,17,26,8,All
Dan Tinney,,,,,,,,,,,30,43,"1,442","1,424",39,36,37,13,22,8,All
Nicolas O'Rourke,,,,,,,,,,,,3,31,29,109,81,72,37,36,11,All
Bill Heeney,,,,,,,,,,,,,29,"1,469",37,40,28,16,14,2,All
Matt Wolfe,,,,,,,,,,,,,,24,37,43,35,16,18,1,All
Sherrie Cohen,,,,,,,,,,,,,,,15,69,73,36,48,5,All
Maj Toure,,,,,,,,,,,,,,,,32,48,38,22,0,All
Joe Cox,,,,,,,,,,,,,,,,,2,92,40,4,All
Clarc King,,,,,,,,,,,,,,,,,,1,19,2,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,2,3,All
Write-In,,,,,,,,,,,,,,,,,,,,1,All
Total,"26,908",29,"24,951","24,108","23,236","23,223","23,113","3,042","3,020","2,295","2,128","1,937","1,787","1,750",530,431,349,189,136,50,All
