col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 10th District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Brian O'Neill,Judy Moore,Write-In,Al Taubenberger,Dan Tinney,David Oh,Bill Heeney,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,All
Brian O'Neill,342,0,0,"12,566","12,352","11,172","11,455","10,722","2,201","1,203",918,949,808,235,229,231,280,184,175,96,20,All
Judy Moore,,322,0,"1,976","1,964","1,945","1,487","1,237","9,382","9,407","9,056","8,829","8,802","1,102",738,401,211,297,146,132,18,All
Write-In,,,1,6,7,6,5,6,3,1,2,2,2,0,0,0,3,1,2,0,5,All
Al Taubenberger,,,,93,"12,034","11,330","11,249","10,676","1,695","1,018",740,708,535,191,162,245,200,123,131,55,18,All
Dan Tinney,,,,,69,"10,843","11,428","10,833","1,535",667,705,549,464,218,167,132,186,115,112,57,10,All
David Oh,,,,,,60,"10,587","10,290","1,752","1,078",425,639,506,228,183,185,200,127,108,77,13,All
Bill Heeney,,,,,,,67,"10,742","1,089",446,397,177,208,106,137,88,178,114,83,59,9,All
Matt Wolfe,,,,,,,,26,781,306,327,236,110,90,113,109,161,95,87,50,11,All
Allan Domb,,,,,,,,,41,"9,299","8,692","8,696","8,526",505,286,242,85,105,93,26,9,All
Helen Gym,,,,,,,,,,9,"8,902","8,756","8,719",845,488,283,83,137,64,41,7,All
Katherine Gilmore Richardson,,,,,,,,,,,11,"8,668","8,650",584,325,143,69,106,52,54,5,All
Derek S Green,,,,,,,,,,,,8,"8,784",430,263,144,64,94,36,39,10,All
Isaiah Thomas,,,,,,,,,,,,,14,505,320,104,65,111,30,42,5,All
Kendra Brooks,,,,,,,,,,,,,,2,745,195,77,152,75,59,5,All
Nicolas O'Rourke,,,,,,,,,,,,,,,1,105,42,138,81,54,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,6,77,105,96,36,2,All
Maj Toure,,,,,,,,,,,,,,,,,35,99,73,47,6,All
Joe Cox,,,,,,,,,,,,,,,,,,0,89,136,3,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,4,44,3,All
Clarc King,,,,,,,,,,,,,,,,,,,,2,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,1,All
Total,"16,116","13,196",15,"14,877","14,596","13,361","13,191","12,131","11,793","10,782","10,100","9,887","9,740","1,411","1,024",684,556,516,354,247,47,All
