col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Maj Toure,Clarc King,Write-In,All
Daniel D Mccaffery,6,"5,352",241,118,1,"5,104","4,106","4,099","3,791","3,469","3,241","2,613",471,207,182,124,88,513,404,142,124,95,11,All
Amanda Green-Hawkins,,10,50,47,1,"4,789","3,931","3,934","3,544","3,253","2,992","2,475",383,125,117,81,51,445,348,95,103,91,9,All
Megan Mccarthy King,,,2,692,0,228,161,128,169,275,147,92,689,616,603,624,599,68,43,45,57,42,5,All
Christylee Peck,,,,0,0,162,110,86,115,194,95,65,637,583,577,595,572,43,26,41,49,38,4,All
Write-In,,,,,0,1,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,,,7,"3,858","3,822","3,468","3,368","2,865","2,243",358,107,143,63,32,408,344,102,67,57,6,All
Katherine Gilmore Richardson,,,,,,,2,"3,396","3,163","2,819","1,863","1,403",146,67,134,46,29,178,137,49,38,38,6,All
Isaiah Thomas,,,,,,,,2,"3,194","2,725","1,825","1,480",184,64,53,23,19,179,120,27,49,32,4,All
Derek S Green,,,,,,,,,2,"2,722","1,448","1,060",202,90,65,40,15,155,193,47,59,32,3,All
Allan Domb,,,,,,,,,,12,"1,082",705,409,189,208,123,103,164,109,67,59,44,6,All
Kendra Brooks,,,,,,,,,,,0,"2,847",194,43,101,23,15,417,363,97,75,39,2,All
Nicolas O'Rourke,,,,,,,,,,,,0,140,27,17,17,12,296,236,75,45,31,1,All
David Oh,,,,,,,,,,,,,18,671,610,655,601,72,50,42,47,43,2,All
Al Taubenberger,,,,,,,,,,,,,,2,615,615,591,19,15,19,28,16,2,All
Dan Tinney,,,,,,,,,,,,,,,0,600,574,11,12,15,17,11,5,All
Matt Wolfe,,,,,,,,,,,,,,,,5,617,17,10,25,28,22,1,All
Bill Heeney,,,,,,,,,,,,,,,,,2,11,6,8,19,11,5,All
Joe Cox,,,,,,,,,,,,,,,,,,2,105,77,60,80,4,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,1,42,37,22,3,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,31,28,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,,,7,24,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"6,171","5,737","1,018",883,2,"5,618","4,448","4,410","4,094","3,935","3,632","2,913","1,242",854,832,786,720,621,477,195,194,150,16,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Kendra Brooks,David Oh,Nicolas O'Rourke,Al Taubenberger,Matt Wolfe,Bill Heeney,Dan Tinney,Clarc King,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Write-In,1
Daniel D Mccaffery,2,230,12,2,0,210,169,183,172,165,117,27,91,17,11,11,13,17,17,13,6,4,0,1
Amanda Green-Hawkins,,0,3,1,0,201,160,176,165,156,112,20,90,9,5,5,8,14,16,11,4,4,0,1
Megan Mccarthy King,,,0,66,0,10,18,7,6,9,3,65,2,57,57,56,53,17,5,3,5,3,0,1
Christylee Peck,,,,0,0,5,14,4,3,4,1,57,2,52,54,52,52,15,4,0,5,2,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,1,154,171,158,150,98,15,71,5,5,4,7,10,13,13,3,4,0,1
Allan Domb,,,,,,,0,124,127,126,54,31,34,15,13,13,16,14,7,5,1,1,0,1
Katherine Gilmore Richardson,,,,,,,,0,148,145,74,3,55,3,1,2,8,4,9,7,2,1,0,1
Isaiah Thomas,,,,,,,,,0,139,63,6,52,3,0,1,2,3,7,1,2,1,0,1
Derek S Green,,,,,,,,,,0,51,12,34,5,2,1,3,4,9,9,5,3,0,1
Kendra Brooks,,,,,,,,,,,0,4,97,5,3,3,4,6,14,13,2,2,0,1
David Oh,,,,,,,,,,,,1,2,62,65,62,57,18,3,3,2,1,0,1
Nicolas O'Rourke,,,,,,,,,,,,,0,1,2,2,0,5,10,3,1,1,0,1
Al Taubenberger,,,,,,,,,,,,,,1,63,57,57,12,2,0,2,1,0,1
Matt Wolfe,,,,,,,,,,,,,,,0,64,58,12,0,0,2,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,0,54,8,0,0,2,0,0,1
Dan Tinney,,,,,,,,,,,,,,,,,0,7,2,0,1,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,0,5,2,3,5,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,0,4,5,4,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,4,3,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,,0,3,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,268,243,84,72,0,231,196,193,182,178,131,100,100,80,78,74,73,37,25,17,10,8,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-Hawkins,Christylee Peck,Megan Mccarthy King,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Matt Wolfe,Al Taubenberger,Dan Tinney,Bill Heeney,Joe Cox,Steve Cherniavsky,Maj Toure,Clarc King,Sherrie Cohen,Write-In,2
Daniel D Mccaffery,0,119,5,3,0,113,103,94,85,80,60,56,15,4,4,2,1,10,7,5,1,1,0,2
Amanda Green-Hawkins,,0,2,0,0,110,98,90,83,83,59,55,17,3,2,1,1,9,6,7,2,1,0,2
Christylee Peck,,,0,20,0,4,2,4,5,6,4,4,18,17,17,17,15,1,2,0,0,0,0,2
Megan Mccarthy King,,,,0,0,1,1,0,4,4,2,2,18,18,16,17,15,2,1,0,0,1,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,0,94,90,80,80,53,47,14,3,2,1,0,7,4,2,0,1,0,2
Isaiah Thomas,,,,,,,0,84,84,69,39,37,9,1,1,1,1,5,1,1,0,1,0,2
Katherine Gilmore Richardson,,,,,,,,0,79,70,33,27,8,1,1,2,1,1,3,0,0,0,0,2
Derek S Green,,,,,,,,,0,71,28,20,10,1,1,3,0,0,1,1,0,1,0,2
Allan Domb,,,,,,,,,,1,20,17,11,3,2,3,1,2,1,1,0,0,0,2
