col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Tracey Gordon,Write-In,Jennifer Schultz,Tiffany Palmer,James C Crumlish,Anthony Kyriakakis,Joshua Roberts,Carmella Jacquinto,Crystal B Powell,Write-In,All
Tracey Gordon,107,0,"1,075","1,067","1,036","1,033","1,040","1,029",992,0,All
Write-In,,1,2,2,5,4,2,3,2,9,All
Jennifer Schultz,,,14,"1,068","1,037","1,035","1,046","1,032","1,023",1,All
Tiffany Palmer,,,,11,"1,040","1,041","1,040","1,035","1,018",1,All
James C Crumlish,,,,,12,"1,049","1,041","1,015",989,1,All
Anthony Kyriakakis,,,,,,12,"1,031","1,008",987,1,All
Joshua Roberts,,,,,,,5,"1,023",993,0,All
Carmella Jacquinto,,,,,,,,9,993,1,All
Crystal B Powell,,,,,,,,,4,1,All
Write-In,,,,,,,,,,0,All
Total,"1,324",8,"1,162","1,151","1,129","1,118","1,107","1,100","1,061",9,All
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,1
,Tracey Gordon,Write-In,James C Crumlish,Tiffany Palmer,Joshua Roberts,Anthony Kyriakakis,Carmella Jacquinto,Jennifer Schultz,Crystal B Powell,Write-In,1
Tracey Gordon,7,0,92,90,91,89,89,89,85,0,1
Write-In,,0,0,0,0,0,0,0,0,0,1
James C Crumlish,,,1,93,93,92,91,90,88,0,1
Tiffany Palmer,,,,2,91,92,92,90,88,0,1
Joshua Roberts,,,,,1,90,92,90,87,0,1
Anthony Kyriakakis,,,,,,1,90,89,87,0,1
Carmella Jacquinto,,,,,,,0,88,86,0,1
Jennifer Schultz,,,,,,,,0,86,0,1
Crystal B Powell,,,,,,,,,1,0,1
Write-In,,,,,,,,,,0,1
Total,104,0,97,97,96,95,95,92,90,0,1
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,2
,Tracey Gordon,Write-In,Jennifer Schultz,Carmella Jacquinto,James C Crumlish,Tiffany Palmer,Joshua Roberts,Anthony Kyriakakis,Crystal B Powell,Write-In,2
Tracey Gordon,8,0,117,117,113,114,112,111,112,0,2
Write-In,,0,0,0,0,0,0,0,0,0,2
Jennifer Schultz,,,2,118,117,116,116,115,116,0,2
Carmella Jacquinto,,,,2,114,115,116,114,114,0,2
James C Crumlish,,,,,1,114,113,113,113,0,2
Tiffany Palmer,,,,,,1,112,112,115,0,2
Joshua Roberts,,,,,,,1,112,112,0,2
Anthony Kyriakakis,,,,,,,,0,112,0,2
Crystal B Powell,,,,,,,,,0,0,2
Write-In,,,,,,,,,,0,2
Total,140,0,126,125,121,121,119,118,118,0,2
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,3
,Tracey Gordon,Write-In,James C Crumlish,Tiffany Palmer,Anthony Kyriakakis,Carmella Jacquinto,Jennifer Schultz,Joshua Roberts,Crystal B Powell,Write-In,3
Tracey Gordon,5,0,67,71,66,68,68,68,63,0,3
Write-In,,0,1,0,1,0,0,1,0,0,3
James C Crumlish,,,3,64,66,63,63,67,60,0,3
Tiffany Palmer,,,,0,66,67,67,67,61,0,3
Anthony Kyriakakis,,,,,2,63,63,66,60,0,3
Carmella Jacquinto,,,,,,1,66,64,61,0,3
Jennifer Schultz,,,,,,,2,64,60,0,3
Joshua Roberts,,,,,,,,0,60,0,3
Crystal B Powell,,,,,,,,,1,0,3
Write-In,,,,,,,,,,0,3
Total,84,1,73,72,71,71,71,70,65,0,3
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,4
,Tracey Gordon,Write-In,Jennifer Schultz,James C Crumlish,Anthony Kyriakakis,Carmella Jacquinto,Tiffany Palmer,Joshua Roberts,Crystal B Powell,Write-In,4
Tracey Gordon,2,0,49,48,47,45,44,41,39,0,4
Write-In,,0,0,0,0,0,0,0,0,0,4
Jennifer Schultz,,,2,47,45,44,44,42,43,0,4
James C Crumlish,,,,1,47,44,44,44,40,0,4
Anthony Kyriakakis,,,,,1,43,42,41,39,0,4
Carmella Jacquinto,,,,,,1,41,41,39,0,4
Tiffany Palmer,,,,,,,1,42,40,0,4
Joshua Roberts,,,,,,,,0,37,0,4
Crystal B Powell,,,,,,,,,0,0,4
Write-In,,,,,,,,,,0,4
Total,63,0,56,54,52,49,49,45,43,0,4
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,5
,Tracey Gordon,Write-In,Jennifer Schultz,Tiffany Palmer,Anthony Kyriakakis,Joshua Roberts,Crystal B Powell,James C Crumlish,Carmella Jacquinto,Write-In,5
Tracey Gordon,5,0,79,76,72,75,73,69,69,0,5
Write-In,,0,0,0,1,0,0,1,0,1,5
Jennifer Schultz,,,0,75,71,73,72,69,69,0,5
Tiffany Palmer,,,,0,70,73,70,69,68,0,5
Anthony Kyriakakis,,,,,2,71,69,69,68,0,5
Joshua Roberts,,,,,,0,70,70,69,0,5
Crystal B Powell,,,,,,,0,66,67,0,5
James C Crumlish,,,,,,,,1,67,0,5
Carmella Jacquinto,,,,,,,,,0,0,5
Write-In,,,,,,,,,,0,5
Total,92,2,82,78,77,77,75,73,72,1,5
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,6
,Tracey Gordon,Write-In,Tiffany Palmer,Carmella Jacquinto,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,6
