col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Council At Large,,,,,,,,,,,,,,,,,,District Council 8th District,,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Bill Heeney,Matt Wolfe,Dan Tinney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,Cindy Bass,Greg Paulmier,Write-In,All
Helen Gym,1,"3,222","3,165","3,060","3,040",629,488,134,97,25,13,13,18,45,28,7,17,3,"2,887",639,10,All
Isaiah Thomas,,5,"3,229","3,103","2,998",540,399,110,35,26,20,12,13,41,43,28,8,4,"2,996",514,6,All
Derek S Green,,,4,"3,056","2,966",459,318,122,48,25,8,15,10,29,36,21,10,3,"2,906",492,5,All
Katherine Gilmore Richardson,,,,1,"2,893",363,249,45,28,26,16,14,17,26,26,18,9,1,"2,830",407,7,All
Allan Domb,,,,,3,272,159,100,29,14,18,14,18,11,26,9,9,1,"2,768",406,3,All
Kendra Brooks,,,,,,2,743,97,106,17,6,7,14,64,48,23,32,2,441,484,10,All
Nicolas O'Rourke,,,,,,,0,58,75,5,6,6,4,45,21,12,20,0,325,376,9,All
David Oh,,,,,,,,2,19,94,87,94,82,12,18,11,6,1,97,135,4,All
Sherrie Cohen,,,,,,,,,0,4,0,5,2,19,10,13,14,0,40,95,0,All
Al Taubenberger,,,,,,,,,,0,82,81,79,3,8,1,1,0,23,51,0,All
Bill Heeney,,,,,,,,,,,0,90,81,3,9,3,1,0,25,39,0,All
Matt Wolfe,,,,,,,,,,,,0,83,2,10,2,4,0,22,41,0,All
Dan Tinney,,,,,,,,,,,,,0,2,9,3,1,0,20,43,1,All
Joe Cox,,,,,,,,,,,,,,0,11,31,9,0,26,64,0,All
Maj Toure,,,,,,,,,,,,,,,3,14,8,2,36,49,0,All
Clarc King,,,,,,,,,,,,,,,,0,7,0,17,40,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,12,29,0,All
Write-In,,,,,,,,,,,,,,,,,,2,2,1,1,All
Cindy Bass,,,,,,,,,,,,,,,,,,,34,0,0,All
Greg Paulmier,,,,,,,,,,,,,,,,,,,,26,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,625","3,605","3,477","3,307","3,227","1,021",776,301,143,128,120,120,115,98,97,59,45,7,"3,336",916,13,All
,District Council 8th District,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Cindy Bass,Greg Paulmier,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Maj Toure,Al Taubenberger,Bill Heeney,Clarc King,Dan Tinney,Joe Cox,Sherrie Cohen,Matt Wolfe,Write-In,Steve Cherniavsky,1
Cindy Bass,6,0,0,145,140,137,134,134,8,6,3,4,2,2,2,1,1,1,0,1,0,1
Greg Paulmier,,0,0,7,7,8,7,7,5,0,3,0,0,0,1,0,1,1,0,0,0,1
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,,0,144,141,142,138,7,3,3,2,0,2,2,1,1,1,0,0,0,1
Derek S Green,,,,,0,141,140,136,4,5,2,0,1,1,1,1,1,0,0,1,0,1
Helen Gym,,,,,,0,139,138,5,2,3,1,1,1,1,0,0,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,0,134,6,2,2,1,1,0,2,0,0,1,0,0,0,1
Allan Domb,,,,,,,,0,5,2,2,1,1,1,1,0,1,1,0,0,0,1
Kendra Brooks,,,,,,,,,0,1,6,4,1,1,2,0,1,0,0,0,0,1
David Oh,,,,,,,,,,0,0,1,3,1,0,2,1,0,1,0,0,1
Nicolas O'Rourke,,,,,,,,,,,0,2,0,1,1,0,1,0,0,0,0,1
Maj Toure,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,1
Bill Heeney,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1
Clarc King,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1
