col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,District Council 7th District,,Council At Large,,,,,,,,,,,,,,,,,,All
,Maria Quiñones Sánchez,Write-In,Isaiah Thomas,Allan Domb,Helen Gym,Derek S Green,Katherine Gilmore Richardson,David Oh,Kendra Brooks,Nicolas O'Rourke,Matt Wolfe,Bill Heeney,Dan Tinney,Al Taubenberger,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Maria Quiñones Sánchez,17,0,892,865,862,868,859,37,53,35,15,7,10,9,4,6,6,2,2,2,All
Write-In,,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,All
Isaiah Thomas,,,2,862,859,866,854,23,42,26,3,3,4,3,4,3,3,0,2,2,All
Allan Domb,,,,3,847,853,841,17,16,10,3,2,4,3,1,3,1,0,2,2,All
Helen Gym,,,,,1,850,846,12,30,17,1,2,2,5,2,3,2,1,1,3,All
Derek S Green,,,,,,1,849,16,21,12,1,1,3,0,0,4,3,0,0,2,All
Katherine Gilmore Richardson,,,,,,,1,7,23,12,0,3,1,3,1,3,4,0,0,0,All
David Oh,,,,,,,,3,8,3,42,39,42,40,2,1,1,0,1,1,All
Kendra Brooks,,,,,,,,,0,49,0,1,1,1,3,4,6,3,0,1,All
Nicolas O'Rourke,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,All
Matt Wolfe,,,,,,,,,,,0,39,40,37,2,0,0,1,1,0,All
Bill Heeney,,,,,,,,,,,,2,39,38,1,1,0,2,0,0,All
Dan Tinney,,,,,,,,,,,,,0,37,1,0,0,0,0,0,All
Al Taubenberger,,,,,,,,,,,,,,2,0,0,0,0,0,0,All
Joe Cox,,,,,,,,,,,,,,,0,2,2,2,3,0,All
Maj Toure,,,,,,,,,,,,,,,,2,2,2,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,2,0,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,All
Clarc King,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,0,All
Total,980,2,926,885,885,884,873,78,76,51,49,47,45,44,9,9,8,5,4,3,All
,District Council 7th District,,Council At Large,,,,,,,,,,,,,,,,,,2
,Maria Quiñones Sánchez,Write-In,Isaiah Thomas,Allan Domb,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Kendra Brooks,David Oh,Nicolas O'Rourke,Bill Heeney,Al Taubenberger,Dan Tinney,Matt Wolfe,Maj Toure,Joe Cox,Clarc King,Sherrie Cohen,Steve Cherniavsky,Write-In,2
Maria Quiñones Sánchez,1,0,118,114,113,112,112,12,6,8,3,3,3,2,2,0,0,1,0,0,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,0,111,114,112,111,9,4,5,1,1,1,0,2,2,1,0,0,0,2
Allan Domb,,,,0,107,108,107,6,2,2,0,0,0,0,2,1,1,1,0,0,2
Derek S Green,,,,,0,109,110,6,4,4,0,0,1,0,1,0,0,1,0,0,2
Helen Gym,,,,,,0,107,4,3,2,1,1,1,0,1,1,1,0,0,0,2
