col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,District Council 3rd District,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jamie Gauthier,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Joe Cox,Matt Wolfe,Al Taubenberger,Dan Tinney,Bill Heeney,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Jamie Gauthier,90,0,"23,267","22,586","21,183","20,625","18,811","8,478","7,277",973,854,784,347,285,242,157,462,194,155,65,All
Write-In,,0,41,32,24,26,21,30,28,13,7,8,9,4,6,4,6,3,1,7,All
Helen Gym,,,27,"21,345","20,104","19,271","18,313","6,848","5,961",658,749,630,159,164,114,47,234,113,59,30,All
Isaiah Thomas,,,,72,"20,153","19,537","17,859","5,687","4,934",568,368,345,97,126,89,58,218,61,60,28,All
Katherine Gilmore Richardson,,,,,30,"18,770","17,352","4,419","3,706",304,305,212,100,107,92,38,154,43,65,21,All
Derek S Green,,,,,,31,"17,607","3,512","2,747",522,347,241,119,146,81,31,190,64,55,22,All
Allan Domb,,,,,,,40,"1,876","1,308",523,131,103,158,125,118,48,121,54,19,14,All
Kendra Brooks,,,,,,,,25,"8,397",434,827,727,110,62,76,31,303,146,100,36,All
Nicolas O'Rourke,,,,,,,,,5,292,591,571,72,29,25,22,210,95,71,29,All
David Oh,,,,,,,,,,78,69,63,659,627,564,553,119,35,32,10,All
Sherrie Cohen,,,,,,,,,,,6,219,24,13,12,6,101,72,30,9,All
Joe Cox,,,,,,,,,,,,5,31,7,19,9,96,76,95,12,All
Matt Wolfe,,,,,,,,,,,,,29,576,568,560,62,20,17,5,All
Al Taubenberger,,,,,,,,,,,,,,1,548,535,36,12,7,4,All
Dan Tinney,,,,,,,,,,,,,,,9,521,35,12,8,4,All
Bill Heeney,,,,,,,,,,,,,,,,5,29,6,11,3,All
Maj Toure,,,,,,,,,,,,,,,,,20,50,40,5,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,19,0,All
Clarc King,,,,,,,,,,,,,,,,,,,0,3,All
Write-In,,,,,,,,,,,,,,,,,,,,1,All
Total,"27,214",61,"24,545","23,754","21,915","21,291","19,380","9,939","8,585","1,750","1,021",943,939,815,764,665,599,240,194,96,All
