col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 10th District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Judy Moore,Brian O'Neill,Write-In,Allan Domb,Helen Gym,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,Al Taubenberger,David Oh,Dan Tinney,Bill Heeney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Judy Moore,57,0,0,"2,482","2,547","2,438","2,450","2,446",283,290,195,148,127,270,189,90,65,35,30,37,1,All
Brian O'Neill,,56,0,415,239,181,158,146,"2,079","1,810","1,882","1,801","1,729",46,38,53,31,53,39,19,10,All
Write-In,,,1,2,1,2,2,2,4,4,4,3,4,0,0,0,1,2,2,0,2,All
Allan Domb,,,,16,"2,507","2,387","2,376","2,344",320,328,210,168,127,110,76,64,21,20,24,6,1,All
Helen Gym,,,,,1,"2,427","2,424","2,397",224,226,95,83,59,202,127,76,34,15,15,11,2,All
Derek S Green,,,,,,3,"2,378","2,421",149,140,63,22,34,130,82,37,22,15,11,12,2,All
Katherine Gilmore Richardson,,,,,,,4,"2,359",130,79,78,57,47,132,72,34,23,14,9,17,0,All
Isaiah Thomas,,,,,,,,10,105,113,54,23,22,128,83,22,30,17,8,12,1,All
Al Taubenberger,,,,,,,,,22,"1,808","1,852","1,748","1,679",40,32,61,18,27,29,16,5,All
David Oh,,,,,,,,,,25,"1,641","1,643","1,617",45,33,48,21,34,20,14,5,All
Dan Tinney,,,,,,,,,,,8,"1,699","1,652",31,24,24,19,31,25,11,3,All
Bill Heeney,,,,,,,,,,,,10,"1,687",13,19,13,16,23,18,9,1,All
Matt Wolfe,,,,,,,,,,,,,10,24,21,19,16,30,26,13,4,All
Kendra Brooks,,,,,,,,,,,,,,1,191,44,38,11,15,16,1,All
Nicolas O'Rourke,,,,,,,,,,,,,,,0,29,30,5,18,16,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,3,27,14,21,10,0,All
Joe Cox,,,,,,,,,,,,,,,,,0,20,15,34,2,All
Maj Toure,,,,,,,,,,,,,,,,,,11,17,10,5,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,1,8,2,All
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,122","2,582",9,"2,958","2,833","2,654","2,637","2,626","2,426","2,160","2,116","1,993","1,894",334,245,161,107,105,78,61,15,All
,District Council 10th District,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Judy Moore,Brian O'Neill,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Al Taubenberger,David Oh,Bill Heeney,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Clarc King,Steve Cherniavsky,Maj Toure,Sherrie Cohen,Write-In,1
Judy Moore,5,0,0,80,79,78,73,75,9,8,6,7,3,13,10,4,2,2,0,1,0,1
Brian O'Neill,,1,0,7,6,5,8,6,32,28,29,26,27,1,0,0,0,0,1,0,1,1
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,0,80,79,74,75,4,5,0,1,1,11,7,2,0,0,0,0,0,1
Derek S Green,,,,,0,82,72,75,2,3,0,4,0,6,5,1,1,0,0,0,0,1
Isaiah Thomas,,,,,,0,71,75,3,3,0,3,0,7,6,1,1,0,0,0,0,1
Allan Domb,,,,,,,1,70,4,6,4,5,3,3,2,1,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,0,4,0,2,1,1,4,2,2,1,1,0,1,0,1
Al Taubenberger,,,,,,,,,0,27,28,28,26,2,0,0,0,1,1,1,0,1
David Oh,,,,,,,,,,0,24,26,23,2,1,0,0,0,1,0,1,1
Bill Heeney,,,,,,,,,,,0,26,29,0,0,0,0,1,1,1,0,1
Dan Tinney,,,,,,,,,,,,0,25,0,0,0,0,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Kendra Brooks,,,,,,,,,,,,,,0,10,3,1,1,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,,0,2,1,1,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,,0,2,1,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,0,1,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,1,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,0,1
Total,104,47,0,88,86,84,83,82,41,36,35,33,30,14,10,4,2,2,1,1,1,1
,Council At Large,,,,,,,,,,,,,,,,,,District Council 10th District,,,2
,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Al Taubenberger,David Oh,Bill Heeney,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Joe Cox,Clarc King,Write-In,Brian O'Neill,Judy Moore,Write-In,2
Allan Domb,0,63,61,60,58,8,8,6,7,3,6,4,2,1,2,0,0,0,15,56,0,2
Helen Gym,,0,64,63,59,3,6,2,3,3,6,3,2,2,1,0,0,0,10,60,0,2
Katherine Gilmore Richardson,,,0,58,57,1,2,3,1,2,6,3,1,1,1,0,0,0,7,60,0,2
Derek S Green,,,,0,58,3,4,0,3,0,4,2,3,2,0,0,0,0,10,54,0,2
Isaiah Thomas,,,,,0,1,2,1,1,1,2,2,2,1,1,1,0,0,7,55,0,2
Al Taubenberger,,,,,,1,48,48,45,42,0,2,1,1,1,0,0,0,54,2,0,2
David Oh,,,,,,,0,46,42,41,0,0,2,0,1,0,0,0,51,5,0,2
Bill Heeney,,,,,,,,0,43,44,0,2,1,0,1,0,0,0,49,4,0,2
Dan Tinney,,,,,,,,,0,40,3,4,2,0,3,0,0,0,47,2,0,2
Matt Wolfe,,,,,,,,,,0,0,0,1,0,1,0,0,0,43,2,0,2
Kendra Brooks,,,,,,,,,,,0,7,0,2,2,1,1,0,1,8,0,2
Nicolas O'Rourke,,,,,,,,,,,,0,1,2,3,2,1,0,3,6,0,2
Maj Toure,,,,,,,,,,,,,0,2,1,2,0,0,4,3,0,2
Sherrie Cohen,,,,,,,,,,,,,,0,1,3,1,0,1,4,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,0,1,0,0,2,2,0,2
Joe Cox,,,,,,,,,,,,,,,,0,1,0,0,3,0,2
Clarc King,,,,,,,,,,,,,,,,,0,0,0,1,0,2
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,2
Brian O'Neill,,,,,,,,,,,,,,,,,,,1,0,0,2
Judy Moore,,,,,,,,,,,,,,,,,,,,1,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,0,2
Total,74,71,67,65,63,57,57,54,51,46,10,10,8,5,5,3,1,0,70,70,0,2
,Council At Large,,,,,,,,,,,,,,,,,,District Council 10th District,,,3
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Al Taubenberger,Bill Heeney,David Oh,Matt Wolfe,Dan Tinney,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Clarc King,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Write-In,Judy Moore,Brian O'Neill,Write-In,3
Helen Gym,1,47,45,44,42,5,3,4,3,0,2,2,1,0,0,0,0,0,45,6,0,3
Allan Domb,,0,44,41,42,5,3,3,1,1,2,2,1,0,0,0,0,0,45,5,0,3
Katherine Gilmore Richardson,,,0,44,44,1,0,0,1,0,3,3,0,0,0,0,0,0,45,3,0,3
Derek S Green,,,,0,43,1,0,1,1,0,1,1,0,0,0,0,0,0,44,2,0,3
Isaiah Thomas,,,,,0,1,0,0,0,0,2,2,0,0,0,0,0,0,44,1,0,3
Al Taubenberger,,,,,,0,23,23,22,19,0,0,0,0,0,0,0,0,5,21,0,3
Bill Heeney,,,,,,,1,21,21,20,0,0,0,0,0,0,0,0,3,22,0,3
David Oh,,,,,,,,1,20,18,0,0,0,0,0,0,0,0,4,19,0,3
Matt Wolfe,,,,,,,,,0,19,0,0,0,0,0,0,0,0,2,21,0,3
Dan Tinney,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,19,0,3
Kendra Brooks,,,,,,,,,,,0,5,1,0,0,0,0,0,3,1,0,3
Nicolas O'Rourke,,,,,,,,,,,,0,1,0,0,0,0,0,3,1,0,3
Maj Toure,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,3
Clarc King,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,3
Judy Moore,,,,,,,,,,,,,,,,,,,1,0,0,3
Brian O'Neill,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,0,3
Total,52,50,48,46,45,27,27,24,23,20,5,5,1,0,0,0,0,0,52,27,0,3
,District Council 10th District,,,Council At Large,,,,,,,,,,,,,,,,,,4
