col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Bill Heeney,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,All
Mark F Squilla,21,0,0,"1,034",962,963,939,925,202,205,158,120,113,317,282,101,46,52,24,18,0,All
Daniel Orsino,,1,0,27,39,20,18,27,544,517,527,517,526,27,26,21,32,8,8,12,0,All
Write-In,,,0,2,0,0,0,1,0,0,0,0,0,2,2,3,1,1,1,1,0,All
Helen Gym,,,,5,825,883,871,844,35,71,40,19,28,256,220,62,21,37,9,7,0,All
Allan Domb,,,,,4,794,775,793,101,136,81,71,52,69,58,33,21,6,4,8,0,All
Katherine Gilmore Richardson,,,,,,1,853,839,38,31,36,22,31,175,146,30,18,13,7,2,0,All
Isaiah Thomas,,,,,,,0,838,23,35,20,12,5,183,152,37,13,17,6,1,0,All
Derek S Green,,,,,,,,2,22,46,32,17,23,148,115,36,22,19,6,5,0,All
Bill Heeney,,,,,,,,,29,613,614,596,604,11,11,17,14,4,3,11,1,All
David Oh,,,,,,,,,,7,595,564,557,28,23,26,21,8,5,10,0,All
Al Taubenberger,,,,,,,,,,,6,581,568,17,13,19,18,3,4,8,0,All
Dan Tinney,,,,,,,,,,,,6,559,9,13,15,13,3,4,7,0,All
Matt Wolfe,,,,,,,,,,,,,5,10,11,13,17,5,2,7,0,All
Kendra Brooks,,,,,,,,,,,,,,0,307,73,27,52,18,14,0,All
Nicolas O'Rourke,,,,,,,,,,,,,,,0,68,26,37,23,14,0,All
Joe Cox,,,,,,,,,,,,,,,,0,26,24,28,15,0,All
Maj Toure,,,,,,,,,,,,,,,,,0,13,10,10,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,3,9,0,All
Clarc King,,,,,,,,,,,,,,,,,,,1,6,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,2,All
Total,"1,462",627,3,"1,107","1,034","1,009",986,975,828,762,722,680,673,383,343,142,83,68,41,37,3,All
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Mark F Squilla,Daniel Orsino,Write-In,Bill Heeney,Al Taubenberger,Dan Tinney,David Oh,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Steve Cherniavsky,Sherrie Cohen,Clarc King,Write-In,1
Mark F Squilla,3,0,0,18,21,17,19,11,43,41,38,33,32,13,14,3,3,1,1,1,0,1
Daniel Orsino,,0,0,41,37,38,38,38,4,0,1,3,3,2,1,3,2,2,1,0,0,1
Write-In,,,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
Bill Heeney,,,,1,47,51,47,46,8,2,4,1,3,2,0,1,1,2,0,0,0,1
Al Taubenberger,,,,,1,46,48,44,13,6,5,1,2,2,1,2,0,1,0,0,0,1
Dan Tinney,,,,,,2,45,41,10,1,4,3,2,1,0,3,1,1,0,0,0,1
David Oh,,,,,,,0,43,16,7,2,2,1,1,1,1,1,0,0,0,0,1
Matt Wolfe,,,,,,,,0,5,1,3,1,1,2,1,1,1,1,0,0,0,1
Allan Domb,,,,,,,,,0,29,27,26,23,0,2,3,2,1,0,0,0,1
Helen Gym,,,,,,,,,,0,29,29,27,12,9,2,2,0,1,0,0,1
Katherine Gilmore Richardson,,,,,,,,,,,0,28,26,9,8,3,2,0,0,1,0,1
Derek S Green,,,,,,,,,,,,0,29,9,7,3,2,1,1,0,0,1
Isaiah Thomas,,,,,,,,,,,,,0,9,7,2,1,0,1,0,0,1
Kendra Brooks,,,,,,,,,,,,,,0,11,5,1,1,2,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,,0,2,1,1,0,1,0,1
Joe Cox,,,,,,,,,,,,,,,,0,2,1,1,1,0,1
Maj Toure,,,,,,,,,,,,,,,,,0,1,1,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,1,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,0,1
Total,73,46,1,63,60,60,58,49,47,43,39,37,35,18,15,9,5,4,2,1,0,1
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Mark F Squilla,Daniel Orsino,Write-In,Isaiah Thomas,Helen Gym,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Nicolas O'Rourke,David Oh,Kendra Brooks,Bill Heeney,Matt Wolfe,Al Taubenberger,Dan Tinney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Sherrie Cohen,Write-In,2
Mark F Squilla,0,0,0,38,36,37,35,37,11,4,11,4,2,2,1,5,4,2,1,1,0,2
Daniel Orsino,,0,0,0,1,2,0,0,1,9,1,7,7,7,6,1,2,0,1,0,0,2
Write-In,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2
Isaiah Thomas,,,,0,36,31,34,34,7,1,9,1,0,0,0,2,3,1,0,0,0,2
Helen Gym,,,,,0,31,30,31,7,2,8,2,1,0,0,3,1,1,0,0,0,2
Allan Domb,,,,,,0,30,31,4,5,3,2,1,1,0,4,2,1,1,0,0,2
Derek S Green,,,,,,,1,30,3,2,2,2,1,0,0,3,2,1,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,0,4,1,6,1,0,1,0,1,3,1,0,0,0,2
Nicolas O'Rourke,,,,,,,,,0,2,13,0,0,1,1,3,2,2,2,1,0,2
David Oh,,,,,,,,,,2,1,9,7,8,6,2,2,0,1,0,0,2
Kendra Brooks,,,,,,,,,,,0,0,0,1,1,0,2,0,1,1,0,2
Bill Heeney,,,,,,,,,,,,0,11,8,6,1,1,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,0,8,6,1,1,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,,,,0,7,1,1,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,0,2,2,2,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,0,2,3,1,0,2
Clarc King,,,,,,,,,,,,,,,,,,1,1,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,1,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,0,2
Total,52,9,1,41,40,39,37,37,16,15,15,13,12,10,7,7,7,4,3,1,0,2
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,David Oh,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,3
Mark F Squilla,0,0,0,85,75,75,74,68,16,13,9,10,14,24,24,6,1,3,0,0,0,3
Daniel Orsino,,0,0,4,5,3,2,1,49,51,49,48,44,4,3,3,2,0,1,0,0,3
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,0,61,67,71,59,4,3,3,4,3,28,27,7,1,3,0,0,0,3
Allan Domb,,,,,1,59,55,57,10,5,10,5,12,5,5,2,1,0,1,0,0,3
Katherine Gilmore Richardson,,,,,,0,65,61,5,5,3,5,4,14,13,2,0,0,0,0,0,3
Isaiah Thomas,,,,,,,0,59,4,3,1,0,4,20,19,3,0,0,0,0,0,3
Derek S Green,,,,,,,,0,4,2,1,5,4,10,9,1,0,2,1,0,0,3
Al Taubenberger,,,,,,,,,0,54,53,51,53,1,0,2,0,0,1,0,0,3
Bill Heeney,,,,,,,,,,1,51,51,47,0,1,1,0,0,2,0,0,3
Dan Tinney,,,,,,,,,,,0,49,49,1,1,1,1,0,1,0,0,3
Matt Wolfe,,,,,,,,,,,,0,45,1,1,4,1,1,1,0,0,3
David Oh,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,3
Kendra Brooks,,,,,,,,,,,,,,0,29,7,1,2,0,0,0,3
Nicolas O'Rourke,,,,,,,,,,,,,,,0,5,1,2,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,,0,0,1,0,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,0,1,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,0,3
Total,117,62,0,92,83,79,78,71,68,68,62,62,60,32,31,10,3,3,3,0,0,3
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,4
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Bill Heeney,Katherine Gilmore Richardson,David Oh,Allan Domb,Al Taubenberger,Dan Tinney,Derek S Green,Isaiah Thomas,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Sherrie Cohen,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,4
Mark F Squilla,2,0,0,61,21,58,18,54,14,14,47,45,12,36,33,6,7,4,1,1,0,4
Daniel Orsino,,0,0,4,36,0,34,2,35,33,4,4,34,5,4,4,3,3,1,2,0,4
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Helen Gym,,,,0,4,47,6,42,5,4,45,43,2,27,25,1,4,2,1,0,0,4
Bill Heeney,,,,,2,6,47,10,45,43,1,2,44,2,0,3,1,1,0,1,0,4
Katherine Gilmore Richardson,,,,,,0,2,43,1,3,42,43,3,16,15,1,2,1,0,0,0,4
David Oh,,,,,,,0,7,47,47,1,1,42,3,2,4,1,3,2,2,0,4
Allan Domb,,,,,,,,0,5,8,35,37,4,9,8,2,2,1,0,0,0,4
Al Taubenberger,,,,,,,,,1,44,0,0,41,3,4,2,0,2,3,1,0,4
Dan Tinney,,,,,,,,,,0,2,1,40,1,1,1,0,3,1,2,0,4
Derek S Green,,,,,,,,,,,0,44,0,16,13,0,2,1,1,0,0,4
Isaiah Thomas,,,,,,,,,,,,0,0,15,12,0,3,0,0,0,0,4
Matt Wolfe,,,,,,,,,,,,,1,1,1,2,1,1,0,1,0,4
Kendra Brooks,,,,,,,,,,,,,,0,36,4,9,4,1,1,0,4
Nicolas O'Rourke,,,,,,,,,,,,,,,0,4,6,3,3,0,0,4
Maj Toure,,,,,,,,,,,,,,,,0,3,3,1,1,0,4
