col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Allan Domb,Bill Heeney,Al Taubenberger,Helen Gym,Dan Tinney,David Oh,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,32,"1,728",224,88,1,"1,778",425,456,"1,633",405,429,"1,565","1,571","1,547",226,158,110,38,56,54,33,16,4,All
Amanda Green-Hawkins,,7,37,27,1,"1,578",121,159,"1,583",131,196,"1,536","1,537","1,529",57,150,91,32,44,34,16,20,9,All
Megan Mccarthy King,,,5,"1,325",0,214,"1,400","1,349",89,"1,364","1,322",90,47,53,"1,273",31,36,41,21,26,26,13,0,All
Christylee Peck,,,,3,0,138,"1,276","1,242",62,"1,255","1,187",60,44,51,"1,189",18,16,33,19,19,18,15,0,All
Write-In,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,All
Allan Domb,,,,,,11,242,282,"1,622",245,290,"1,534","1,539","1,518",120,68,47,14,27,16,15,3,0,All
Bill Heeney,,,,,,,25,"1,462",93,"1,507","1,431",60,35,40,"1,388",19,28,28,20,22,21,10,0,All
Al Taubenberger,,,,,,,,11,129,"1,471","1,441",96,82,80,"1,300",19,17,28,27,19,20,5,2,All
Helen Gym,,,,,,,,,2,74,165,"1,543","1,520","1,508",42,102,65,12,44,16,10,8,4,All
Dan Tinney,,,,,,,,,,13,"1,384",85,66,58,"1,342",18,27,30,12,18,17,9,0,All
David Oh,,,,,,,,,,,5,58,77,87,"1,274",46,31,30,27,23,23,11,2,All
Katherine Gilmore Richardson,,,,,,,,,,,,3,"1,522","1,516",41,70,47,16,20,17,5,8,0,All
Derek S Green,,,,,,,,,,,,,0,"1,543",24,73,48,15,11,6,0,6,4,All
Isaiah Thomas,,,,,,,,,,,,,,4,10,60,40,17,11,6,2,10,7,All
Matt Wolfe,,,,,,,,,,,,,,,3,12,19,27,13,15,13,6,0,All
Kendra Brooks,,,,,,,,,,,,,,,,1,109,14,29,35,22,17,2,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,,0,7,13,24,10,7,1,All
Maj Toure,,,,,,,,,,,,,,,,,,6,12,9,11,6,6,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,3,21,13,3,1,All
Joe Cox,,,,,,,,,,,,,,,,,,,,1,17,18,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,7,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,427","1,913","1,692","1,486",6,"2,063","1,862","1,832","1,816","1,797","1,767","1,727","1,694","1,690","1,522",207,152,90,88,80,59,36,11,All
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,1
,Dan Tinney,Bill Heeney,Al Taubenberger,David Oh,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Nicolas O'Rourke,Kendra Brooks,Sherrie Cohen,Steve Cherniavsky,Maj Toure,Joe Cox,Clarc King,Write-In,Megan Mccarthy King,Christylee Peck,Daniel D Mccaffery,Amanda Green-Hawkins,Write-In,1
Dan Tinney,0,166,161,153,142,29,14,5,8,4,5,3,2,1,3,2,0,0,147,131,57,13,0,1
Bill Heeney,,1,152,146,142,19,9,2,2,1,3,1,0,2,2,2,1,0,142,127,53,6,0,1
Al Taubenberger,,,2,153,133,27,8,7,7,3,2,0,3,3,1,1,0,0,139,122,54,7,0,1
David Oh,,,,0,131,26,14,6,5,2,3,1,5,3,3,1,0,0,136,118,47,12,0,1
Matt Wolfe,,,,,0,7,4,2,0,2,3,0,1,0,1,0,0,0,129,120,26,3,0,1
Allan Domb,,,,,,0,57,45,45,42,1,2,3,1,0,0,0,0,24,9,76,50,0,1
Helen Gym,,,,,,,0,48,46,42,4,5,5,0,2,0,0,0,13,7,62,49,0,1
Katherine Gilmore Richardson,,,,,,,,0,44,43,3,3,4,1,2,1,1,0,8,2,51,46,0,1
Isaiah Thomas,,,,,,,,,0,44,2,2,1,0,0,1,1,0,5,3,51,47,0,1
Derek S Green,,,,,,,,,,0,5,5,1,0,0,1,1,0,5,0,50,45,0,1
Nicolas O'Rourke,,,,,,,,,,,0,9,1,2,0,1,1,0,4,2,9,8,0,1
Kendra Brooks,,,,,,,,,,,,0,2,2,1,1,1,0,4,1,5,7,0,1
Sherrie Cohen,,,,,,,,,,,,,0,1,2,1,0,0,3,1,5,4,0,1
Steve Cherniavsky,,,,,,,,,,,,,,0,2,3,2,0,4,2,3,0,0,1
Maj Toure,,,,,,,,,,,,,,,0,2,1,0,3,2,3,1,0,1
Joe Cox,,,,,,,,,,,,,,,,0,3,0,1,1,3,1,0,1
Clarc King,,,,,,,,,,,,,,,,,0,0,1,1,1,1,0,1
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Megan Mccarthy King,,,,,,,,,,,,,,,,,,,0,135,32,3,0,1
Christylee Peck,,,,,,,,,,,,,,,,,,,,0,7,1,0,1
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,,3,60,0,1
Amanda Green-Hawkins,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,202,193,190,179,156,94,70,56,55,51,14,12,9,7,6,5,3,0,177,145,143,68,0,1
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Superior Court,,,,,2
,Dan Tinney,Bill Heeney,Al Taubenberger,David Oh,Allan Domb,Matt Wolfe,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,Megan Mccarthy King,Daniel D Mccaffery,Christylee Peck,Amanda Green-Hawkins,Write-In,2
Dan Tinney,4,132,129,114,30,105,10,10,6,4,3,2,2,1,0,1,0,0,117,45,106,6,0,2
Bill Heeney,,4,120,111,28,103,8,8,4,3,0,2,1,1,1,0,0,0,119,40,105,3,0,2
Al Taubenberger,,,1,113,33,101,10,8,5,3,3,2,2,0,0,1,0,0,112,38,101,7,0,2
David Oh,,,,0,28,89,12,3,5,5,3,2,1,0,1,0,0,0,107,31,97,8,0,2
Allan Domb,,,,,0,9,80,67,66,61,8,7,1,1,0,0,0,0,25,95,16,65,0,2
Matt Wolfe,,,,,,0,4,6,1,0,0,2,1,1,0,0,0,0,96,18,89,4,0,2
Helen Gym,,,,,,,0,70,64,60,8,5,0,3,1,0,1,0,3,79,4,70,0,2
Katherine Gilmore Richardson,,,,,,,,0,61,58,2,2,2,1,2,0,2,0,8,74,2,65,0,2
Derek S Green,,,,,,,,,0,59,2,2,0,1,0,0,0,0,2,64,4,59,0,2
Isaiah Thomas,,,,,,,,,,0,0,0,0,1,1,0,1,0,2,59,4,57,0,2
Kendra Brooks,,,,,,,,,,,0,7,3,2,1,3,1,0,0,10,0,9,0,2
Nicolas O'Rourke,,,,,,,,,,,,0,2,2,0,1,0,0,3,6,1,5,0,2
Joe Cox,,,,,,,,,,,,,0,1,1,2,1,0,1,5,1,3,0,2
Sherrie Cohen,,,,,,,,,,,,,,1,0,1,0,0,0,4,1,3,0,2
Maj Toure,,,,,,,,,,,,,,,0,0,2,0,1,2,1,2,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,0,3,0,2,0,2
Clarc King,,,,,,,,,,,,,,,,,0,0,0,2,0,2,0,2
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Megan Mccarthy King,,,,,,,,,,,,,,,,,,,0,23,105,1,0,2
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,0,7,73,0,2
Christylee Peck,,,,,,,,,,,,,,,,,,,,,1,2,0,2
Amanda Green-Hawkins,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,166,157,150,138,120,112,90,82,71,64,13,10,5,5,3,3,2,0,138,137,120,80,0,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Allan Domb,Bill Heeney,David Oh,Derek S Green,Katherine Gilmore Richardson,Al Taubenberger,Isaiah Thomas,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,3
Daniel D Mccaffery,3,56,6,3,0,55,57,11,12,52,52,10,48,9,5,7,5,3,2,2,0,1,0,3
Amanda Green-Hawkins,,1,1,3,0,50,47,3,9,45,44,5,46,2,2,6,2,3,1,1,2,0,0,3
Megan Mccarthy King,,,0,44,0,5,3,44,41,1,3,40,1,42,43,1,1,0,2,3,0,1,0,3
Christylee Peck,,,,0,0,2,0,45,42,1,0,41,2,39,40,1,0,1,3,2,2,2,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,,,0,52,5,5,47,47,4,48,3,1,6,3,2,0,1,1,0,0,3
Allan Domb,,,,,,,0,3,7,50,49,2,47,4,1,4,3,1,0,1,0,0,0,3
Bill Heeney,,,,,,,,0,46,0,0,46,1,47,46,1,1,1,2,2,1,2,0,3
David Oh,,,,,,,,,0,2,0,41,1,41,41,1,2,1,1,2,1,1,0,3
Derek S Green,,,,,,,,,,0,48,1,47,0,0,2,1,0,1,0,0,0,0,3
Katherine Gilmore Richardson,,,,,,,,,,,0,1,45,1,1,4,1,2,0,1,0,0,0,3
Al Taubenberger,,,,,,,,,,,,0,1,41,43,1,1,1,0,3,1,0,0,3
Isaiah Thomas,,,,,,,,,,,,,0,0,0,1,1,0,1,0,1,0,0,3
Dan Tinney,,,,,,,,,,,,,,0,45,1,1,0,2,1,0,1,0,3
Matt Wolfe,,,,,,,,,,,,,,,0,0,0,0,2,3,0,1,0,3
Kendra Brooks,,,,,,,,,,,,,,,,0,4,4,0,0,1,0,0,3
Nicolas O'Rourke,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,3
Joe Cox,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,3
