col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Council At Large,,,,,,,,,,,,,,,,,,All
,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Al Taubenberger,Matt Wolfe,Dan Tinney,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Isaiah Thomas,65,"4,977","4,898","4,883","4,772",351,186,181,38,26,22,19,58,53,46,27,9,3,All
Derek S Green,,30,"4,853","4,814","4,750",287,160,138,32,26,16,13,38,44,32,11,5,4,All
Katherine Gilmore Richardson,,,63,"4,784","4,710",292,100,155,31,31,20,17,41,39,24,16,5,3,All
Helen Gym,,,,26,"4,725",318,158,183,31,25,20,17,62,34,49,18,11,1,All
Allan Domb,,,,,41,180,161,76,38,37,30,22,26,23,11,11,4,3,All
Kendra Brooks,,,,,,13,57,292,13,9,9,7,67,32,43,14,13,0,All
David Oh,,,,,,,14,19,202,195,178,183,25,25,15,11,11,0,All
Nicolas O'Rourke,,,,,,,,4,4,5,3,1,29,12,10,6,3,0,All
Al Taubenberger,,,,,,,,,1,182,186,180,10,11,6,2,2,0,All
Matt Wolfe,,,,,,,,,,5,179,183,5,12,7,3,1,1,All
Dan Tinney,,,,,,,,,,,5,171,6,10,3,3,2,1,All
Bill Heeney,,,,,,,,,,,,2,4,8,1,0,1,0,All
Sherrie Cohen,,,,,,,,,,,,,3,17,20,11,4,0,All
Maj Toure,,,,,,,,,,,,,,11,15,11,5,0,All
Joe Cox,,,,,,,,,,,,,,,2,24,6,0,All
Clarc King,,,,,,,,,,,,,,,,1,4,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,0,All
Total,"5,340","5,202","5,188","5,166","5,036",569,467,323,253,245,229,215,118,107,89,52,23,4,All
,Council At Large,,,,,,,,,,,,,,,,,,1
,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Clarc King,Matt Wolfe,Sherrie Cohen,Al Taubenberger,Bill Heeney,Dan Tinney,Joe Cox,Maj Toure,Steve Cherniavsky,Write-In,1
Isaiah Thomas,2,131,130,126,126,6,4,1,0,1,0,0,0,0,0,0,0,0,1
Derek S Green,,0,128,126,126,4,2,2,0,1,0,0,0,0,0,0,0,0,1
Helen Gym,,,0,126,123,5,3,1,0,0,0,0,0,0,0,0,0,0,1
Allan Domb,,,,1,123,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
Kendra Brooks,,,,,,0,5,0,0,0,0,0,0,0,0,0,0,0,1
Nicolas O'Rourke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
David Oh,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,1
Clarc King,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1
Matt Wolfe,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,0,0,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,0,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,0,0,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,0,1
Total,137,133,131,128,127,7,5,3,1,1,1,0,0,0,0,0,0,0,1
,Council At Large,,,,,,,,,,,,,,,,,,2
,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Helen Gym,David Oh,Al Taubenberger,Dan Tinney,Kendra Brooks,Bill Heeney,Matt Wolfe,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,2
Derek S Green,1,202,201,204,197,7,6,3,12,0,0,7,3,2,2,1,0,1,2
Isaiah Thomas,,1,196,196,194,8,6,4,12,0,1,6,5,4,2,1,1,1,2
Allan Domb,,,1,191,190,10,5,4,8,4,4,2,3,1,2,0,0,1,2
Katherine Gilmore Richardson,,,,2,193,5,3,3,8,0,0,5,2,0,1,0,0,1,2
Helen Gym,,,,,0,5,2,0,15,2,1,9,6,1,1,1,1,0,2
David Oh,,,,,,1,15,14,1,15,14,0,1,0,0,1,1,0,2
Al Taubenberger,,,,,,,0,16,1,12,13,0,0,1,1,0,1,0,2
Dan Tinney,,,,,,,,1,0,12,14,0,1,1,1,1,0,0,2
Kendra Brooks,,,,,,,,,0,1,1,12,3,3,0,0,0,0,2
Bill Heeney,,,,,,,,,,0,13,0,0,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,0,0,0,2,1,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,1,1,1,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,0,0,0,2,0,0,2
Joe Cox,,,,,,,,,,,,,,1,1,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,0,2
Total,222,216,214,212,211,26,23,21,21,16,16,13,7,6,3,2,1,1,2
,Council At Large,,,,,,,,,,,,,,,,,,3
,Helen Gym,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,David Oh,Kendra Brooks,Dan Tinney,Bill Heeney,Matt Wolfe,Al Taubenberger,Maj Toure,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,3
Helen Gym,0,42,41,41,40,4,7,2,0,1,0,0,2,2,1,1,0,0,3
Allan Domb,,0,41,40,40,4,4,2,0,0,0,1,1,1,0,0,0,0,3
Derek S Green,,,0,39,41,5,3,0,0,1,0,1,0,1,0,0,0,0,3
Katherine Gilmore Richardson,,,,0,38,2,5,2,0,1,0,0,1,1,0,1,0,0,3
Isaiah Thomas,,,,,0,4,2,0,0,0,0,1,0,0,1,1,0,0,3
David Oh,,,,,,2,1,7,7,8,6,2,1,1,0,0,0,0,3
Kendra Brooks,,,,,,,0,2,1,0,0,2,4,3,2,2,1,0,3
Dan Tinney,,,,,,,,0,7,7,6,1,0,0,0,0,0,0,3
Bill Heeney,,,,,,,,,0,7,6,2,1,0,0,0,0,0,3
Matt Wolfe,,,,,,,,,,0,6,1,0,0,0,0,0,0,3
Al Taubenberger,,,,,,,,,,,0,0,0,0,0,0,0,0,3
Maj Toure,,,,,,,,,,,,1,2,0,1,0,1,0,3
Nicolas O'Rourke,,,,,,,,,,,,,0,1,1,0,1,0,3
Sherrie Cohen,,,,,,,,,,,,,,0,0,1,0,0,3
Joe Cox,,,,,,,,,,,,,,,0,1,1,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,0,3
