col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Sherrie Cohen,Al Taubenberger,Bill Heeney,Matt Wolfe,Dan Tinney,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,25,"4,064",25,27,0,"3,871","3,758","3,632","3,625","3,606",629,494,176,105,36,26,27,26,55,34,23,8,3,All
Daniel D Mccaffery,,11,18,10,0,"3,736","3,643","3,533","3,513","3,505",556,447,148,93,36,29,23,28,46,33,20,7,2,All
Megan Mccarthy King,,,1,77,1,40,38,27,33,34,20,14,79,3,63,61,62,55,14,9,4,4,0,All
Christylee Peck,,,,0,0,35,25,27,22,27,16,11,77,2,56,57,59,53,6,4,4,3,0,All
Write-In,,,,,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,All
Isaiah Thomas,,,,,,10,"3,793","3,668","3,612","3,622",369,265,107,58,16,14,11,11,31,21,12,4,1,All
Derek S Green,,,,,,,4,"3,633","3,553","3,589",286,196,89,54,20,7,14,11,24,20,12,2,1,All
Katherine Gilmore Richardson,,,,,,,,7,"3,480","3,509",224,155,48,42,15,6,9,12,20,9,7,1,0,All
Helen Gym,,,,,,,,,2,"3,500",231,165,92,44,19,11,13,12,17,16,7,2,2,All
Allan Domb,,,,,,,,,,1,157,99,78,48,14,11,12,17,14,6,4,2,1,All
Kendra Brooks,,,,,,,,,,,2,567,54,42,8,6,4,5,31,20,13,6,0,All
Nicolas O'Rourke,,,,,,,,,,,,0,27,23,4,4,3,3,19,11,7,3,1,All
David Oh,,,,,,,,,,,,,66,18,79,78,77,62,15,13,6,5,1,All
Sherrie Cohen,,,,,,,,,,,,,,5,0,1,2,3,8,6,3,3,0,All
Al Taubenberger,,,,,,,,,,,,,,,0,65,66,62,6,4,1,2,0,All
Bill Heeney,,,,,,,,,,,,,,,,0,74,65,6,4,2,1,0,All
Matt Wolfe,,,,,,,,,,,,,,,,,0,61,6,3,3,1,0,All
Dan Tinney,,,,,,,,,,,,,,,,,,0,4,3,1,2,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,3,6,3,4,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,,0,17,5,0,All
