col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 2nd District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Michael Bradley,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Dan Tinney,Al Taubenberger,Matt Wolfe,Bill Heeney,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Kenyatta Johnson,246,0,0,"19,734","19,264","18,671","18,586","17,512","5,821","4,470","1,065",742,549,340,282,674,709,333,155,174,61,All
Michael Bradley,,66,0,"1,354",909,962,950,"1,635",727,499,"3,870","3,452","3,559","3,671","3,443",289,212,267,192,113,12,All
Write-In,,,2,308,198,194,178,198,266,192,33,6,22,10,1,45,25,14,22,6,16,All
Helen Gym,,,,27,"18,999","18,749","18,295","17,956","5,741","4,238","1,022",382,427,223,136,718,787,240,183,111,31,All
Isaiah Thomas,,,,,34,"18,428","18,361","16,987","4,217","3,189",638,443,282,99,78,426,350,206,117,101,38,All
Katherine Gilmore Richardson,,,,,,27,"17,954","16,928","3,907","2,731",456,577,292,182,104,362,358,154,93,109,28,All
Derek S Green,,,,,,,21,"17,099","3,349","2,202",716,473,380,177,67,393,462,212,131,98,31,All
Allan Domb,,,,,,,,87,"2,399","1,392","1,396",955,756,538,379,314,263,178,144,74,25,All
Kendra Brooks,,,,,,,,,12,"5,989",444,219,121,80,36,692,777,252,189,110,26,All
Nicolas O'Rourke,,,,,,,,,,4,264,60,67,66,44,473,469,132,104,81,22,All
David Oh,,,,,,,,,,,54,"3,295","3,514","3,496","3,281",158,125,177,104,63,17,All
Dan Tinney,,,,,,,,,,,,18,"3,406","3,286","3,201",44,44,83,52,17,3,All
Al Taubenberger,,,,,,,,,,,,,17,"3,334","3,229",77,53,124,66,20,5,All
Matt Wolfe,,,,,,,,,,,,,,22,"3,453",72,47,126,62,36,6,All
Bill Heeney,,,,,,,,,,,,,,,19,46,23,86,27,30,3,All
Joe Cox,,,,,,,,,,,,,,,,8,216,150,129,211,5,All
Sherrie Cohen,,,,,,,,,,,,,,,,,7,119,88,46,8,All
Maj Toure,,,,,,,,,,,,,,,,,,28,101,73,3,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,6,51,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,2,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,2,All
Total,"23,744","5,948",378,"22,996","21,504","20,873","20,664","20,425","8,181","6,207","5,333","4,490","4,420","4,221","3,878","1,223","1,138",717,447,346,107,All
