col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Superior Court,,,,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,All
Daniel D Mccaffery,"3,649","199,950","6,815","2,927",12,"207,106","202,710","202,865","199,654","197,888","196,561","190,508",255,All
Amanda Green-Hawkins,,"1,772","1,791","1,614",15,"204,404","199,880","197,026","193,338","195,627","193,172","192,185",233,All
Megan Mccarthy King,,,"2,039","35,474",3,"9,559","9,490","9,166","9,248","8,525","8,544","7,551",347,All
Christylee Peck,,,,807,3,"6,647","6,486","6,437","6,528","5,961","5,832","5,229",345,All
Write-In,,,,,5,33,28,26,26,24,22,28,58,All
Tiffany Palmer,,,,,,353,"211,862","211,264","207,339","207,506","204,998","200,774",186,All
Jennifer Schultz,,,,,,,215,"207,804","204,108","205,697","204,381","198,390",155,All
Anthony Kyriakakis,,,,,,,,173,"207,005","203,365","203,424","195,210",152,All
James C Crumlish,,,,,,,,,141,"203,257","203,547","195,143",153,All
Carmella Jacquinto,,,,,,,,,,183,"203,226","198,145",132,All
Joshua Roberts,,,,,,,,,,,104,"195,931",139,All
Crystal B Powell,,,,,,,,,,,,146,118,All
Write-In,,,,,,,,,,,,,14,All
Total,"225,813","217,982","47,276","41,373",109,"224,998","218,078","216,237","212,655","212,204","209,429","205,170",778,All
