col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large,,,,,,,,,,,,,,,,,,District Council 4th District,,,,All
,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Derek S Green,Isaiah Thomas,David Oh,Dan Tinney,Kendra Brooks,Al Taubenberger,Bill Heeney,Matt Wolfe,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,All
Helen Gym,9,"5,128","4,904","4,903","4,866",504,317,"2,010",247,135,133,"1,370",372,228,142,87,65,9,"5,451",802,157,3,All
Katherine Gilmore Richardson,,6,"4,390","4,636","4,703",248,280,"1,405",168,115,121,889,181,146,86,52,68,1,"4,944",556,133,1,All
Allan Domb,,,30,"4,367","4,234",615,501,869,340,254,242,488,128,123,104,58,34,5,"4,755",500,199,3,All
Derek S Green,,,,6,"4,646",302,183,"1,160",154,54,103,745,172,142,101,53,52,2,"4,845",487,117,2,All
Isaiah Thomas,,,,,7,249,120,"1,198",127,67,47,845,105,137,100,40,58,0,"4,801",475,98,1,All
David Oh,,,,,,16,"2,101",230,"2,056","1,994","1,963",138,82,91,136,70,46,3,631,428,349,6,All
Dan Tinney,,,,,,,23,185,"2,156","2,151","2,054",71,49,62,98,52,30,0,497,355,350,7,All
Kendra Brooks,,,,,,,,2,83,40,53,"1,773",357,238,118,78,63,9,"1,793",588,102,2,All
Al Taubenberger,,,,,,,,,17,"2,055","1,978",49,36,53,109,45,14,2,393,299,331,9,All
Bill Heeney,,,,,,,,,,44,"2,038",45,27,37,95,21,23,1,272,286,345,5,All
Matt Wolfe,,,,,,,,,,,20,44,33,55,104,42,25,0,257,293,330,7,All
Nicolas O'Rourke,,,,,,,,,,,,0,215,163,61,52,44,8,"1,287",393,77,1,All
Sherrie Cohen,,,,,,,,,,,,,2,97,73,56,32,1,253,192,54,0,All
Joe Cox,,,,,,,,,,,,,,2,82,84,128,2,224,189,71,0,All
Maj Toure,,,,,,,,,,,,,,,6,64,49,1,110,111,174,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,2,36,0,69,99,58,0,All
Clarc King,,,,,,,,,,,,,,,,,0,0,58,109,28,0,All
Write-In,,,,,,,,,,,,,,,,,,3,5,5,1,2,All
Curtis Jones Jr,,,,,,,,,,,,,,,,,,,26,0,0,0,All
Karla Cruel,,,,,,,,,,,,,,,,,,,,13,0,0,All
Matt Baltsar,,,,,,,,,,,,,,,,,,,,,4,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"6,677","5,840","5,728","5,587","5,530","2,944","2,874","2,697","2,610","2,516","2,403","1,916",534,513,435,238,215,21,"6,588","1,407",712,13,All
,Council At Large,,,,,,,,,,,,,,,,,,District Council 4th District,,,,1
,Helen Gym,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Dan Tinney,Matt Wolfe,Al Taubenberger,Bill Heeney,Maj Toure,Joe Cox,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,1
Helen Gym,0,106,111,100,98,52,38,9,5,0,3,0,5,7,7,2,2,0,108,25,4,0,1
Derek S Green,,0,104,103,88,31,23,10,2,3,4,0,5,4,5,1,1,0,101,15,5,0,1
Katherine Gilmore Richardson,,,0,97,86,35,27,8,3,1,5,0,4,6,4,0,1,0,101,18,2,0,1
Isaiah Thomas,,,,0,89,26,23,10,1,2,2,0,5,2,2,1,0,0,98,13,3,0,1
Allan Domb,,,,,0,20,12,10,8,5,2,2,7,4,0,2,1,0,92,9,7,0,1
Kendra Brooks,,,,,,0,47,4,5,1,2,0,6,9,6,3,2,0,41,18,3,0,1
Nicolas O'Rourke,,,,,,,0,3,0,0,2,0,1,7,2,2,1,0,32,13,2,0,1
David Oh,,,,,,,,0,26,31,29,27,6,1,0,1,1,0,13,4,7,0,1
Dan Tinney,,,,,,,,,0,25,22,24,3,1,1,1,1,0,7,2,4,0,1
Matt Wolfe,,,,,,,,,,0,25,27,5,0,0,1,1,0,5,1,7,0,1
Al Taubenberger,,,,,,,,,,,0,24,3,0,0,0,0,0,6,3,4,0,1
Bill Heeney,,,,,,,,,,,,0,4,0,0,0,0,0,2,1,5,0,1
Maj Toure,,,,,,,,,,,,,1,1,1,1,0,0,5,4,5,0,1
Joe Cox,,,,,,,,,,,,,,0,2,3,0,0,8,3,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,0,1,1,0,2,5,1,0,1
Clarc King,,,,,,,,,,,,,,,,0,0,0,1,2,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,2,0,1,0,1
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Curtis Jones Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Karla Cruel,,,,,,,,,,,,,,,,,,,,0,0,0,1
Matt Baltsar,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,0,1
Total,141,125,125,116,114,66,50,45,33,32,31,27,16,12,8,5,3,0,129,28,13,0,1
,Council At Large,,,,,,,,,,,,,,,,,,District Council 4th District,,,,2
,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Dan Tinney,Al Taubenberger,Bill Heeney,Matt Wolfe,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Maj Toure,Clarc King,Write-In,Curtis Jones Jr,Karla Cruel,Matt Baltsar,Write-In,2
Helen Gym,0,120,120,110,103,57,13,35,4,1,0,3,7,13,7,3,3,0,127,19,5,0,2
Katherine Gilmore Richardson,,0,113,105,90,41,6,25,4,2,2,1,8,9,2,1,3,0,119,11,4,0,2
Isaiah Thomas,,,0,105,96,40,6,26,2,1,1,1,4,5,0,2,1,0,114,11,5,0,2
