col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Tiffany Palmer,5,"4,410","4,137","4,084","3,953","3,859","3,649",4,"3,958","3,318","3,283","3,070","2,833","2,202","1,779",503,183,190,122,77,212,120,48,62,48,5,All
Anthony Kyriakakis,,1,"4,070","4,085","3,867","3,844","3,544",4,"3,852","3,233","3,183","2,966","2,789","2,091","1,691",489,202,203,125,84,197,117,46,60,47,5,All
Jennifer Schultz,,,0,"3,863","3,896","3,845","3,592",2,"3,612","3,099","3,077","2,869","2,604","1,900","1,581",444,163,133,105,73,193,112,42,54,42,6,All
James C Crumlish,,,,0,"3,840","3,831","3,516",1,"3,550","3,019","2,960","2,886","2,737","1,838","1,483",476,212,197,134,88,178,100,43,58,43,4,All
Carmella Jacquinto,,,,,2,"3,816","3,598",1,"3,414","2,967","2,940","2,823","2,556","1,759","1,464",426,150,133,105,64,172,96,41,52,43,4,All
Joshua Roberts,,,,,,1,"3,527",1,"3,338","2,912","2,888","2,760","2,527","1,691","1,421",408,151,132,104,69,163,95,35,50,39,4,All
Crystal B Powell,,,,,,,3,2,"3,135","2,761","2,768","2,639","2,400","1,533","1,308",387,123,103,81,64,146,86,35,44,41,5,All
Write-In,,,,,,,,0,3,1,3,3,2,1,0,5,4,5,4,4,1,0,1,0,1,0,All
Helen Gym,,,,,,,,,7,"3,126","3,056","2,866","2,752","1,967","1,553",372,107,111,45,22,206,83,30,44,30,2,All
Derek S Green,,,,,,,,,,3,"2,860","2,539","2,363","1,290","1,034",270,97,55,42,11,97,42,24,22,18,2,All
Isaiah Thomas,,,,,,,,,,,2,"2,513","2,269","1,239","1,036",227,63,34,14,13,82,50,26,17,24,3,All
Katherine Gilmore Richardson,,,,,,,,,,,,2,"2,298","1,117",844,149,49,113,30,23,84,38,21,15,22,2,All
Allan Domb,,,,,,,,,,,,,8,763,465,405,173,172,92,52,72,42,23,35,19,1,All
Kendra Brooks,,,,,,,,,,,,,,5,"1,964",206,42,91,23,5,198,83,32,42,18,3,All
Nicolas O'Rourke,,,,,,,,,,,,,,,0,137,18,17,24,3,132,60,14,26,20,4,All
David Oh,,,,,,,,,,,,,,,,26,469,387,407,356,36,35,34,26,20,0,All
Al Taubenberger,,,,,,,,,,,,,,,,,3,389,376,361,15,17,11,8,7,0,All
Dan Tinney,,,,,,,,,,,,,,,,,,5,372,353,8,9,10,3,5,0,All
Matt Wolfe,,,,,,,,,,,,,,,,,,,2,360,11,17,17,9,9,0,All
Bill Heeney,,,,,,,,,,,,,,,,,,,,1,2,10,9,3,6,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,0,30,15,23,2,1,All
Joe Cox,,,,,,,,,,,,,,,,,,,,,,1,14,21,34,1,All
Maj Toure,,,,,,,,,,,,,,,,,,,,,,,4,8,9,2,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"4,720","4,554","4,248","4,233","4,038","3,931","3,712",17,"4,347","3,607","3,505","3,271","3,176","2,512","2,028","1,021",598,566,497,411,270,160,88,81,68,9,All
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
