col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Kendra Brooks,Nicolas O'Rourke,Allan Domb,David Oh,Matt Wolfe,Sherrie Cohen,Joe Cox,Al Taubenberger,Dan Tinney,Bill Heeney,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,2,"2,851",65,28,0,"2,675","2,367","2,149","1,865","1,802","1,627","1,482",95,60,186,156,34,30,6,75,38,24,1,All
Amanda Green-Hawkins,,6,21,22,0,"2,595","2,333","2,120","1,804","1,702","1,556","1,460",87,48,160,141,27,20,10,63,28,31,2,All
Megan Mccarthy King,,,2,157,0,78,39,47,51,59,41,46,150,164,17,10,135,138,131,29,10,5,3,All
Christylee Peck,,,,0,0,42,27,34,26,31,22,29,139,149,8,9,125,126,126,21,6,4,3,All
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,,,6,"2,209","2,006","1,703","1,560","1,399","1,496",84,46,172,122,26,30,10,54,27,13,3,All
Isaiah Thomas,,,,,,,2,"1,917","1,657","1,233","1,133","1,341",41,17,76,57,11,16,4,39,10,11,1,All
Katherine Gilmore Richardson,,,,,,,,0,"1,623","1,017",901,"1,301",33,24,63,52,12,17,5,31,10,12,1,All
Derek S Green,,,,,,,,,0,706,594,"1,295",52,29,73,43,20,15,3,44,12,9,4,All
Kendra Brooks,,,,,,,,,,1,"1,750",349,50,29,184,135,12,21,4,50,33,18,1,All
Nicolas O'Rourke,,,,,,,,,,,0,251,38,20,137,114,5,4,1,31,23,15,0,All
Allan Domb,,,,,,,,,,,,0,58,38,25,24,23,30,4,25,5,5,0,All
David Oh,,,,,,,,,,,,,1,154,7,7,147,126,126,23,6,8,2,All
Matt Wolfe,,,,,,,,,,,,,,2,7,7,139,135,135,15,3,3,1,All
Sherrie Cohen,,,,,,,,,,,,,,,2,39,1,2,1,19,13,5,0,All
Joe Cox,,,,,,,,,,,,,,,,1,3,4,1,17,18,18,0,All
Al Taubenberger,,,,,,,,,,,,,,,,,1,127,125,12,3,1,1,All
Dan Tinney,,,,,,,,,,,,,,,,,,0,118,11,2,1,3,All
Bill Heeney,,,,,,,,,,,,,,,,,,,1,10,0,1,1,All
Maj Toure,,,,,,,,,,,,,,,,,,,,1,7,6,2,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,4,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,127","3,047",264,211,0,"2,906","2,534","2,300","2,009","1,992","1,792","1,605",257,237,213,177,173,172,145,107,48,35,8,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Derek S Green,Allan Domb,Sherrie Cohen,David Oh,Joe Cox,Matt Wolfe,Bill Heeney,Dan Tinney,Al Taubenberger,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,1
Daniel D Mccaffery,0,107,4,0,0,109,93,90,76,66,65,59,13,6,9,1,0,1,0,3,2,0,0,1
Amanda Green-Hawkins,,0,1,1,0,103,89,87,69,65,62,55,11,3,7,1,0,0,0,0,0,0,0,1
Megan Mccarthy King,,,0,5,0,6,4,1,4,3,2,3,1,4,1,5,5,5,4,1,1,0,0,1
Christylee Peck,,,,0,0,2,1,0,1,1,1,1,0,4,1,5,5,4,4,0,0,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,1,93,86,70,61,62,63,12,5,7,2,1,1,0,2,1,0,0,1
Katherine Gilmore Richardson,,,,,,,0,79,55,51,61,50,6,2,0,1,1,0,0,1,0,0,0,1
Isaiah Thomas,,,,,,,,0,51,46,56,49,3,4,5,0,0,0,0,3,1,0,0,1
Kendra Brooks,,,,,,,,,0,74,26,20,13,3,7,0,0,0,0,1,1,0,0,1
Nicolas O'Rourke,,,,,,,,,,0,21,13,9,3,5,0,0,0,0,0,1,0,0,1
Derek S Green,,,,,,,,,,,0,44,3,4,3,0,0,0,0,2,0,0,0,1
Allan Domb,,,,,,,,,,,,0,3,2,3,2,1,1,0,0,1,0,0,1
Sherrie Cohen,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,1
David Oh,,,,,,,,,,,,,,0,1,4,4,4,4,0,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,0,0,0,0,0,1,2,0,0,1
Matt Wolfe,,,,,,,,,,,,,,,,0,5,4,4,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,0,4,4,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,,,,0,4,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,124,116,11,6,0,124,102,98,86,75,73,65,13,10,10,6,5,5,4,3,2,0,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-Hawkins,Christylee Peck,Megan Mccarthy King,Write-In,Helen Gym,Kendra Brooks,Nicolas O'Rourke,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Sherrie Cohen,Matt Wolfe,David Oh,Dan Tinney,Al Taubenberger,Bill Heeney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,2
Daniel D Mccaffery,0,200,3,1,0,188,166,151,149,135,112,71,22,7,9,3,3,3,12,6,4,2,0,2
Amanda Green-Hawkins,,1,1,2,0,177,153,140,143,133,102,70,18,8,8,3,4,4,8,7,4,0,0,2
Christylee Peck,,,0,11,0,4,3,1,4,5,2,3,1,11,9,8,8,8,2,0,0,0,0,2
Megan Mccarthy King,,,,0,0,4,3,2,1,4,1,1,2,12,10,9,9,10,0,0,1,0,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,2,150,132,139,125,98,71,21,5,5,3,1,1,8,3,3,1,0,2
Kendra Brooks,,,,,,,0,158,106,92,68,32,24,4,3,3,0,1,11,4,4,2,0,2
Nicolas O'Rourke,,,,,,,,0,98,80,58,22,20,2,3,0,0,0,8,3,5,0,0,2
Isaiah Thomas,,,,,,,,,0,109,86,53,11,2,2,0,0,0,5,3,2,1,0,2
Katherine Gilmore Richardson,,,,,,,,,,0,83,54,7,3,4,2,1,1,7,3,2,0,0,2
Derek S Green,,,,,,,,,,,0,52,5,2,3,0,1,1,2,2,1,1,0,2
Allan Domb,,,,,,,,,,,,0,1,3,3,3,1,1,1,1,0,1,0,2
Sherrie Cohen,,,,,,,,,,,,,0,1,0,0,0,1,4,1,2,0,0,2
Matt Wolfe,,,,,,,,,,,,,,0,14,12,11,11,0,1,0,0,0,2
David Oh,,,,,,,,,,,,,,,0,11,12,12,0,1,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,,0,11,11,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,,,,,,,0,12,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,,,0,2,4,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,,,,1,1,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,222,212,15,15,0,205,180,161,159,147,117,77,25,20,19,14,13,13,13,8,6,2,0,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Kendra Brooks,Allan Domb,Derek S Green,Nicolas O'Rourke,David Oh,Joe Cox,Matt Wolfe,Sherrie Cohen,Al Taubenberger,Bill Heeney,Dan Tinney,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,3
Daniel D Mccaffery,0,73,6,2,0,76,64,55,50,45,44,44,5,7,1,5,2,1,1,3,1,0,0,3
Amanda Green-Hawkins,,0,1,1,0,73,58,47,44,42,40,41,6,5,1,5,0,0,0,2,2,0,0,3
Megan Mccarthy King,,,0,5,0,5,3,5,3,4,7,3,5,0,4,1,4,3,3,2,0,0,0,3
Christylee Peck,,,,0,0,1,1,2,2,0,0,1,4,1,5,1,4,4,4,1,1,0,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,,,0,62,52,47,48,43,41,6,5,1,5,1,0,0,2,2,0,0,3
Isaiah Thomas,,,,,,,0,47,36,36,34,33,2,2,0,2,0,1,0,2,0,0,0,3
Katherine Gilmore Richardson,,,,,,,,0,24,36,39,17,2,2,0,2,0,1,0,2,2,0,0,3
Kendra Brooks,,,,,,,,,0,15,13,46,0,6,0,5,0,1,0,0,1,0,0,3
Allan Domb,,,,,,,,,,0,37,10,4,1,1,2,1,0,0,1,0,0,0,3
Derek S Green,,,,,,,,,,,0,12,4,2,1,1,1,0,0,2,1,0,0,3
Nicolas O'Rourke,,,,,,,,,,,,0,2,4,0,3,0,1,0,1,0,0,0,3
David Oh,,,,,,,,,,,,,0,1,4,0,4,2,3,1,1,0,0,3
Joe Cox,,,,,,,,,,,,,,0,1,2,1,0,1,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,0,0,4,3,4,1,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,3
Al Taubenberger,,,,,,,,,,,,,,,,,0,3,4,1,0,0,0,3
Bill Heeney,,,,,,,,,,,,,,,,,,0,3,1,0,0,0,3
Dan Tinney,,,,,,,,,,,,,,,,,,,0,1,0,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,86,79,12,8,0,83,67,57,54,49,48,48,11,7,6,6,5,4,4,4,2,0,0,3
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,4
,Amanda Green-Hawkins,Daniel D Mccaffery,Christylee Peck,Megan Mccarthy King,Write-In,Derek S Green,Isaiah Thomas,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,Maj Toure,David Oh,Joe Cox,Matt Wolfe,Clarc King,Steve Cherniavsky,Al Taubenberger,Bill Heeney,Dan Tinney,Write-In,Sherrie Cohen,4
Amanda Green-Hawkins,0,78,1,0,0,69,69,65,63,57,35,28,4,1,2,0,2,0,0,0,0,1,0,4
Daniel D Mccaffery,,0,0,1,0,64,64,61,62,52,32,27,7,0,2,0,2,0,0,0,0,0,0,4
Christylee Peck,,,0,2,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,1,1,0,0,4
Megan Mccarthy King,,,,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,1,1,1,0,0,4
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
