col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Register Of Wills,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,1
,Ronald R Donatucci,Ross Feinberg,Mia Roberts Perez,Abbe Fletman,Kai Scott,Tracy B Roman,Ken Powell,Lyris Younge,Chris Mallios,Rainy Papademetriou,Stephanie M Sawyer,Michael Fanning,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,1
Ronald R Donatucci,4,0,44,43,43,43,42,41,33,33,33,32,30,30,5,1
Ross Feinberg,,1,2,3,3,4,3,3,4,4,3,3,4,4,4,1
Mia Roberts Perez,,,1,45,46,44,42,42,37,37,36,35,34,32,5,1
Abbe Fletman,,,,0,46,45,44,44,38,37,38,37,35,33,6,1
Kai Scott,,,,,0,45,43,43,38,38,37,36,35,33,6,1
Tracy B Roman,,,,,,0,43,44,37,36,37,36,35,34,7,1
Ken Powell,,,,,,,1,43,35,34,36,35,33,32,5,1
Lyris Younge,,,,,,,,1,35,34,36,35,33,33,6,1
Chris Mallios,,,,,,,,,0,37,37,37,35,34,7,1
Rainy Papademetriou,,,,,,,,,,0,36,35,35,33,6,1
Stephanie M Sawyer,,,,,,,,,,,0,37,35,33,6,1
Michael Fanning,,,,,,,,,,,,0,34,33,6,1
Daine Grey Jr,,,,,,,,,,,,,0,32,5,1
Scott Diclaudio,,,,,,,,,,,,,,0,6,1
Vincent Furlong,,,,,,,,,,,,,,,1,1
Total,55,7,49,48,48,48,47,45,39,39,38,37,36,34,10,1
,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,Register Of Wills,,2
,Kai Scott,Mia Roberts Perez,Abbe Fletman,Ken Powell,Lyris Younge,Daine Grey Jr,Tracy B Roman,Stephanie M Sawyer,Rainy Papademetriou,Chris Mallios,Michael Fanning,Scott Diclaudio,Vincent Furlong,Ronald R Donatucci,Ross Feinberg,2
Kai Scott,1,64,63,62,61,56,57,56,54,53,53,47,6,63,4,2
Mia Roberts Perez,,0,63,59,60,55,59,55,54,52,52,47,6,61,4,2
Abbe Fletman,,,0,59,60,53,58,53,53,53,52,47,6,57,4,2
Ken Powell,,,,0,59,53,57,52,51,51,51,45,5,58,3,2
