col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,City Commissioners,,,Council At Large,,,,,,,,,,,,,,All
,Anthony Clark,Lisa M Deeley,Al Schmidt,Blondell Reynolds Brown,Derek S Green,Allan Domb,William K Greenlee,Helen Gym,David Oh,Dennis M O Brien,Terry Tracy,Al Taubenberger,Daniel Tinney,Sheila E Armstrong,Kristin Combs,Andrew C Stober,John Staggs,All
Anthony Clark,75,"3,835",35,"4,083","4,105","3,901","3,890","3,783",119,49,38,32,28,29,28,9,7,All
Lisa M Deeley,,14,42,"3,886","3,860","3,770","3,785","3,737",105,48,34,31,23,26,30,7,6,All
Al Schmidt,,,1,64,53,37,51,50,59,48,45,35,29,6,4,4,2,All
Blondell Reynolds Brown,,,,99,"3,955","3,871","3,915","3,815",117,45,37,29,23,21,25,8,1,All
Derek S Green,,,,,49,"3,877","3,892","3,814",86,51,36,25,20,18,21,4,4,All
Allan Domb,,,,,,31,"3,829","3,777",74,33,22,19,17,17,18,4,4,All
William K Greenlee,,,,,,,11,"3,770",86,50,20,25,18,13,13,5,1,All
Helen Gym,,,,,,,,20,68,38,26,15,18,19,22,3,5,All
David Oh,,,,,,,,,8,57,49,40,44,6,6,1,3,All
Dennis M O Brien,,,,,,,,,,0,34,31,29,1,1,0,1,All
Terry Tracy,,,,,,,,,,,1,32,31,2,0,1,1,All
Al Taubenberger,,,,,,,,,,,,0,29,2,0,1,1,All
Daniel Tinney,,,,,,,,,,,,,1,1,0,0,0,All
Sheila E Armstrong,,,,,,,,,,,,,,1,13,6,4,All
Kristin Combs,,,,,,,,,,,,,,,0,2,3,All
Andrew C Stober,,,,,,,,,,,,,,,,1,2,All
John Staggs,,,,,,,,,,,,,,,,,0,All
Total,"4,614","4,139",113,"4,473","4,402","4,125","4,101","4,017",201,104,81,72,64,38,35,12,9,All
,City Commissioners,,,Council At Large,,,,,,,,,,,,,,1
,Anthony Clark,Lisa M Deeley,Al Schmidt,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,Terry Tracy,Daniel Tinney,David Oh,Dennis M O Brien,Sheila E Armstrong,Al Taubenberger,Kristin Combs,Andrew C Stober,John Staggs,1
Anthony Clark,2,124,1,138,130,127,126,122,3,2,2,1,1,1,0,0,0,1
Lisa M Deeley,,2,0,126,124,123,122,121,2,1,2,1,1,1,1,0,0,1
Al Schmidt,,,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1
Derek S Green,,,,2,130,128,127,125,3,2,2,1,1,1,0,0,0,1
Blondell Reynolds Brown,,,,,4,125,125,122,3,1,2,0,0,1,0,0,0,1
Allan Domb,,,,,,0,124,123,1,1,1,1,1,1,0,0,0,1
William K Greenlee,,,,,,,1,122,1,0,1,0,1,0,0,0,0,1
Helen Gym,,,,,,,,0,1,2,1,1,1,0,0,0,0,1
Terry Tracy,,,,,,,,,0,1,1,0,0,1,0,0,0,1
Daniel Tinney,,,,,,,,,,0,0,1,0,0,0,0,0,1
David Oh,,,,,,,,,,,0,0,0,0,0,0,0,1
Dennis M O Brien,,,,,,,,,,,,0,0,0,0,0,0,1
Sheila E Armstrong,,,,,,,,,,,,,0,0,1,0,0,1
Al Taubenberger,,,,,,,,,,,,,,0,0,0,0,1
Kristin Combs,,,,,,,,,,,,,,,0,0,0,1
Andrew C Stober,,,,,,,,,,,,,,,,0,0,1
John Staggs,,,,,,,,,,,,,,,,,0,1
Total,146,131,2,144,138,130,130,126,3,2,2,2,2,1,1,0,0,1
,Council At Large,,,,,,,,,,,,,,City Commissioners,,,2
,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,David Oh,Dennis M O Brien,Daniel Tinney,Sheila E Armstrong,Andrew C Stober,Kristin Combs,Al Taubenberger,John Staggs,Terry Tracy,Anthony Clark,Lisa M Deeley,Al Schmidt,2
Derek S Green,4,165,168,164,164,2,1,1,2,1,1,0,0,0,168,166,2,2
Blondell Reynolds Brown,,4,163,165,161,2,2,1,1,1,0,0,0,0,165,167,1,2
Allan Domb,,,1,165,164,1,2,0,0,0,0,0,0,0,165,160,0,2
William K Greenlee,,,,1,163,2,3,0,1,1,0,0,0,0,161,160,1,2
Helen Gym,,,,,1,4,3,1,1,0,1,0,0,0,158,158,1,2
David Oh,,,,,,1,3,2,1,0,1,0,0,0,0,1,2,2
Dennis M O Brien,,,,,,,0,1,0,0,0,0,0,0,0,1,1,2
Daniel Tinney,,,,,,,,0,0,0,0,0,0,0,0,0,1,2
Sheila E Armstrong,,,,,,,,,0,1,1,0,0,0,0,2,2,2
Andrew C Stober,,,,,,,,,,0,0,0,0,0,0,1,1,2
Kristin Combs,,,,,,,,,,,0,0,0,0,0,1,1,2
Al Taubenberger,,,,,,,,,,,,0,0,0,0,0,0,2
John Staggs,,,,,,,,,,,,,0,0,0,0,0,2
Terry Tracy,,,,,,,,,,,,,,0,0,0,0,2
Anthony Clark,,,,,,,,,,,,,,,2,161,0,2
Lisa M Deeley,,,,,,,,,,,,,,,,1,2,2
Al Schmidt,,,,,,,,,,,,,,,,,0,2
Total,184,182,174,172,170,6,5,2,2,1,1,0,0,0,178,174,3,2
,City Commissioners,,,Council At Large,,,,,,,,,,,,,,3
,Anthony Clark,Lisa M Deeley,Al Schmidt,Blondell Reynolds Brown,Derek S Green,Allan Domb,William K Greenlee,Helen Gym,Dennis M O Brien,Daniel Tinney,David Oh,Al Taubenberger,Sheila E Armstrong,Terry Tracy,Andrew C Stober,John Staggs,Kristin Combs,3
Anthony Clark,3,145,0,149,148,143,143,138,1,2,2,1,4,0,1,0,0,3
Lisa M Deeley,,0,3,147,147,145,145,142,3,3,2,2,3,1,1,0,0,3
Al Schmidt,,,0,3,2,2,3,3,5,2,2,2,0,4,0,0,0,3
Blondell Reynolds Brown,,,,6,146,143,144,139,2,0,2,1,3,1,1,0,0,3
Derek S Green,,,,,1,143,143,142,2,2,1,2,3,1,1,0,0,3
Allan Domb,,,,,,2,144,139,2,3,2,1,1,1,0,0,0,3
William K Greenlee,,,,,,,0,140,3,2,2,0,1,1,0,0,0,3
Helen Gym,,,,,,,,0,4,3,1,1,0,2,0,0,0,3
Dennis M O Brien,,,,,,,,,0,3,2,2,0,4,0,0,0,3
Daniel Tinney,,,,,,,,,,0,2,3,0,2,0,0,0,3
David Oh,,,,,,,,,,,1,2,0,2,0,0,0,3
Al Taubenberger,,,,,,,,,,,,0,1,2,1,0,0,3
Sheila E Armstrong,,,,,,,,,,,,,0,0,1,0,0,3
Terry Tracy,,,,,,,,,,,,,,0,0,0,0,3
Andrew C Stober,,,,,,,,,,,,,,,0,0,0,3
