col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,District Council 1st District,Council At Large,,,,,,,,,,,,,,All
,Mark F Squilla,Allan Domb,Derek S Green,Helen Gym,William K Greenlee,Blondell Reynolds Brown,Dennis M O Brien,David Oh,Daniel Tinney,Al Taubenberger,Terry Tracy,Kristin Combs,Andrew C Stober,Sheila E Armstrong,John Staggs,All
Mark F Squilla,38,413,409,383,383,356,116,117,99,100,90,20,14,7,2,All
Allan Domb,,8,354,356,350,323,49,39,40,47,32,9,12,2,1,All
Derek S Green,,,8,354,349,327,38,28,27,22,24,9,6,4,2,All
Helen Gym,,,,9,340,326,27,25,18,18,24,14,11,4,3,All
William K Greenlee,,,,,9,328,41,32,23,30,18,6,5,0,1,All
Blondell Reynolds Brown,,,,,,11,13,20,22,10,12,5,3,2,0,All
Dennis M O Brien,,,,,,,10,177,177,171,162,4,7,5,0,All
David Oh,,,,,,,,7,159,161,154,4,4,2,0,All
Daniel Tinney,,,,,,,,,7,172,174,6,7,4,1,All
Al Taubenberger,,,,,,,,,,6,170,4,4,4,0,All
Terry Tracy,,,,,,,,,,,6,4,6,2,0,All
Kristin Combs,,,,,,,,,,,,0,8,10,6,All
Andrew C Stober,,,,,,,,,,,,,1,6,4,All
Sheila E Armstrong,,,,,,,,,,,,,,2,5,All
John Staggs,,,,,,,,,,,,,,,0,All
Total,686,471,445,424,417,388,259,250,246,241,227,28,24,16,6,All
,District Council 1st District,Council At Large,,,,,,,,,,,,,,7
,Mark F Squilla,Derek S Green,Allan Domb,Daniel Tinney,Helen Gym,Terry Tracy,Al Taubenberger,Dennis M O Brien,William K Greenlee,Blondell Reynolds Brown,David Oh,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,7
Mark F Squilla,4,38,34,21,38,18,15,16,30,28,13,6,7,4,1,7
Derek S Green,,1,32,8,36,7,1,4,28,31,4,5,4,3,1,7
Allan Domb,,,0,7,31,3,7,2,26,26,3,5,2,0,0,7
Daniel Tinney,,,,0,6,31,28,29,5,5,22,2,1,1,1,7
Helen Gym,,,,,1,6,2,3,26,28,2,6,5,3,1,7
Terry Tracy,,,,,,0,27,30,4,1,23,3,1,1,0,7
Al Taubenberger,,,,,,,0,27,2,0,26,1,1,1,0,7
Dennis M O Brien,,,,,,,,1,4,0,23,1,0,0,0,7
William K Greenlee,,,,,,,,,2,26,2,1,1,0,0,7
Blondell Reynolds Brown,,,,,,,,,,1,3,0,2,1,0,7
David Oh,,,,,,,,,,,0,1,1,1,0,7
Andrew C Stober,,,,,,,,,,,,0,3,2,2,7
Kristin Combs,,,,,,,,,,,,,0,6,3,7
Sheila E Armstrong,,,,,,,,,,,,,,0,3,7
John Staggs,,,,,,,,,,,,,,,0,7
Total,70,44,43,43,43,36,35,34,34,33,32,9,9,6,3,7
,District Council 1st District,Council At Large,,,,,,,,,,,,,,8
,Mark F Squilla,Derek S Green,Helen Gym,William K Greenlee,Blondell Reynolds Brown,Allan Domb,Daniel Tinney,David Oh,Terry Tracy,Dennis M O Brien,Al Taubenberger,Kristin Combs,Andrew C Stober,John Staggs,Sheila E Armstrong,8
Mark F Squilla,0,32,27,27,25,23,5,5,6,4,3,3,1,1,1,8
Derek S Green,,1,25,25,24,23,1,1,1,0,0,1,0,1,0,8
Helen Gym,,,3,26,25,24,2,1,2,0,1,2,0,1,0,8
William K Greenlee,,,,0,24,25,1,1,1,0,1,1,0,1,0,8
Blondell Reynolds Brown,,,,,1,23,1,1,2,0,0,0,0,0,0,8
Allan Domb,,,,,,0,1,0,0,0,1,1,1,1,1,8
Daniel Tinney,,,,,,,1,5,4,5,5,0,1,0,1,8
David Oh,,,,,,,,1,4,5,4,0,1,0,1,8
Terry Tracy,,,,,,,,,0,3,3,0,0,0,0,8
Dennis M O Brien,,,,,,,,,,0,4,0,1,0,1,8
Al Taubenberger,,,,,,,,,,,0,0,0,0,0,8
Kristin Combs,,,,,,,,,,,,0,1,2,1,8
